episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-295.68527026830975,-295.68527026830975,-295.68527026830975,1000.0,1,1000,False,1000,1,1,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-56-21,1586444181,8.98827838897705,8.98827838897705,34712,ip-172-31-22-137,172.31.22.137,8.98827838897705,1000,1,0,00000,0_use_pytorch=False,[-295.68527026830975],[1000],0.19427803489235373,0.33009873998986855,1.6885334914261763,[{'cur_scale': 0.02}],1000,32000,1000,2.321,3.225,7.375,0.003,8678.216,64.0,6.884615384615383,2.7,-0.34390342,1.2425624,-2.0429235
-100.21947962918252,-295.68527026830975,-197.95237494874613,1000.0,1,1000,False,2000,2,2,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-56-35,1586444195,14.076915502548218,23.06519389152527,34712,ip-172-31-22-137,172.31.22.137,23.06519389152527,2000,2,0,00000,0_use_pytorch=False,"[-100.21947962918252, -295.68527026830975]","[1000, 1000]",0.19456237741383708,0.32828263230436183,1.6608922602606544,[{'cur_scale': 0.02}],2000,96000,2000,2.52,3.825,7.494,0.003,8540.061,64.0,6.244999999999999,2.7000000000000006,0.6160853,3.7869053,-1.6232238
-100.21947962918252,-540.6540504139148,-312.186266770469,1000.0,1,1000,False,3000,3,3,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-56-49,1586444209,13.978140354156494,37.04333424568176,34712,ip-172-31-22-137,172.31.22.137,37.04333424568176,3000,3,0,00000,0_use_pytorch=False,"[-540.6540504139148, -295.68527026830975, -100.21947962918252]","[1000, 1000, 1000]",0.19690113769228168,0.32636912947517477,1.6464670639198935,[{'cur_scale': 0.02}],3000,160000,3000,2.45,3.276,7.18,0.003,8913.324,64.0,6.1499999999999995,2.7000000000000006,0.90159184,4.009195,-1.5623822
-100.21947962918252,-540.6540504139148,-367.0822583138638,1000.0,1,1000,False,4000,4,4,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-57-03,1586444223,13.917076110839844,50.960410356521606,34712,ip-172-31-22-137,172.31.22.137,50.960410356521606,4000,4,0,00000,0_use_pytorch=False,"[-531.7702329440481, -295.68527026830975, -100.21947962918252, -540.6540504139148]","[1000, 1000, 1000, 1000]",0.19893866339160896,0.3249333551490558,1.636872781615914,[{'cur_scale': 0.02}],4000,224000,4000,2.497,3.282,7.23,0.003,8851.398,64.0,6.255000000000001,2.7000000000000006,1.0593461,4.693463,-1.8693854
-100.21947962918252,-540.6540504139148,-376.1700594317574,1000.0,1,1000,False,5000,5,5,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-57-16,1586444236,13.855462312698364,64.81587266921997,34712,ip-172-31-22-137,172.31.22.137,64.81587266921997,5000,5,0,00000,0_use_pytorch=False,"[-412.52126390333194, -295.68527026830975, -100.21947962918252, -540.6540504139148, -531.7702329440481]","[1000, 1000, 1000, 1000, 1000]",0.20014912450714556,0.32377789294461823,1.6299529999231326,[{'cur_scale': 0.02}],5000,288000,5000,2.441,3.253,7.247,0.003,8831.624,64.0,6.195,2.7000000000000006,1.1471533,5.3730016,-1.3276328
-100.21947962918252,-540.6540504139148,-396.48941850414434,1000.0,1,1000,False,6000,6,6,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-57-46,1586444266,13.865878582000732,78.6817512512207,34712,ip-172-31-22-137,172.31.22.137,78.6817512512207,6000,6,0,00000,0_use_pytorch=False,"[-498.086213866079, -295.68527026830975, -100.21947962918252, -540.6540504139148, -531.7702329440481, -412.52126390333194]","[1000, 1000, 1000, 1000, 1000, 1000]",0.20122880768851523,0.3227624884926859,1.6248674332153608,[{'cur_scale': 0.02}],6000,352000,6000,2.447,3.277,7.272,0.003,8801.307,64.0,6.3619047619047615,2.7,1.7201383,8.066611,-2.339019
-100.21947962918252,-540.6540504139148,-415.9683381526835,1000.0,1,1000,False,7000,7,7,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-58-00,1586444280,13.922439336776733,92.60419058799744,34712,ip-172-31-22-137,172.31.22.137,92.60419058799744,7000,7,0,00000,0_use_pytorch=False,"[-532.8418560439185, -295.68527026830975, -100.21947962918252, -540.6540504139148, -531.7702329440481, -412.52126390333194, -498.086213866079]","[1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20218697936825353,0.32188408170720434,1.6211495686667845,[{'cur_scale': 0.02}],7000,416000,7000,2.53,3.335,7.406,0.003,8641.897,64.0,6.1899999999999995,2.7000000000000006,2.493215,9.051707,-0.71624523
-100.21947962918252,-540.6540504139148,-424.7024078387934,1000.0,1,1000,False,8000,8,8,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-58-14,1586444294,13.917996168136597,106.52218675613403,34712,ip-172-31-22-137,172.31.22.137,106.52218675613403,8000,8,0,00000,0_use_pytorch=False,"[-485.840895641563, -295.68527026830975, -100.21947962918252, -540.6540504139148, -531.7702329440481, -412.52126390333194, -498.086213866079, -532.8418560439185]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20270335075735035,0.3211351438283231,1.6181981197956303,[{'cur_scale': 0.02}],8000,480000,8000,2.479,3.376,7.278,0.003,8793.292,64.0,6.165,2.7000000000000006,2.6114216,6.9197326,-1.208354
-100.21947962918252,-540.6540504139148,-420.9284555459504,1000.0,1,1000,False,9000,9,9,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-58-28,1586444308,13.92314100265503,120.44532775878906,34712,ip-172-31-22-137,172.31.22.137,120.44532775878906,9000,9,0,00000,0_use_pytorch=False,"[-390.73683720320633, -295.68527026830975, -100.21947962918252, -540.6540504139148, -531.7702329440481, -412.52126390333194, -498.086213866079, -532.8418560439185, -485.840895641563]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20295396419990616,0.32050360873543887,1.6159057301617183,[{'cur_scale': 0.02}],9000,544000,9000,2.475,3.449,7.364,0.003,8690.55,64.0,6.185,2.7000000000000006,2.9942722,9.0515585,-0.5174673
-100.21947962918252,-540.6540504139148,-415.2005504233821,1000.0,1,1000,False,10000,10,10,4ff5cfc29d8442d5af241010bd32c1db,2020-04-09_14-58-42,1586444322,13.945860385894775,134.39118814468384,34712,ip-172-31-22-137,172.31.22.137,134.39118814468384,10000,10,0,00000,0_use_pytorch=False,"[-363.64940432026765, -295.68527026830975, -100.21947962918252, -540.6540504139148, -531.7702329440481, -412.52126390333194, -498.086213866079, -532.8418560439185, -485.840895641563, -390.73683720320633]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.20304296532572613,0.31995647618972745,1.613967058185453,[{'cur_scale': 0.02}],10000,608000,10000,2.493,3.337,7.341,0.003,8718.183,64.0,6.220000000000001,2.7000000000000006,2.6941638,8.801532,-1.9859939
