info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'opt_samples': 500.0, 'opt_peak_throughput': 29.749, 'grad_time_ms': 16807.409, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': -1.5841667652130127, 'var_gnorm': 10.130536079406738, 'cur_lr': 0.000699999975040555, 'policy_entropy': 458.4617004394531, 'policy_loss': -222.1948699951172, 'vf_loss': 397.6314392089844}, 'sample_time_ms': 3257.642, 'sample_peak_throughput': 153.485, 'num_steps_trained': 500, 'num_steps_sampled': 500, 'update_time_ms': 58.853}",1,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819438,nan,ip-172-30-1-23,3819,0,500,nan,20.144068956375122,20.144068956375122,2018-08-21_02-43-58,False,nan,500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8414.812, 'grad_time_ms': 59.419, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': -0.025342464447021484, 'var_gnorm': 10.570420265197754, 'cur_lr': 0.000699982512742281, 'policy_entropy': 713.4459228515625, 'policy_loss': 154.48379516601562, 'vf_loss': 50.437801361083984}, 'sample_time_ms': 412.174, 'sample_peak_throughput': 1213.079, 'num_steps_trained': 11000, 'num_steps_sampled': 11000, 'update_time_ms': 18.749}",2,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819448,nan,ip-172-30-1-23,3819,0,11000,nan,10.317491054534912,30.461560010910034,2018-08-21_02-44-08,False,nan,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8714.151, 'grad_time_ms': 57.378, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': -0.0027924776077270508, 'var_gnorm': 10.756074905395508, 'cur_lr': 0.0006996149895712733, 'policy_entropy': 1078.850830078125, 'policy_loss': 80.82231140136719, 'vf_loss': 21.365619659423828}, 'sample_time_ms': 402.588, 'sample_peak_throughput': 1241.964, 'num_steps_trained': 21500, 'num_steps_sampled': 21500, 'update_time_ms': 17.487}",3,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819458,nan,ip-172-30-1-23,3819,0,21500,nan,10.239063024520874,40.70062303543091,2018-08-21_02-44-18,False,nan,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8808.917, 'grad_time_ms': 56.761, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.02813810110092163, 'var_gnorm': 10.867354393005371, 'cur_lr': 0.0006992475246079266, 'policy_entropy': 1062.54345703125, 'policy_loss': 15.227457046508789, 'vf_loss': 16.645305633544922}, 'sample_time_ms': 405.571, 'sample_peak_throughput': 1232.829, 'num_steps_trained': 32000, 'num_steps_sampled': 32000, 'update_time_ms': 15.099}",4,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819469,132.0,ip-172-30-1-23,3819,4,32000,44.0,10.013056993484497,50.713680028915405,2018-08-21_02-44-29,False,264.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},4496.0
"{'opt_samples': 500.0, 'opt_peak_throughput': 8658.486, 'grad_time_ms': 57.747, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.1115911602973938, 'var_gnorm': 10.939906120300293, 'cur_lr': 0.000698880001436919, 'policy_entropy': 1015.2611694335938, 'policy_loss': 42.53440475463867, 'vf_loss': 29.878765106201172}, 'sample_time_ms': 401.23, 'sample_peak_throughput': 1246.168, 'num_steps_trained': 42500, 'num_steps_sampled': 42500, 'update_time_ms': 17.33}",5,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819479,179.14285714285714,ip-172-30-1-23,3819,14,42500,44.0,10.133378028869629,60.847058057785034,2018-08-21_02-44-39,False,308.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},5093.5
"{'opt_samples': 500.0, 'opt_peak_throughput': 8600.744, 'grad_time_ms': 58.135, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.20623081922531128, 'var_gnorm': 10.980557441711426, 'cur_lr': 0.0006985124782659113, 'policy_entropy': 1028.6199951171875, 'policy_loss': 32.971981048583984, 'vf_loss': 19.12034797668457}, 'sample_time_ms': 402.609, 'sample_peak_throughput': 1241.901, 'num_steps_trained': 53000, 'num_steps_sampled': 53000, 'update_time_ms': 18.185}",6,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819489,261.8,ip-172-30-1-23,3819,20,53000,44.0,10.135873079299927,70.98293113708496,2018-08-21_02-44-49,False,528.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},5720.1
"{'opt_samples': 500.0, 'opt_peak_throughput': 8179.319, 'grad_time_ms': 61.13, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.23543274402618408, 'var_gnorm': 11.025774002075195, 'cur_lr': 0.0006981450133025646, 'policy_entropy': 1053.38623046875, 'policy_loss': -33.832061767578125, 'vf_loss': 7.124107360839844}, 'sample_time_ms': 405.975, 'sample_peak_throughput': 1231.602, 'num_steps_trained': 63500, 'num_steps_sampled': 63500, 'update_time_ms': 16.402}",7,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819499,322.6666666666667,ip-172-30-1-23,3819,27,63500,44.0,10.168673992156982,81.15160512924194,2018-08-21_02-44-59,False,660.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},6230.814814814815
"{'opt_samples': 500.0, 'opt_peak_throughput': 8544.452, 'grad_time_ms': 58.518, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.07997530698776245, 'var_gnorm': 11.082686424255371, 'cur_lr': 0.000697777490131557, 'policy_entropy': 1073.3106689453125, 'policy_loss': 2.922159194946289, 'vf_loss': 11.815163612365723}, 'sample_time_ms': 388.09, 'sample_peak_throughput': 1288.362, 'num_steps_trained': 74500, 'num_steps_sampled': 74500, 'update_time_ms': 15.69}",8,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819509,338.6666666666667,ip-172-30-1-23,3819,33,74500,44.0,10.363463878631592,91.51506900787354,2018-08-21_02-45-09,False,660.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},6171.242424242424
"{'opt_samples': 500.0, 'opt_peak_throughput': 8509.452, 'grad_time_ms': 58.758, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.2995143532752991, 'var_gnorm': 11.136754035949707, 'cur_lr': 0.0006973925046622753, 'policy_entropy': 1074.41845703125, 'policy_loss': -7.057149887084961, 'vf_loss': 11.65329360961914}, 'sample_time_ms': 400.472, 'sample_peak_throughput': 1248.525, 'num_steps_trained': 85000, 'num_steps_sampled': 85000, 'update_time_ms': 16.339}",9,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819520,358.7692307692308,ip-172-30-1-23,3819,39,85000,44.0,10.228698968887329,101.74376797676086,2018-08-21_02-45-20,False,660.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},6212.538461538462
"{'opt_samples': 500.0, 'opt_peak_throughput': 8645.946, 'grad_time_ms': 57.831, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.21107059717178345, 'var_gnorm': 11.200010299682617, 'cur_lr': 0.0006970249814912677, 'policy_entropy': 1083.183837890625, 'policy_loss': 46.38174057006836, 'vf_loss': 25.018924713134766}, 'sample_time_ms': 383.759, 'sample_peak_throughput': 1302.9, 'num_steps_trained': 96000, 'num_steps_sampled': 96000, 'update_time_ms': 16.326}",10,71862953680445e9b1e253bb99eecdd2,172.30.1.23,1534819530,364.32,ip-172-30-1-23,3819,50,96000,44.0,10.419010877609253,112.16277885437012,2018-08-21_02-45-30,False,660.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BeamRiderNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},6097.56
