info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'opt_samples': 500.0, 'opt_peak_throughput': 29.872, 'grad_time_ms': 16737.842, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': -11.642206192016602, 'var_gnorm': 9.65432071685791, 'cur_lr': 0.000699999975040555, 'policy_entropy': 414.9095458984375, 'policy_loss': 65.68583679199219, 'vf_loss': 27.472942352294922}, 'sample_time_ms': 3183.353, 'sample_peak_throughput': 157.067, 'num_steps_trained': 500, 'num_steps_sampled': 500, 'update_time_ms': 50.353}",1,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819438,nan,ip-172-30-1-23,3778,0,500,nan,20.002690076828003,20.002690076828003,2018-08-21_02-43-58,False,nan,500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8531.632, 'grad_time_ms': 58.605, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.18337053060531616, 'var_gnorm': 9.97070598602295, 'cur_lr': 0.000699982512742281, 'policy_entropy': 651.1656494140625, 'policy_loss': -91.01702880859375, 'vf_loss': 20.814435958862305}, 'sample_time_ms': 406.963, 'sample_peak_throughput': 1228.614, 'num_steps_trained': 11000, 'num_steps_sampled': 11000, 'update_time_ms': 18.11}",2,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819448,0.5573770491803278,ip-172-30-1-23,3778,61,11000,0.0,10.439351081848145,30.442041158676147,2018-08-21_02-44-08,False,5.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},609.7049180327868
"{'opt_samples': 500.0, 'opt_peak_throughput': 8501.567, 'grad_time_ms': 58.813, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.30147814750671387, 'var_gnorm': 10.206522941589355, 'cur_lr': 0.0006996149895712733, 'policy_entropy': 675.391845703125, 'policy_loss': 75.29059600830078, 'vf_loss': 32.128379821777344}, 'sample_time_ms': 411.387, 'sample_peak_throughput': 1215.4, 'num_steps_trained': 21500, 'num_steps_sampled': 21500, 'update_time_ms': 17.644}",3,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819459,1.26,ip-172-30-1-23,3778,100,21500,0.0,10.421118021011353,40.8631591796875,2018-08-21_02-44-19,False,12.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},707.23
"{'opt_samples': 500.0, 'opt_peak_throughput': 8601.58, 'grad_time_ms': 58.129, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.7328760623931885, 'var_gnorm': 10.389798164367676, 'cur_lr': 0.0006992475246079266, 'policy_entropy': 655.24560546875, 'policy_loss': -16.496688842773438, 'vf_loss': 15.46288776397705}, 'sample_time_ms': 429.934, 'sample_peak_throughput': 1162.97, 'num_steps_trained': 32000, 'num_steps_sampled': 32000, 'update_time_ms': 17.33}",4,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819469,1.69,ip-172-30-1-23,3778,100,32000,0.0,10.261979818344116,51.125138998031616,2018-08-21_02-44-29,False,10.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},784.76
"{'opt_samples': 500.0, 'opt_peak_throughput': 8316.669, 'grad_time_ms': 60.12, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.5945067405700684, 'var_gnorm': 10.64596176147461, 'cur_lr': 0.000698880001436919, 'policy_entropy': 651.900634765625, 'policy_loss': -14.23099136352539, 'vf_loss': 23.574432373046875}, 'sample_time_ms': 400.223, 'sample_peak_throughput': 1249.305, 'num_steps_trained': 42500, 'num_steps_sampled': 42500, 'update_time_ms': 16.955}",5,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819479,1.79,ip-172-30-1-23,3778,100,42500,0.0,10.241533994674683,61.3666729927063,2018-08-21_02-44-39,False,9.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},804.01
"{'opt_samples': 500.0, 'opt_peak_throughput': 8177.766, 'grad_time_ms': 61.141, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.47173720598220825, 'var_gnorm': 10.98110580444336, 'cur_lr': 0.0006985124782659113, 'policy_entropy': 633.5357055664062, 'policy_loss': -10.536637306213379, 'vf_loss': 19.520671844482422}, 'sample_time_ms': 400.567, 'sample_peak_throughput': 1248.231, 'num_steps_trained': 53000, 'num_steps_sampled': 53000, 'update_time_ms': 17.384}",6,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819489,2.38,ip-172-30-1-23,3778,100,53000,0.0,10.157001972198486,71.52367496490479,2018-08-21_02-44-49,False,13.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},873.35
"{'opt_samples': 500.0, 'opt_peak_throughput': 8106.448, 'grad_time_ms': 61.679, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.5789492130279541, 'var_gnorm': 11.306258201599121, 'cur_lr': 0.0006981450133025646, 'policy_entropy': 614.0121459960938, 'policy_loss': -12.954023361206055, 'vf_loss': 27.21141242980957}, 'sample_time_ms': 393.936, 'sample_peak_throughput': 1269.242, 'num_steps_trained': 63500, 'num_steps_sampled': 63500, 'update_time_ms': 17.603}",7,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819499,2.72,ip-172-30-1-23,3778,100,63500,0.0,10.120381116867065,81.64405608177185,2018-08-21_02-44-59,False,13.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},919.16
"{'opt_samples': 500.0, 'opt_peak_throughput': 8829.664, 'grad_time_ms': 56.627, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.8410378694534302, 'var_gnorm': 11.555322647094727, 'cur_lr': 0.000697777490131557, 'policy_entropy': 613.775634765625, 'policy_loss': -7.907716274261475, 'vf_loss': 9.80102252960205}, 'sample_time_ms': 417.243, 'sample_peak_throughput': 1198.342, 'num_steps_trained': 74000, 'num_steps_sampled': 74000, 'update_time_ms': 15.49}",8,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819510,2.7,ip-172-30-1-23,3778,100,74000,0.0,10.359145879745483,92.00320196151733,2018-08-21_02-45-10,False,13.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},924.61
"{'opt_samples': 500.0, 'opt_peak_throughput': 8580.039, 'grad_time_ms': 58.275, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.6919887065887451, 'var_gnorm': 11.777778625488281, 'cur_lr': 0.0006974100251682103, 'policy_entropy': 595.3161010742188, 'policy_loss': 19.574411392211914, 'vf_loss': 20.556488037109375}, 'sample_time_ms': 405.688, 'sample_peak_throughput': 1232.475, 'num_steps_trained': 84500, 'num_steps_sampled': 84500, 'update_time_ms': 14.996}",9,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819520,3.02,ip-172-30-1-23,3778,100,84500,0.0,10.216594934463501,102.21979689598083,2018-08-21_02-45-20,False,13.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},968.91
"{'opt_samples': 500.0, 'opt_peak_throughput': 8883.237, 'grad_time_ms': 56.286, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.5609897375106812, 'var_gnorm': 11.978307723999023, 'cur_lr': 0.0006970425019972026, 'policy_entropy': 610.9686279296875, 'policy_loss': 5.1369218826293945, 'vf_loss': 26.23041343688965}, 'sample_time_ms': 382.347, 'sample_peak_throughput': 1307.714, 'num_steps_trained': 95500, 'num_steps_sampled': 95500, 'update_time_ms': 15.467}",10,f8ddd1da69aa4538b83cca61ed7e8f0a,172.30.1.23,1534819530,3.49,ip-172-30-1-23,3778,100,95500,0.0,10.377762079238892,112.59755897521973,2018-08-21_02-45-30,False,13.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1017.51
