info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'opt_samples': 500.0, 'opt_peak_throughput': 29.997, 'grad_time_ms': 16668.234, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.1610950231552124, 'var_gnorm': 9.845658302307129, 'cur_lr': 0.000699999975040555, 'policy_entropy': 0.9189432859420776, 'policy_loss': -0.058558061718940735, 'vf_loss': 146.29026794433594}, 'sample_time_ms': 3215.914, 'sample_peak_throughput': 155.477, 'num_steps_trained': 500, 'num_steps_sampled': 500, 'update_time_ms': 66.89}",1,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819438,nan,ip-172-30-1-23,3824,0,500,nan,19.982150077819824,19.982150077819824,2018-08-21_02-43-58,False,nan,500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8582.616, 'grad_time_ms': 58.257, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': -0.002665877342224121, 'var_gnorm': 10.019979476928711, 'cur_lr': 0.000699982512742281, 'policy_entropy': 738.7522583007812, 'policy_loss': -141.07595825195312, 'vf_loss': 75.6217041015625}, 'sample_time_ms': 382.166, 'sample_peak_throughput': 1308.333, 'num_steps_trained': 11500, 'num_steps_sampled': 11500, 'update_time_ms': 15.625}",2,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819448,nan,ip-172-30-1-23,3824,0,11500,nan,10.297820091247559,30.279970169067383,2018-08-21_02-44-08,False,nan,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8419.163, 'grad_time_ms': 59.388, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.41460514068603516, 'var_gnorm': 10.188377380371094, 'cur_lr': 0.0006995975272729993, 'policy_entropy': 11.124238967895508, 'policy_loss': 6.402715682983398, 'vf_loss': 154.5290985107422}, 'sample_time_ms': 398.225, 'sample_peak_throughput': 1255.57, 'num_steps_trained': 22500, 'num_steps_sampled': 22500, 'update_time_ms': 17.024}",3,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819459,176.6304347826087,ip-172-30-1-23,3824,46,22500,25.0,10.414590835571289,40.69456100463867,2018-08-21_02-44-19,False,550.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1680.195652173913
"{'opt_samples': 500.0, 'opt_peak_throughput': 8544.703, 'grad_time_ms': 58.516, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.543603777885437, 'var_gnorm': 10.295475959777832, 'cur_lr': 0.0006992124835960567, 'policy_entropy': 4.561327934265137, 'policy_loss': -0.1138220801949501, 'vf_loss': 37.6177864074707}, 'sample_time_ms': 409.38, 'sample_peak_throughput': 1221.359, 'num_steps_trained': 33500, 'num_steps_sampled': 33500, 'update_time_ms': 16.0}",4,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819469,181.33333333333334,ip-172-30-1-23,3824,75,33500,25.0,10.3523530960083,51.04691410064697,2018-08-21_02-44-29,False,550.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1559.6266666666668
"{'opt_samples': 500.0, 'opt_peak_throughput': 8829.604, 'grad_time_ms': 56.628, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9573104381561279, 'var_gnorm': 10.34034252166748, 'cur_lr': 0.000698827498126775, 'policy_entropy': 70.814453125, 'policy_loss': 4.426018714904785, 'vf_loss': 17.54222869873047}, 'sample_time_ms': 381.308, 'sample_peak_throughput': 1311.275, 'num_steps_trained': 44500, 'num_steps_sampled': 44500, 'update_time_ms': 14.434}",5,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819479,171.5,ip-172-30-1-23,3824,100,44500,50.0,10.47064995765686,61.51756405830383,2018-08-21_02-44-39,False,550.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1430.31
"{'opt_samples': 500.0, 'opt_peak_throughput': 8696.427, 'grad_time_ms': 57.495, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.4128994345664978, 'var_gnorm': 10.375527381896973, 'cur_lr': 0.0006984425126574934, 'policy_entropy': 664.9923706054688, 'policy_loss': 55.423858642578125, 'vf_loss': 70.74900817871094}, 'sample_time_ms': 401.371, 'sample_peak_throughput': 1245.729, 'num_steps_trained': 55500, 'num_steps_sampled': 55500, 'update_time_ms': 16.968}",6,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819490,169.5,ip-172-30-1-23,3824,100,55500,150.0,10.3819899559021,71.89955401420593,2018-08-21_02-44-50,False,550.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1330.07
"{'opt_samples': 500.0, 'opt_peak_throughput': 8485.839, 'grad_time_ms': 58.922, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.19256341457366943, 'var_gnorm': 10.440855979919434, 'cur_lr': 0.0006980575271882117, 'policy_entropy': 653.210205078125, 'policy_loss': -13.983019828796387, 'vf_loss': 119.34101867675781}, 'sample_time_ms': 397.042, 'sample_peak_throughput': 1259.313, 'num_steps_trained': 66000, 'num_steps_sampled': 66000, 'update_time_ms': 16.529}",7,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819500,185.0,ip-172-30-1-23,3824,100,66000,125.0,10.14846396446228,82.04801797866821,2018-08-21_02-45-00,False,500.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1364.21
"{'opt_samples': 500.0, 'opt_peak_throughput': 8515.471, 'grad_time_ms': 58.717, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.48096781969070435, 'var_gnorm': 10.499156951904297, 'cur_lr': 0.000697690004017204, 'policy_entropy': 667.330322265625, 'policy_loss': -14.587190628051758, 'vf_loss': 44.78718566894531}, 'sample_time_ms': 384.307, 'sample_peak_throughput': 1301.044, 'num_steps_trained': 77000, 'num_steps_sampled': 77000, 'update_time_ms': 17.103}",8,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819510,230.5,ip-172-30-1-23,3824,100,77000,125.0,10.352722883224487,92.4007408618927,2018-08-21_02-45-10,False,525.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1411.97
"{'opt_samples': 500.0, 'opt_peak_throughput': 8804.46, 'grad_time_ms': 56.789, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.4792434573173523, 'var_gnorm': 10.566252708435059, 'cur_lr': 0.0006973050185479224, 'policy_entropy': 647.96728515625, 'policy_loss': 66.37232971191406, 'vf_loss': 90.15512084960938}, 'sample_time_ms': 400.701, 'sample_peak_throughput': 1247.813, 'num_steps_trained': 87500, 'num_steps_sampled': 87500, 'update_time_ms': 14.817}",9,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819520,269.0,ip-172-30-1-23,3824,100,87500,0.0,10.091904163360596,102.4926450252533,2018-08-21_02-45-20,False,675.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1464.11
"{'opt_samples': 500.0, 'opt_peak_throughput': 8871.284, 'grad_time_ms': 56.362, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.7603609561920166, 'var_gnorm': 10.64700984954834, 'cur_lr': 0.0006969374953769147, 'policy_entropy': 507.7814025878906, 'policy_loss': 32.417659759521484, 'vf_loss': 87.16822052001953}, 'sample_time_ms': 386.423, 'sample_peak_throughput': 1293.918, 'num_steps_trained': 99000, 'num_steps_sampled': 99000, 'update_time_ms': 14.852}",10,f36f6530db7a49dfa746d3d0a8c70c6f,172.30.1.23,1534819531,287.5,ip-172-30-1-23,3824,100,99000,0.0,10.458247184753418,112.95089221000671,2018-08-21_02-45-31,False,675.0,11500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1418.55
