info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'opt_samples': 500.0, 'opt_peak_throughput': 29.387, 'grad_time_ms': 17014.474, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': -0.6566997766494751, 'var_gnorm': 9.855259895324707, 'cur_lr': 0.000699999975040555, 'policy_entropy': 38.61594772338867, 'policy_loss': 5.377865791320801, 'vf_loss': 45.81835174560547}, 'sample_time_ms': 3117.132, 'sample_peak_throughput': 160.404, 'num_steps_trained': 500, 'num_steps_sampled': 500, 'update_time_ms': 71.857}",1,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819438,nan,ip-172-30-1-23,3792,0,500,nan,20.22709012031555,20.22709012031555,2018-08-21_02-43-58,False,nan,500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},nan
"{'opt_samples': 500.0, 'opt_peak_throughput': 8070.722, 'grad_time_ms': 61.952, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.2564157247543335, 'var_gnorm': 10.118349075317383, 'cur_lr': 0.000699982512742281, 'policy_entropy': 489.4860534667969, 'policy_loss': -97.76927185058594, 'vf_loss': 167.7818145751953}, 'sample_time_ms': 408.091, 'sample_peak_throughput': 1225.216, 'num_steps_trained': 11000, 'num_steps_sampled': 11000, 'update_time_ms': 17.625}",2,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819448,18.26086956521739,ip-172-30-1-23,3792,23,11000,0.0,10.186276912689209,30.41336703300476,2018-08-21_02-44-08,False,50.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1173.3478260869565
"{'opt_samples': 500.0, 'opt_peak_throughput': 8419.9, 'grad_time_ms': 59.383, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.13295888900756836, 'var_gnorm': 10.26343059539795, 'cur_lr': 0.0006996149895712733, 'policy_entropy': 584.73291015625, 'policy_loss': -130.0557403564453, 'vf_loss': 113.1056137084961}, 'sample_time_ms': 409.671, 'sample_peak_throughput': 1220.492, 'num_steps_trained': 21500, 'num_steps_sampled': 21500, 'update_time_ms': 18.034}",3,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819458,49.85294117647059,ip-172-30-1-23,3792,34,21500,0.0,10.284350872039795,40.697717905044556,2018-08-21_02-44-18,False,265.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1378.5294117647059
"{'opt_samples': 500.0, 'opt_peak_throughput': 8341.037, 'grad_time_ms': 59.945, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.6949349641799927, 'var_gnorm': 10.367769241333008, 'cur_lr': 0.0006992475246079266, 'policy_entropy': 730.6142578125, 'policy_loss': -30.938644409179688, 'vf_loss': 44.30857467651367}, 'sample_time_ms': 390.599, 'sample_peak_throughput': 1280.084, 'num_steps_trained': 32500, 'num_steps_sampled': 32500, 'update_time_ms': 17.378}",4,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819469,131.60377358490567,ip-172-30-1-23,3792,53,32500,0.0,10.403165102005005,51.10088300704956,2018-08-21_02-44-29,False,670.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1762.698113207547
"{'opt_samples': 500.0, 'opt_peak_throughput': 8627.77, 'grad_time_ms': 57.952, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.5826700925827026, 'var_gnorm': 10.446263313293457, 'cur_lr': 0.000698862480930984, 'policy_entropy': 647.0132446289062, 'policy_loss': 21.746971130371094, 'vf_loss': 89.11473083496094}, 'sample_time_ms': 391.677, 'sample_peak_throughput': 1276.563, 'num_steps_trained': 43000, 'num_steps_sampled': 43000, 'update_time_ms': 17.019}",5,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819479,144.15584415584416,ip-172-30-1-23,3792,77,43000,0.0,10.158777952194214,61.259660959243774,2018-08-21_02-44-39,False,670.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1903.0
"{'opt_samples': 500.0, 'opt_peak_throughput': 8719.793, 'grad_time_ms': 57.341, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.39146244525909424, 'var_gnorm': 10.486542701721191, 'cur_lr': 0.0006984950159676373, 'policy_entropy': 309.17529296875, 'policy_loss': -35.911338806152344, 'vf_loss': 74.7630844116211}, 'sample_time_ms': 396.274, 'sample_peak_throughput': 1261.752, 'num_steps_trained': 53500, 'num_steps_sampled': 53500, 'update_time_ms': 16.511}",6,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819489,151.26436781609195,ip-172-30-1-23,3792,87,53500,0.0,10.147517919540405,71.40717887878418,2018-08-21_02-44-49,False,670.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},1960.0344827586207
"{'opt_samples': 500.0, 'opt_peak_throughput': 8221.549, 'grad_time_ms': 60.816, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.7468552589416504, 'var_gnorm': 10.520303726196289, 'cur_lr': 0.0006981274927966297, 'policy_entropy': 600.9114379882812, 'policy_loss': -28.337139129638672, 'vf_loss': 88.05170440673828}, 'sample_time_ms': 407.706, 'sample_peak_throughput': 1226.375, 'num_steps_trained': 64000, 'num_steps_sampled': 64000, 'update_time_ms': 17.905}",7,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819499,187.3,ip-172-30-1-23,3792,100,64000,0.0,10.161095142364502,81.56827402114868,2018-08-21_02-44-59,False,670.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},2163.92
"{'opt_samples': 500.0, 'opt_peak_throughput': 8580.983, 'grad_time_ms': 58.268, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.1707952618598938, 'var_gnorm': 10.590765953063965, 'cur_lr': 0.000697760027833283, 'policy_entropy': 837.2646484375, 'policy_loss': -41.04780960083008, 'vf_loss': 77.4822006225586}, 'sample_time_ms': 383.769, 'sample_peak_throughput': 1302.866, 'num_steps_trained': 75000, 'num_steps_sampled': 75000, 'update_time_ms': 16.093}",8,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819510,224.4,ip-172-30-1-23,3792,100,75000,35.0,10.379077911376953,91.94735193252563,2018-08-21_02-45-10,False,680.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},2396.66
"{'opt_samples': 500.0, 'opt_peak_throughput': 8246.854, 'grad_time_ms': 60.629, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.13626956939697266, 'var_gnorm': 10.689244270324707, 'cur_lr': 0.0006973749841563404, 'policy_entropy': 820.4940185546875, 'policy_loss': 63.90065383911133, 'vf_loss': 98.57266998291016}, 'sample_time_ms': 408.171, 'sample_peak_throughput': 1224.977, 'num_steps_trained': 85500, 'num_steps_sampled': 85500, 'update_time_ms': 16.44}",9,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819520,217.05,ip-172-30-1-23,3792,100,85500,35.0,10.326111078262329,102.27346301078796,2018-08-21_02-45-20,False,680.0,10500,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},2392.06
"{'opt_samples': 500.0, 'opt_peak_throughput': 8688.112, 'grad_time_ms': 57.55, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.17831480503082275, 'var_gnorm': 10.794622421264648, 'cur_lr': 0.0006970075191929936, 'policy_entropy': 818.0280151367188, 'policy_loss': -56.826534271240234, 'vf_loss': 71.74815368652344}, 'sample_time_ms': 382.779, 'sample_peak_throughput': 1306.236, 'num_steps_trained': 96500, 'num_steps_sampled': 96500, 'update_time_ms': 16.603}",10,95ca2769e9be47059c061e713ac46c7b,172.30.1.23,1534819530,202.9,ip-172-30-1-23,3792,100,96500,35.0,10.297126054763794,112.57058906555176,2018-08-21_02-45-30,False,680.0,11000,"{'grad_clip': 40.0, 'tf_session_args': {'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'intra_op_parallelism_threads': 1}, 'use_pytorch': False, 'sample_batch_size': 100, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'env_config': {}, 'vtrace': False, 'entropy_coeff': -0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'num_workers': 5, 'use_gpu_for_workers': False, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'dim': 84, 'zero_mean': False, 'use_lstm': False, 'grayscale': True, 'channel_major': False, 'max_seq_len': 20}, 'gamma': 0.99, 'lambda': 1.0}",{},2277.84
