iterations_since_restore,pid,date,episodes,timesteps_since_restore,done,hostname,time_this_iter_s,time_total_s,config,time_since_restore,training_iteration,node_ip,timestamp,episode_reward_mean,episode_reward_min,timesteps_total,timesteps_this_iter,info,episode_len_mean,experiment_id,episode_reward_max,policy_reward_mean
1,32330,2018-09-29_02-02-07,35,37440,False,ip-172-30-1-193,31.59226107597351,31.59226107597351,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",31.59226107597351,1,172.30.1.193,1538186527,150.71428571428572,0.0,37440,37440,"{'max_exploration': 0.4, 'sample_throughput': 2802.055, 'train_throughput': 0.0, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 76, 'num_steps_trained': 0, 'num_steps_sampled': 37440, 'num_target_updates': 0}",1267.142857142857,5aa3c12baf9c4f39a932c198cdb79e77,600.0,{}
2,32330,2018-09-29_02-02-38,46,77920,False,ip-172-30-1-193,31.055694103240967,62.64795517921448,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",62.64795517921448,2,172.30.1.193,1538186558,123.91304347826087,0.0,77920,40480,"{'max_exploration': 0.4, 'sample_throughput': 1242.907, 'train_throughput': 5464.143, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 159, 'num_steps_trained': 129024, 'num_steps_sampled': 77920, 'num_target_updates': 2}",1325.108695652174,5aa3c12baf9c4f39a932c198cdb79e77,600.0,{}
3,32330,2018-09-29_02-03-09,46,117600,False,ip-172-30-1-193,31.366894006729126,94.0148491859436,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",94.0148491859436,3,172.30.1.193,1538186589,156.52173913043478,0.0,117600,39680,"{'max_exploration': 0.4, 'sample_throughput': 1266.584, 'train_throughput': 5340.958, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 243, 'num_steps_trained': 299520, 'num_steps_sampled': 117600, 'num_target_updates': 5}",1437.8478260869565,5aa3c12baf9c4f39a932c198cdb79e77,750.0,{}
4,32330,2018-09-29_02-03-41,39,157120,False,ip-172-30-1-193,31.519531965255737,125.53438115119934,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",125.53438115119934,4,172.30.1.193,1538186621,158.97435897435898,0.0,157120,39520,"{'max_exploration': 0.4, 'sample_throughput': 1254.609, 'train_throughput': 5505.943, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 325, 'num_steps_trained': 470528, 'num_steps_sampled': 157120, 'num_target_updates': 9}",1507.923076923077,5aa3c12baf9c4f39a932c198cdb79e77,725.0,{}
5,32330,2018-09-29_02-04-12,38,195520,False,ip-172-30-1-193,31.410710096359253,156.9450912475586,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",156.9450912475586,5,172.30.1.193,1538186652,270.39473684210526,25.0,195520,38400,"{'max_exploration': 0.4, 'sample_throughput': 1244.868, 'train_throughput': 5385.205, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 406, 'num_steps_trained': 636416, 'num_steps_sampled': 195520, 'num_target_updates': 12}",1710.3157894736842,5aa3c12baf9c4f39a932c198cdb79e77,750.0,{}
6,32330,2018-09-29_02-04-44,39,235040,False,ip-172-30-1-193,31.512425899505615,188.4575171470642,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",188.4575171470642,6,172.30.1.193,1538186684,296.15384615384613,125.0,235040,39520,"{'max_exploration': 0.4, 'sample_throughput': 1229.405, 'train_throughput': 5381.546, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 486, 'num_steps_trained': 805888, 'num_steps_sampled': 235040, 'num_target_updates': 15}",1579.5128205128206,5aa3c12baf9c4f39a932c198cdb79e77,575.0,{}
7,32330,2018-09-29_02-05-15,36,274560,False,ip-172-30-1-193,31.577450037002563,220.03496718406677,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",220.03496718406677,7,172.30.1.193,1538186715,347.22222222222223,175.0,274560,39520,"{'max_exploration': 0.4, 'sample_throughput': 1274.727, 'train_throughput': 5514.375, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 570, 'num_steps_trained': 978944, 'num_steps_sampled': 274560, 'num_target_updates': 18}",1666.75,5aa3c12baf9c4f39a932c198cdb79e77,900.0,{}
8,32330,2018-09-29_02-05-47,35,314240,False,ip-172-30-1-193,31.563767194747925,251.5987343788147,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",251.5987343788147,8,172.30.1.193,1538186747,297.85714285714283,175.0,314240,39680,"{'max_exploration': 0.4, 'sample_throughput': 1247.341, 'train_throughput': 5334.082, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 651, 'num_steps_trained': 1149440, 'num_steps_sampled': 314240, 'num_target_updates': 21}",1647.8285714285714,5aa3c12baf9c4f39a932c198cdb79e77,400.0,{}
9,32330,2018-09-29_02-06-18,28,353120,False,ip-172-30-1-193,31.15831995010376,282.75705432891846,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",282.75705432891846,9,172.30.1.193,1538186778,340.17857142857144,175.0,353120,38880,"{'max_exploration': 0.4, 'sample_throughput': 1251.599, 'train_throughput': 5416.445, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 732, 'num_steps_trained': 1318912, 'num_steps_sampled': 353120, 'num_target_updates': 25}",2054.5714285714284,5aa3c12baf9c4f39a932c198cdb79e77,600.0,{}
10,32330,2018-09-29_02-06-49,32,392320,False,ip-172-30-1-193,31.213881969451904,313.97093629837036,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'QbertNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",313.97093629837036,10,172.30.1.193,1538186809,392.96875,225.0,392320,39200,"{'max_exploration': 0.4, 'sample_throughput': 1269.791, 'train_throughput': 5417.774, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 814, 'num_steps_trained': 1488896, 'num_steps_sampled': 392320, 'num_target_updates': 28}",2073.59375,5aa3c12baf9c4f39a932c198cdb79e77,1000.0,{}
