iterations_since_restore,pid,date,episodes,timesteps_since_restore,done,hostname,time_this_iter_s,time_total_s,config,time_since_restore,training_iteration,node_ip,timestamp,episode_reward_mean,episode_reward_min,timesteps_total,timesteps_this_iter,info,episode_len_mean,experiment_id,episode_reward_max,policy_reward_mean
1,32307,2018-09-29_02-02-06,18,39680,False,ip-172-30-1-193,31.138329029083252,31.138329029083252,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",31.138329029083252,1,172.30.1.193,1538186526,106.38888888888889,30.0,39680,39680,"{'max_exploration': 0.4, 'sample_throughput': 2324.157, 'train_throughput': 0.0, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 79, 'num_steps_trained': 0, 'num_steps_sampled': 39680, 'num_target_updates': 0}",1763.5555555555557,364c7ee8550a4ba0ae7210cca7be0d64,210.0,{}
2,32307,2018-09-29_02-02-37,28,80000,False,ip-172-30-1-193,30.943464994430542,62.081794023513794,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",62.081794023513794,2,172.30.1.193,1538186557,157.5,25.0,80000,40320,"{'max_exploration': 0.4, 'sample_throughput': 1207.441, 'train_throughput': 5431.207, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 164, 'num_steps_trained': 140288, 'num_steps_sampled': 80000, 'num_target_updates': 2}",2253.285714285714,364c7ee8550a4ba0ae7210cca7be0d64,425.0,{}
3,32307,2018-09-29_02-03-08,26,118880,False,ip-172-30-1-193,31.118093013763428,93.19988703727722,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",93.19988703727722,3,172.30.1.193,1538186588,150.57692307692307,30.0,118880,38880,"{'max_exploration': 0.4, 'sample_throughput': 1279.301, 'train_throughput': 5325.515, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 245, 'num_steps_trained': 307200, 'num_steps_sampled': 118880, 'num_target_updates': 5}",2181.3076923076924,364c7ee8550a4ba0ae7210cca7be0d64,400.0,{}
4,32307,2018-09-29_02-03-40,24,158880,False,ip-172-30-1-193,31.63393998146057,124.8338270187378,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",124.8338270187378,4,172.30.1.193,1538186620,188.54166666666666,40.0,158880,40000,"{'max_exploration': 0.4, 'sample_throughput': 1302.638, 'train_throughput': 5520.368, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 329, 'num_steps_trained': 481792, 'num_steps_sampled': 158880, 'num_target_updates': 9}",2447.8333333333335,364c7ee8550a4ba0ae7210cca7be0d64,580.0,{}
5,32307,2018-09-29_02-04-11,29,195520,False,ip-172-30-1-193,30.505715131759644,155.33954215049744,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",155.33954215049744,5,172.30.1.193,1538186651,162.41379310344828,5.0,195520,36640,"{'max_exploration': 0.4, 'sample_throughput': 1252.751, 'train_throughput': 5406.369, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 405, 'num_steps_trained': 644096, 'num_steps_sampled': 195520, 'num_target_updates': 12}",2055.2758620689656,364c7ee8550a4ba0ae7210cca7be0d64,605.0,{}
6,32307,2018-09-29_02-04-42,26,235200,False,ip-172-30-1-193,31.4985671043396,186.83810925483704,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",186.83810925483704,6,172.30.1.193,1538186682,156.53846153846155,25.0,235200,39680,"{'max_exploration': 0.4, 'sample_throughput': 1288.725, 'train_throughput': 5392.82, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 487, 'num_steps_trained': 814080, 'num_steps_sampled': 235200, 'num_target_updates': 15}",2225.230769230769,364c7ee8550a4ba0ae7210cca7be0d64,425.0,{}
7,32307,2018-09-29_02-05-13,25,273600,False,ip-172-30-1-193,30.571861028671265,217.4099702835083,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",217.4099702835083,7,172.30.1.193,1538186713,216.8,30.0,273600,38400,"{'max_exploration': 0.4, 'sample_throughput': 1284.356, 'train_throughput': 5430.989, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 567, 'num_steps_trained': 980480, 'num_steps_sampled': 273600, 'num_target_updates': 18}",2362.52,364c7ee8550a4ba0ae7210cca7be0d64,655.0,{}
8,32307,2018-09-29_02-05-43,27,312000,False,ip-172-30-1-193,30.739614009857178,248.14958429336548,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",248.14958429336548,8,172.30.1.193,1538186743,230.37037037037038,80.0,312000,38400,"{'max_exploration': 0.4, 'sample_throughput': 1242.896, 'train_throughput': 5338.855, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 647, 'num_steps_trained': 1146880, 'num_steps_sampled': 312000, 'num_target_updates': 21}",2437.814814814815,364c7ee8550a4ba0ae7210cca7be0d64,550.0,{}
9,32307,2018-09-29_02-06-14,25,350560,False,ip-172-30-1-193,30.581653833389282,278.73123812675476,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",278.73123812675476,9,172.30.1.193,1538186774,211.6,35.0,350560,38560,"{'max_exploration': 0.4, 'sample_throughput': 1294.633, 'train_throughput': 5474.449, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 728, 'num_steps_trained': 1313792, 'num_steps_sampled': 350560, 'num_target_updates': 24}",2120.96,364c7ee8550a4ba0ae7210cca7be0d64,455.0,{}
10,32307,2018-09-29_02-06-45,29,390080,False,ip-172-30-1-193,31.11581301689148,309.84705114364624,"{'exploration_fraction': 0.1, 'hiddens': [512], 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'synchronize_filters': True, 'double_q': False, 'num_gpus_per_worker': 0, 'custom_schedules': {}, 'clip_rewards': None, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 160, 'sigma0': 0.5, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'batch_mode': 'truncate_episodes', 'num_cpus_per_worker': 1, 'dueling': False, 'env_config': {}, 'exploration_final_eps': 0.01, 'v_min': -10.0, 'env': 'SpaceInvadersNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'AsyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'prioritized_replay_eps': 1e-06, 'preprocessor_pref': 'deepmind', 'schedule_max_timesteps': 2000000, 'optimizer': {'prioritized_replay_eps': 1e-06, 'num_replay_buffer_shards': 4, 'learning_starts': 50000, 'train_batch_size': 512, 'max_weight_sync_delay': 400, 'debug': False, 'buffer_size': 1000000, 'sample_batch_size': 160, 'prioritized_replay_beta': 0.4, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': False}, 'num_workers': 8, 'worker_side_prioritization': True, 'beta_annealing_fraction': 1.0, 'timesteps_per_iteration': 25000, 'buffer_size': 1000000, 'prioritized_replay_alpha': 0.5, 'adam_epsilon': 0.00015, 'noisy': False, 'per_worker_exploration': True, 'num_envs_per_worker': 8, 'custom_schedule_attr': 'episode_reward_mean', 'grad_norm_clipping': 40, 'learning_starts': 50000, 'min_iter_time_s': 30, 'train_batch_size': 512, 'lr': 0.0001, 'observation_filter': 'NoFilter', 'gpu_fraction': 1, 'target_network_update_freq': 50000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 1, 'gamma': 0.99, 'prioritized_replay': False}",309.84705114364624,10,172.30.1.193,1538186805,190.17241379310346,40.0,390080,39520,"{'max_exploration': 0.4, 'sample_throughput': 1224.129, 'train_throughput': 5377.266, 'min_exploration': 0.0006553600000000003, 'num_weight_syncs': 811, 'num_steps_trained': 1482752, 'num_steps_sampled': 390080, 'num_target_updates': 27}",2140.344827586207,364c7ee8550a4ba0ae7210cca7be0d64,480.0,{}
