info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'replay_time_ms': nan, 'opt_samples': nan, 'max_exploration': 0.0, 'opt_peak_throughput': 0.0, 'grad_time_ms': nan, 'min_exploration': 0.0, 'sample_time_ms': 33.444, 'num_steps_trained': 0, 'num_steps_sampled': 10001, 'num_target_updates': 1, 'update_time_ms': 0.002}",1,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535314272,1.16,ip-172-30-1-20,116888,100,10001,0.0,80.26218891143799,80.26218891143799,2018-08-26_20-11-12,False,6.0,10001,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},707.5
"{'replay_time_ms': nan, 'opt_samples': nan, 'max_exploration': 0.0, 'opt_peak_throughput': 0.0, 'grad_time_ms': nan, 'min_exploration': 0.0, 'sample_time_ms': 30.651, 'num_steps_trained': 0, 'num_steps_sampled': 20001, 'num_target_updates': 2, 'update_time_ms': 0.002}",2,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535314354,1.23,ip-172-30-1-20,116888,100,20001,0.0,82.07232999801636,162.33451890945435,2018-08-26_20-12-34,False,9.0,10000,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},723.42
"{'replay_time_ms': 6.622, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1565.972, 'grad_time_ms': 20.435, 'min_exploration': 0.0, 'sample_time_ms': 32.55, 'num_steps_trained': 85088, 'num_steps_sampled': 30001, 'num_target_updates': 3, 'update_time_ms': 0.002}",3,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535314522,1.33,ip-172-30-1-20,116888,100,30001,0.0,167.38428115844727,329.7188000679016,2018-08-26_20-15-22,False,9.0,10000,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},710.39
"{'replay_time_ms': 6.514, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1509.52, 'grad_time_ms': 21.199, 'min_exploration': 0.0, 'sample_time_ms': 32.161, 'num_steps_trained': 170688, 'num_steps_sampled': 40004, 'num_target_updates': 4, 'update_time_ms': 0.001}",4,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535314691,1.0754716981132075,ip-172-30-1-20,116888,106,40004,0.0,169.65019416809082,499.36899423599243,2018-08-26_20-18-11,False,5.0,10003,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},684.311320754717
"{'replay_time_ms': 7.408, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1453.739, 'grad_time_ms': 22.012, 'min_exploration': 0.0, 'sample_time_ms': 32.963, 'num_steps_trained': 255936, 'num_steps_sampled': 50006, 'num_target_updates': 6, 'update_time_ms': 0.002}",5,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535314860,1.32,ip-172-30-1-20,116888,100,50006,0.0,168.37635493278503,667.7453491687775,2018-08-26_20-21-00,False,7.0,10002,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},719.92
"{'replay_time_ms': 7.143, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1265.258, 'grad_time_ms': 25.291, 'min_exploration': 0.0, 'sample_time_ms': 31.459, 'num_steps_trained': 340896, 'num_steps_sampled': 60006, 'num_target_updates': 7, 'update_time_ms': 0.002}",6,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535315026,1.42,ip-172-30-1-20,116888,100,60006,0.0,166.55301594734192,834.2983651161194,2018-08-26_20-23-46,False,8.0,10000,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},742.66
"{'replay_time_ms': 6.805, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1307.881, 'grad_time_ms': 24.467, 'min_exploration': 0.0, 'sample_time_ms': 32.997, 'num_steps_trained': 426144, 'num_steps_sampled': 70006, 'num_target_updates': 8, 'update_time_ms': 0.002}",7,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535315195,1.31,ip-172-30-1-20,116888,100,70006,0.0,168.60046911239624,1002.8988342285156,2018-08-26_20-26-35,False,8.0,10000,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},717.22
"{'replay_time_ms': 6.727, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1352.015, 'grad_time_ms': 23.668, 'min_exploration': 0.0, 'sample_time_ms': 31.313, 'num_steps_trained': 511424, 'num_steps_sampled': 80009, 'num_target_updates': 9, 'update_time_ms': 0.002}",8,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535315362,1.34,ip-172-30-1-20,116888,100,80009,0.0,167.251394033432,1170.1502282619476,2018-08-26_20-29-22,False,6.0,10003,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},715.35
"{'replay_time_ms': 7.561, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1357.02, 'grad_time_ms': 23.581, 'min_exploration': 0.0, 'sample_time_ms': 32.143, 'num_steps_trained': 597280, 'num_steps_sampled': 90010, 'num_target_updates': 11, 'update_time_ms': 0.002}",9,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535315531,0.9444444444444444,ip-172-30-1-20,116888,108,90010,0.0,169.22374200820923,1339.3739702701569,2018-08-26_20-32-11,False,8.0,10001,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},666.1018518518518
"{'replay_time_ms': 8.323, 'opt_samples': 32.0, 'max_exploration': 0.0, 'opt_peak_throughput': 1370.536, 'grad_time_ms': 23.349, 'min_exploration': 0.0, 'sample_time_ms': 34.096, 'num_steps_trained': 683136, 'num_steps_sampled': 100010, 'num_target_updates': 12, 'update_time_ms': 0.002}",10,cdeefe600c5e4fcaac47ff7cfad4b8b0,172.30.1.20,1535315701,1.0909090909090908,ip-172-30-1-20,116888,110,100010,0.0,169.16577792167664,1508.5397481918335,2018-08-26_20-35-01,False,8.0,10000,"{'exploration_fraction': 1e-06, 'prioritized_replay_eps': 1e-06, 'n_step': 3, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'double_q': True, 'num_gpus_per_worker': 0, 'schedule_max_timesteps': 2000000, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'dueling': True, 'compress_observations': True, 'v_max': 10.0, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'prioritized_replay_alpha': 0.5, 'num_cpus_per_worker': 1, 'sigma0': 0.5, 'env_config': {}, 'exploration_final_eps': 0.0, 'adam_epsilon': 0.00015, 'env': 'BreakoutNoFrameskip-v4', 'gpu': True, 'optimizer_class': 'SyncReplayOptimizer', 'final_prioritized_replay_beta': 1.0, 'sample_async': False, 'hiddens': [512], 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'prioritized_replay_eps': 1e-06, 'beta_annealing_fraction': 1.0, 'schedule_max_timesteps': 2000000, 'buffer_size': 1000000, 'learning_starts': 20000, 'final_prioritized_replay_beta': 1.0, 'prioritized_replay_beta': 0.4, 'sample_batch_size': 6, 'train_batch_size': 32, 'prioritized_replay_alpha': 0.5, 'prioritized_replay': True}, 'num_workers': 0, 'worker_side_prioritization': False, 'per_worker_exploration': False, 'timesteps_per_iteration': 10000, 'buffer_size': 1000000, 'batch_mode': 'truncate_episodes', 'v_min': -10.0, 'noisy': True, 'beta_annealing_fraction': 1.0, 'num_envs_per_worker': 1, 'grad_norm_clipping': 40, 'learning_starts': 20000, 'min_iter_time_s': 1, 'train_batch_size': 32, 'lr': 6.25e-05, 'observation_filter': 'NoFilter', 'target_network_update_freq': 8000, 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'num_atoms': 51, 'gamma': 0.99, 'prioritized_replay': True}",{},655.0090909090909
