episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent
7.0,0.0,1.2131147540983607,718.0,61,10000,False,10000,61,1,45c1c31d24834d8388777e259df526a5,2020-04-10_09-34-42,1586511282,42.17597842216492,42.17597842216492,16127,ip-172-31-22-137,172.31.22.137,42.17597842216492,10000,1,0,00000,0_env=BreakoutNoFrameskip-v4,"[0.0, 4.0, 0.0, 0.0, 1.0, 1.0, 4.0, 5.0, 3.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 5.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 7.0, 0.0, 0.0, 0.0]","[515, 1115, 543, 517, 701, 715, 1202, 1478, 1028, 509, 639, 817, 529, 521, 517, 537, 934, 541, 508, 809, 540, 513, 935, 1020, 500, 514, 825, 510, 535, 519, 1094, 540, 822, 652, 892, 720, 521, 529, 512, 910, 720, 521, 768, 516, 1022, 528, 802, 1430, 531, 697, 956, 515, 523, 649, 509, 914, 639, 1682, 536, 521, 541]",1.6112095379207194,0.3993645654584321,2.0111461315568877,[{'cur_epsilon': 1.0}],1,0,10000,17.899,0.0,0.0,0.002,0.0,0.0,6.663934426229508,3.1
7.0,0.0,1.35,731.45,60,10000,False,20000,121,2,45c1c31d24834d8388777e259df526a5,2020-04-10_09-35-24,1586511324,41.93389630317688,84.1098747253418,16127,ip-172-31-22-137,172.31.22.137,84.1098747253418,20000,2,0,00000,0_env=BreakoutNoFrameskip-v4,"[0.0, 1.0, 2.0, 0.0, 2.0, 3.0, 1.0, 7.0, 0.0, 1.0, 2.0, 3.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 3.0, 3.0, 2.0, 0.0, 2.0, 3.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 4.0, 1.0, 2.0, 1.0, 3.0, 0.0, 1.0, 0.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 5.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 7.0, 0.0, 0.0, 0.0]","[501, 612, 930, 518, 847, 1012, 704, 1489, 522, 631, 920, 1018, 734, 639, 1030, 638, 1020, 706, 531, 801, 633, 531, 522, 869, 968, 889, 534, 756, 1026, 509, 917, 813, 695, 830, 645, 627, 644, 700, 714, 717, 821, 536, 705, 840, 770, 1132, 628, 838, 711, 1026, 524, 612, 517, 702, 752, 1020, 507, 531, 529, 519, 513, 935, 1020, 500, 514, 825, 510, 535, 519, 1094, 540, 822, 652, 892, 720, 521, 529, 512, 910, 720, 521, 768, 516, 1022, 528, 802, 1430, 531, 697, 956, 515, 523, 649, 509, 914, 639, 1682, 536, 521, 541]",1.6102005048815926,0.3954391024784205,2.0088901372046037,[{'cur_epsilon': 1.0}],2,0,20000,18.04,0.0,0.0,0.002,0.0,0.0,6.440677966101695,3.19322033898305
8.0,0.0,1.34,727.33,60,10000,False,30000,181,3,45c1c31d24834d8388777e259df526a5,2020-04-10_09-36-38,1586511398,74.07596492767334,158.18583965301514,16127,ip-172-31-22-137,172.31.22.137,158.18583965301514,30000,3,0,00000,0_env=BreakoutNoFrameskip-v4,"[0.0, 0.0, 3.0, 2.0, 0.0, 1.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 5.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 0.0, 2.0, 8.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 3.0, 3.0, 2.0, 0.0, 2.0, 3.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 4.0, 1.0, 2.0, 1.0, 3.0, 0.0, 1.0, 0.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0]","[517, 509, 1021, 823, 528, 613, 688, 834, 1007, 521, 515, 529, 541, 705, 649, 804, 935, 836, 912, 1010, 623, 529, 496, 724, 806, 525, 830, 1187, 524, 728, 521, 523, 1069, 507, 713, 896, 1208, 1036, 514, 535, 1292, 511, 515, 531, 633, 632, 1018, 756, 515, 624, 805, 1026, 700, 507, 525, 886, 1506, 525, 759, 717, 633, 531, 522, 869, 968, 889, 534, 756, 1026, 509, 917, 813, 695, 830, 645, 627, 644, 700, 714, 717, 821, 536, 705, 840, 770, 1132, 628, 838, 711, 1026, 524, 612, 517, 702, 752, 1020, 507, 531, 529, 519]",1.6083360034630756,0.39220259714121936,1.9947790620538137,[{'cur_epsilon': 0.9505}],3,80000,30000,16.005,2.386,10.439,0.002,3065.564,32.0,6.435849056603773,3.2150943396226412
8.0,0.0,1.27,724.22,62,10000,False,40000,243,4,45c1c31d24834d8388777e259df526a5,2020-04-10_09-37-52,1586511472,73.38581418991089,231.57165384292603,16127,ip-172-31-22-137,172.31.22.137,231.57165384292603,40000,4,0,00000,0_env=BreakoutNoFrameskip-v4,"[3.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 5.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 1.0, 0.0, 4.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5.0, 0.0, 1.0, 2.0, 0.0, 2.0, 5.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 0.0, 2.0, 8.0, 0.0, 2.0, 1.0]","[1028, 685, 826, 709, 819, 653, 1037, 761, 691, 1339, 529, 515, 524, 893, 523, 516, 517, 641, 683, 755, 1030, 707, 527, 1224, 524, 632, 831, 529, 506, 724, 710, 543, 525, 519, 523, 517, 508, 510, 615, 516, 1416, 1292, 528, 524, 520, 509, 520, 531, 1324, 808, 908, 757, 708, 535, 890, 703, 641, 514, 638, 528, 517, 1422, 496, 724, 806, 525, 830, 1187, 524, 728, 521, 523, 1069, 507, 713, 896, 1208, 1036, 514, 535, 1292, 511, 515, 531, 633, 632, 1018, 756, 515, 624, 805, 1026, 700, 507, 525, 886, 1506, 525, 759, 717]",1.6064876315411363,0.39244790850948946,1.9759048823689636,[{'cur_epsilon': 0.901}],4,160000,40000,15.463,2.392,10.409,0.002,3074.285,32.0,6.431428571428571,3.2999999999999994
7.0,0.0,1.08,699.51,62,10000,False,50000,305,5,45c1c31d24834d8388777e259df526a5,2020-04-10_09-39-05,1586511545,73.14270281791687,304.7143566608429,16127,ip-172-31-22-137,172.31.22.137,304.7143566608429,50000,5,0,00000,0_env=BreakoutNoFrameskip-v4,"[2.0, 2.0, 1.0, 4.0, 6.0, 0.0, 7.0, 0.0, 1.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 3.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5.0]","[917, 807, 695, 1154, 1536, 524, 1310, 507, 700, 907, 1034, 531, 711, 524, 533, 701, 531, 516, 716, 512, 904, 539, 704, 514, 716, 536, 1284, 639, 712, 710, 807, 527, 818, 521, 515, 527, 517, 883, 511, 946, 517, 731, 801, 521, 652, 520, 817, 533, 713, 540, 511, 516, 643, 534, 519, 1028, 1035, 906, 705, 904, 647, 497, 524, 632, 831, 529, 506, 724, 710, 543, 525, 519, 523, 517, 508, 510, 615, 516, 1416, 1292, 528, 524, 520, 509, 520, 531, 1324, 808, 908, 757, 708, 535, 890, 703, 641, 514, 638, 528, 517, 1422]",1.6047256758250217,0.39298565465720714,1.9623167459821418,[{'cur_epsilon': 0.8515}],6,240000,50000,15.56,2.397,10.487,0.002,3051.311,32.0,6.38846153846154,3.3259615384615384
10.0,0.0,1.19,712.12,61,10000,False,60000,366,6,45c1c31d24834d8388777e259df526a5,2020-04-10_09-40-19,1586511619,74.01009607315063,378.72445273399353,16127,ip-172-31-22-137,172.31.22.137,378.72445273399353,60000,6,0,00000,0_env=BreakoutNoFrameskip-v4,"[4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 3.0, 3.0, 4.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 4.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 0.0, 10.0, 0.0, 4.0, 4.0, 1.0, 2.0, 2.0, 4.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 4.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 3.0, 2.0, 1.0, 2.0, 1.0, 0.0]","[1215, 730, 533, 527, 628, 521, 1038, 1006, 1295, 531, 520, 894, 633, 750, 631, 532, 701, 534, 509, 512, 751, 1152, 710, 521, 520, 535, 628, 833, 515, 532, 521, 517, 518, 820, 512, 516, 822, 904, 914, 623, 531, 1754, 515, 1107, 1158, 708, 878, 838, 1214, 713, 532, 1030, 526, 516, 514, 507, 516, 1424, 727, 896, 531, 514, 716, 536, 1284, 639, 712, 710, 807, 527, 818, 521, 515, 527, 517, 883, 511, 946, 517, 731, 801, 521, 652, 520, 817, 533, 713, 540, 511, 516, 643, 534, 519, 1028, 1035, 906, 705, 904, 647, 497]",1.6045002602925131,0.39345654435642907,1.9568388621082584,[{'cur_epsilon': 0.802}],7,320000,60000,16.024,2.383,10.47,0.002,3056.46,32.0,6.402857142857142,3.399999999999999
10.0,0.0,1.42,751.6,58,10000,False,70000,424,7,45c1c31d24834d8388777e259df526a5,2020-04-10_09-41-32,1586511692,73.44581913948059,452.1702718734741,16127,ip-172-31-22-137,172.31.22.137,452.1702718734741,70000,7,0,00000,0_env=BreakoutNoFrameskip-v4,"[0.0, 2.0, 2.0, 0.0, 2.0, 4.0, 3.0, 1.0, 3.0, 0.0, 4.0, 1.0, 0.0, 1.0, 2.0, 2.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 3.0, 1.0, 3.0, 3.0, 1.0, 0.0, 1.0, 4.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 3.0, 0.0, 2.0, 4.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 0.0, 10.0, 0.0, 4.0, 4.0, 1.0, 2.0, 2.0, 4.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 1.0, 2.0, 0.0]","[512, 840, 840, 531, 896, 1220, 1013, 627, 1008, 510, 1224, 652, 515, 721, 800, 820, 1012, 710, 524, 509, 834, 633, 906, 898, 537, 1224, 704, 512, 894, 724, 716, 520, 539, 820, 704, 635, 515, 517, 632, 762, 519, 960, 640, 1094, 1122, 717, 515, 708, 1198, 810, 912, 643, 533, 1013, 521, 719, 700, 1115, 512, 751, 1152, 710, 521, 520, 535, 628, 833, 515, 532, 521, 517, 518, 820, 512, 516, 822, 904, 914, 623, 531, 1754, 515, 1107, 1158, 708, 878, 838, 1214, 713, 532, 1030, 526, 516, 514, 507, 516, 1424, 727, 896, 531]",1.6045654362452149,0.39268824132458663,1.9537973167995326,[{'cur_epsilon': 0.7525}],8,400000,70000,16.74,2.447,10.627,0.002,3011.088,32.0,6.397142857142857,3.4438095238095237
5.0,0.0,1.17,713.22,63,10000,False,80000,487,8,45c1c31d24834d8388777e259df526a5,2020-04-10_09-42-46,1586511766,73.37289690971375,525.5431687831879,16127,ip-172-31-22-137,172.31.22.137,525.5431687831879,80000,8,0,00000,0_env=BreakoutNoFrameskip-v4,"[0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 3.0, 2.0, 0.0, 2.0, 3.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 3.0, 1.0, 3.0, 3.0, 1.0, 0.0, 1.0, 4.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 3.0]","[508, 536, 823, 634, 818, 633, 521, 709, 520, 531, 1402, 527, 530, 514, 529, 906, 890, 643, 698, 706, 521, 767, 843, 1014, 520, 728, 536, 728, 696, 641, 847, 641, 526, 1011, 811, 502, 759, 1026, 515, 512, 775, 900, 710, 721, 537, 639, 522, 858, 516, 891, 698, 526, 631, 710, 716, 519, 1026, 514, 640, 632, 699, 614, 775, 633, 906, 898, 537, 1224, 704, 512, 894, 724, 716, 520, 539, 820, 704, 635, 515, 517, 632, 762, 519, 960, 640, 1094, 1122, 717, 515, 708, 1198, 810, 912, 643, 533, 1013, 521, 719, 700, 1115]",1.6040278438161213,0.3924923656653466,1.9493561542803435,[{'cur_epsilon': 0.7030000000000001}],9,480000,80000,16.377,2.408,10.484,0.002,3052.241,32.0,6.3999999999999995,3.5
6.0,0.0,1.17,703.24,63,10000,False,90000,550,9,45c1c31d24834d8388777e259df526a5,2020-04-10_09-44-00,1586511840,74.01544380187988,599.5586125850677,16127,ip-172-31-22-137,172.31.22.137,599.5586125850677,90000,9,0,00000,0_env=BreakoutNoFrameskip-v4,"[4.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.0, 1.0, 0.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 6.0, 1.0, 3.0, 0.0, 1.0, 1.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 3.0, 2.0, 0.0, 2.0, 3.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[1129, 543, 699, 734, 887, 641, 709, 877, 515, 529, 886, 522, 519, 1043, 894, 632, 534, 530, 645, 656, 512, 525, 810, 702, 848, 721, 624, 1139, 530, 519, 532, 631, 505, 703, 839, 645, 533, 1031, 708, 510, 1025, 894, 895, 616, 694, 619, 722, 739, 713, 626, 1356, 732, 1034, 529, 655, 639, 832, 932, 529, 539, 649, 638, 506, 536, 728, 696, 641, 847, 641, 526, 1011, 811, 502, 759, 1026, 515, 512, 775, 900, 710, 721, 537, 639, 522, 858, 516, 891, 698, 526, 631, 710, 716, 519, 1026, 514, 640, 632, 699, 614, 775]",1.604103294970522,0.3933463800407634,1.9474547821207033,[{'cur_epsilon': 0.6535}],11,560000,90000,16.023,2.443,10.461,0.002,3058.94,32.0,6.408490566037736,3.5584905660377375
6.0,0.0,1.1,685.01,67,10000,False,100000,617,10,45c1c31d24834d8388777e259df526a5,2020-04-10_09-45-14,1586511914,74.60902810096741,674.1676406860352,16127,ip-172-31-22-137,172.31.22.137,674.1676406860352,100000,10,0,00000,0_env=BreakoutNoFrameskip-v4,"[1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 3.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.0, 3.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 3.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.0, 1.0, 0.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 6.0, 1.0, 3.0, 0.0, 1.0, 1.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[645, 640, 824, 536, 538, 534, 627, 657, 514, 715, 619, 835, 612, 655, 533, 521, 532, 823, 644, 527, 516, 525, 522, 751, 722, 505, 816, 543, 911, 743, 822, 1012, 541, 513, 820, 511, 826, 541, 642, 954, 810, 713, 642, 533, 631, 855, 617, 1339, 702, 831, 645, 883, 522, 522, 511, 759, 518, 516, 531, 516, 728, 1070, 692, 693, 517, 646, 542, 532, 631, 505, 703, 839, 645, 533, 1031, 708, 510, 1025, 894, 895, 616, 694, 619, 722, 739, 713, 626, 1356, 732, 1034, 529, 655, 639, 832, 932, 529, 539, 649, 638, 506]",1.6048864544507675,0.39537448923795365,1.9483694697329983,[{'cur_epsilon': 0.604}],12,640000,100000,16.299,2.399,10.433,0.002,3067.245,32.0,6.402830188679245,3.6000000000000014
