info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'sample_throughput': 373.76, 'train_throughput': 69.835, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9816173911094666, 'var_gnorm': 10.411382675170898, 'entropy': 77.69125366210938, 'cur_lr': 0.0005000000237487257, 'policy_loss': -25.630577087402344, 'vf_loss': 190.71755981445312}, 'num_weight_syncs': 39, 'num_steps_trained': 1000, 'num_steps_sampled': 9750}",1,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804044,nan,ip-172-30-1-91,4360,0,9750,nan,42.46448588371277,42.46448588371277,2018-08-20_22-27-24,False,nan,9750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},nan
"{'sample_throughput': 6181.165, 'train_throughput': 8241.554, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.7644956707954407, 'var_gnorm': 10.80622673034668, 'entropy': 600.7578125, 'cur_lr': 0.00049975625006482, 'policy_loss': -18.077051162719727, 'vf_loss': 14.762826919555664}, 'num_weight_syncs': 357, 'num_steps_trained': 88000, 'num_steps_sampled': 89250}",2,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804056,nan,ip-172-30-1-91,4360,0,89250,nan,12.081799983978271,54.54628586769104,2018-08-20_22-27-36,False,nan,79500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},nan
"{'sample_throughput': 7651.903, 'train_throughput': 8162.03, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.8112531304359436, 'var_gnorm': 11.37983226776123, 'entropy': 1060.296875, 'cur_lr': 0.0004977687494829297, 'policy_loss': -34.49839782714844, 'vf_loss': 2.4123997688293457}, 'num_weight_syncs': 695, 'num_steps_trained': 173500, 'num_steps_sampled': 173750}",3,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804068,238.20689655172413,ip-172-30-1-91,4360,29,173750,88.0,11.923815965652466,66.4701018333435,2018-08-20_22-27-48,False,396.0,84500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},4713.482758620689
"{'sample_throughput': 8304.102, 'train_throughput': 8792.578, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.5529906749725342, 'var_gnorm': 12.209702491760254, 'entropy': 1066.320068359375, 'cur_lr': 0.0004956562770530581, 'policy_loss': 19.938079833984375, 'vf_loss': 6.53574800491333}, 'num_weight_syncs': 1028, 'num_steps_trained': 256500, 'num_steps_sampled': 257000}",4,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804081,303.3953488372093,ip-172-30-1-91,4360,86,257000,88.0,12.451771974563599,78.9218738079071,2018-08-20_22-28-01,False,616.0,83250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},5458.220930232558
"{'sample_throughput': 7768.938, 'train_throughput': 5976.106, 'learner': {'grad_gnorm': 34.96356201171875, 'vf_explained_var': 0.5251466035842896, 'var_gnorm': 13.216009140014648, 'entropy': 1061.235595703125, 'cur_lr': 0.0004935750039294362, 'policy_loss': 8.391191482543945, 'vf_loss': 5.021409034729004}, 'num_weight_syncs': 1359, 'num_steps_trained': 339000, 'num_steps_sampled': 339750}",5,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804092,369.24,ip-172-30-1-91,4360,100,339750,88.0,11.796489000320435,90.71836280822754,2018-08-20_22-28-12,False,756.0,82750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},5989.31
"{'sample_throughput': 7120.894, 'train_throughput': 7495.678, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.6671490669250488, 'var_gnorm': 13.90329647064209, 'entropy': 1031.906494140625, 'cur_lr': 0.0004915062454529107, 'policy_loss': -31.95382308959961, 'vf_loss': 7.948676109313965}, 'num_weight_syncs': 1696, 'num_steps_trained': 423500, 'num_steps_sampled': 424000}",6,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804105,419.36,ip-172-30-1-91,4360,100,424000,132.0,12.044810056686401,102.76317286491394,2018-08-20_22-28-25,False,708.0,84250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},6065.65
"{'sample_throughput': 9817.525, 'train_throughput': 5454.18, 'learner': {'grad_gnorm': 40.00000762939453, 'vf_explained_var': 0.7021998167037964, 'var_gnorm': 14.506546020507812, 'entropy': 1030.005126953125, 'cur_lr': 0.0004894000012427568, 'policy_loss': 48.945404052734375, 'vf_loss': 20.267919540405273}, 'num_weight_syncs': 2034, 'num_steps_trained': 506500, 'num_steps_sampled': 508500}",7,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804116,412.88,ip-172-30-1-91,4360,100,508500,88.0,11.897633075714111,114.66080594062805,2018-08-20_22-28-36,False,708.0,84500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},5749.7
"{'sample_throughput': 8372.004, 'train_throughput': 7674.337, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.5492739081382751, 'var_gnorm': 15.069480895996094, 'entropy': 1040.298828125, 'cur_lr': 0.00048728749970905483, 'policy_loss': 42.33956527709961, 'vf_loss': 8.490960121154785}, 'num_weight_syncs': 2373, 'num_steps_trained': 591500, 'num_steps_sampled': 593250}",8,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804129,420.44,ip-172-30-1-91,4360,100,593250,88.0,12.194401979446411,126.85520792007446,2018-08-20_22-28-49,False,900.0,84750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},5356.19
"{'sample_throughput': 6625.292, 'train_throughput': 7227.592, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.5448083281517029, 'var_gnorm': 15.6691255569458, 'entropy': 1056.063720703125, 'cur_lr': 0.0004851687408518046, 'policy_loss': 85.14812469482422, 'vf_loss': 14.535783767700195}, 'num_weight_syncs': 2705, 'num_steps_trained': 676000, 'num_steps_sampled': 676250}",9,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804140,447.16,ip-172-30-1-91,4360,100,676250,132.0,11.76810884475708,138.62331676483154,2018-08-20_22-29-00,False,900.0,83000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},5505.18
"{'sample_throughput': 7862.453, 'train_throughput': 7076.207, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.811313807964325, 'var_gnorm': 16.207029342651367, 'entropy': 1051.8525390625, 'cur_lr': 0.00048309375415556133, 'policy_loss': -29.226333618164062, 'vf_loss': 3.4432551860809326}, 'num_weight_syncs': 3039, 'num_steps_trained': 759000, 'num_steps_sampled': 759750}",10,915eb012b5934c4eba166075f42b85dc,172.30.1.91,1534804152,434.88,ip-172-30-1-91,4360,100,759750,132.0,11.968994140625,150.59231090545654,2018-08-20_22-29-12,False,996.0,83500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BeamRiderNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},5458.85
