info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'sample_throughput': 73.841, 'train_throughput': 74.575, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.3176594376564026, 'var_gnorm': 9.754801750183105, 'entropy': 145.03533935546875, 'cur_lr': 0.0005000000237487257, 'policy_loss': -4.628476142883301, 'vf_loss': 19.015533447265625}, 'num_weight_syncs': 31, 'num_steps_trained': 1000, 'num_steps_sampled': 7750}",1,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804046,0.1568627450980392,ip-172-30-1-91,4337,51,7750,0.0,44.073521852493286,44.073521852493286,2018-08-20_22-27-26,False,2.0,7750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},546.6078431372549
"{'sample_throughput': 12156.389, 'train_throughput': 9262.011, 'learner': {'grad_gnorm': 32.30434799194336, 'vf_explained_var': 0.9598854184150696, 'var_gnorm': 11.000140190124512, 'entropy': 658.645263671875, 'cur_lr': 0.0004998062504455447, 'policy_loss': -5.374384880065918, 'vf_loss': 2.435567855834961}, 'num_weight_syncs': 344, 'num_steps_trained': 84000, 'num_steps_sampled': 86000}",2,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804058,1.4752252252252251,ip-172-30-1-91,4337,444,86000,0.0,12.102370023727417,56.1758918762207,2018-08-20_22-27-38,False,12.0,78250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},752.0247747747748
"{'sample_throughput': 4186.656, 'train_throughput': 11164.417, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.8916552066802979, 'var_gnorm': 12.305636405944824, 'entropy': 590.258544921875, 'cur_lr': 0.0004978500073775649, 'policy_loss': -22.097497940063477, 'vf_loss': 7.691688537597656}, 'num_weight_syncs': 660, 'num_steps_trained': 162500, 'num_steps_sampled': 165000}",3,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804070,2.4177545691906004,ip-172-30-1-91,4337,383,165000,0.0,11.8251371383667,68.0010290145874,2018-08-20_22-27-50,False,14.0,79000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},895.3524804177546
"{'sample_throughput': 7208.566, 'train_throughput': 10812.849, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.8178560733795166, 'var_gnorm': 13.473344802856445, 'entropy': 574.72802734375, 'cur_lr': 0.000495875021442771, 'policy_loss': 9.826061248779297, 'vf_loss': 10.782792091369629}, 'num_weight_syncs': 968, 'num_steps_trained': 241000, 'num_steps_sampled': 242000}",4,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804082,4.082142857142857,ip-172-30-1-91,4337,280,242000,0.0,11.848932027816772,79.84996104240417,2018-08-20_22-28-02,False,14.0,77000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1080.8535714285715
"{'sample_throughput': 11831.525, 'train_throughput': 8282.067, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.7802265882492065, 'var_gnorm': 14.624734878540039, 'entropy': 560.5636596679688, 'cur_lr': 0.0004939499776810408, 'policy_loss': -14.277597427368164, 'vf_loss': 12.139144897460938}, 'num_weight_syncs': 1270, 'num_steps_trained': 315000, 'num_steps_sampled': 317500}",5,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804094,4.308219178082192,ip-172-30-1-91,4337,292,317500,0.0,12.587300062179565,92.43726110458374,2018-08-20_22-28-14,False,17.0,75500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1075.6198630136987
"{'sample_throughput': 14731.668, 'train_throughput': 10606.801, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9199527502059937, 'var_gnorm': 15.519926071166992, 'entropy': 585.6520385742188, 'cur_lr': 0.0004920624778605998, 'policy_loss': -8.009023666381836, 'vf_loss': 6.560511589050293}, 'num_weight_syncs': 1586, 'num_steps_trained': 393000, 'num_steps_sampled': 396500}",6,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804106,6.941441441441442,ip-172-30-1-91,4337,222,396500,1.0,11.8195960521698,104.25685715675354,2018-08-20_22-28-26,False,20.0,79000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1401.2837837837837
"{'sample_throughput': 10471.17, 'train_throughput': 6980.78, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.8172472715377808, 'var_gnorm': 16.444782257080078, 'entropy': 552.8234252929688, 'cur_lr': 0.0004900874919258058, 'policy_loss': 26.68459701538086, 'vf_loss': 10.459446907043457}, 'num_weight_syncs': 1890, 'num_steps_trained': 471000, 'num_steps_sampled': 472500}",7,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804118,7.896907216494846,ip-172-30-1-91,4337,194,472500,1.0,11.602192878723145,115.85905003547668,2018-08-20_22-28-38,False,20.0,76000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1539.041237113402
"{'sample_throughput': 10647.945, 'train_throughput': 7845.854, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.7882375717163086, 'var_gnorm': 17.076810836791992, 'entropy': 510.9201965332031, 'cur_lr': 0.00048818750656209886, 'policy_loss': 23.308095932006836, 'vf_loss': 9.479634284973145}, 'num_weight_syncs': 2194, 'num_steps_trained': 547000, 'num_steps_sampled': 548500}",8,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804130,11.360759493670885,ip-172-30-1-91,4337,158,548500,4.0,12.240926027297974,128.09997606277466,2018-08-20_22-28-50,False,29.0,76000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1909.9556962025317
"{'sample_throughput': 13247.19, 'train_throughput': 9537.977, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.7902342677116394, 'var_gnorm': 17.703657150268555, 'entropy': 545.082275390625, 'cur_lr': 0.00048628749209456146, 'policy_loss': 21.34245491027832, 'vf_loss': 13.661229133605957}, 'num_weight_syncs': 2513, 'num_steps_trained': 625500, 'num_steps_sampled': 628250}",9,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804142,11.660818713450292,ip-172-30-1-91,4337,171,628250,4.0,11.880450010299683,139.98042607307434,2018-08-20_22-29-02,False,33.0,79750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1940.6666666666667
"{'sample_throughput': 12919.843, 'train_throughput': 9879.88, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.8457640409469604, 'var_gnorm': 18.41844940185547, 'entropy': 523.9490356445312, 'cur_lr': 0.00048429376329295337, 'policy_loss': -15.785104751586914, 'vf_loss': 10.754928588867188}, 'num_weight_syncs': 2832, 'num_steps_trained': 705000, 'num_steps_sampled': 708000}",10,1737d9ba220b4f658f4f511e3dcca2d6,172.30.1.91,1534804154,12.899328859060402,ip-172-30-1-91,4337,149,708000,5.0,12.06581997871399,152.04624605178833,2018-08-20_22-29-14,False,25.0,79750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'BreakoutNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2051.0939597315437
