info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'sample_throughput': 18.593, 'train_throughput': 37.45, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.2888944149017334, 'var_gnorm': 9.885790824890137, 'entropy': 2.482356285327114e-05, 'cur_lr': 0.0005000000237487257, 'policy_loss': 2.0177310489088995e-07, 'vf_loss': 16.400272369384766}, 'num_weight_syncs': 26, 'num_steps_trained': 500, 'num_steps_sampled': 6500}",1,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804044,nan,ip-172-30-1-91,4332,0,6500,nan,42.48182415962219,42.48182415962219,2018-08-20_22-27-24,False,nan,6500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},nan
"{'sample_throughput': 7889.072, 'train_throughput': 7889.072, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.2790805697441101, 'var_gnorm': 10.367040634155273, 'entropy': 822.3306884765625, 'cur_lr': 0.0004998375079594553, 'policy_loss': 70.08950805664062, 'vf_loss': 17.300283432006836}, 'num_weight_syncs': 322, 'num_steps_trained': 79500, 'num_steps_sampled': 80500}",2,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804057,182.33830845771143,ip-172-30-1-91,4332,201,80500,25.0,12.389466047286987,54.87129020690918,2018-08-20_22-27-37,False,575.0,74000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1377.44776119403
"{'sample_throughput': 5979.78, 'train_throughput': 4783.824, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.7475216388702393, 'var_gnorm': 11.011065483093262, 'entropy': 849.8313598632812, 'cur_lr': 0.0004979874938726425, 'policy_loss': -11.170817375183105, 'vf_loss': 19.873863220214844}, 'num_weight_syncs': 630, 'num_steps_trained': 157000, 'num_steps_sampled': 157500}",3,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804069,232.67543859649123,ip-172-30-1-91,4332,228,157500,25.0,11.944099187850952,66.81538939476013,2018-08-20_22-27-49,False,700.0,77000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1371.6842105263158
"{'sample_throughput': 9684.789, 'train_throughput': 5810.874, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.8685342669487, 'var_gnorm': 11.739313125610352, 'entropy': 765.7340087890625, 'cur_lr': 0.0004960625083185732, 'policy_loss': -10.005782127380371, 'vf_loss': 11.835563659667969}, 'num_weight_syncs': 937, 'num_steps_trained': 232500, 'num_steps_sampled': 234250}",4,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804080,270.75892857142856,ip-172-30-1-91,4332,224,234250,25.0,11.826255083084106,78.64164447784424,2018-08-20_22-28-00,False,825.0,76750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1438.200892857143
"{'sample_throughput': 6396.927, 'train_throughput': 5483.08, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9139166474342346, 'var_gnorm': 12.179073333740234, 'entropy': 745.0067749023438, 'cur_lr': 0.0004941437509842217, 'policy_loss': -61.980228424072266, 'vf_loss': 30.821266174316406}, 'num_weight_syncs': 1258, 'num_steps_trained': 314000, 'num_steps_sampled': 314500}",5,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804093,303.6170212765957,ip-172-30-1-91,4332,235,314500,125.0,12.423599004745483,91.06524348258972,2018-08-20_22-28-13,False,950.0,80250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1455.7744680851065
"{'sample_throughput': 6993.83, 'train_throughput': 7992.949, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9645348787307739, 'var_gnorm': 12.699631690979004, 'entropy': 756.4840698242188, 'cur_lr': 0.0004921375075355172, 'policy_loss': 48.476959228515625, 'vf_loss': 13.821664810180664}, 'num_weight_syncs': 1574, 'num_steps_trained': 393000, 'num_steps_sampled': 393500}",6,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804105,287.8378378378378,ip-172-30-1-91,4332,222,393500,125.0,12.501667976379395,103.56691145896912,2018-08-20_22-28-25,False,700.0,79000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1487.6081081081081
"{'sample_throughput': 8396.059, 'train_throughput': 6716.847, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.6966269016265869, 'var_gnorm': 13.069779396057129, 'entropy': 733.5152587890625, 'cur_lr': 0.0004901625216007233, 'policy_loss': 50.29829406738281, 'vf_loss': 67.08078002929688}, 'num_weight_syncs': 1883, 'num_steps_trained': 470000, 'num_steps_sampled': 470750}",7,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804117,331.9852941176471,ip-172-30-1-91,4332,204,470750,125.0,11.831609010696411,115.39852046966553,2018-08-20_22-28-37,False,975.0,77250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1533.7401960784314
"{'sample_throughput': 6266.266, 'train_throughput': 4177.51, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.8490332365036011, 'var_gnorm': 13.622241973876953, 'entropy': 753.6953125, 'cur_lr': 0.00048823124961927533, 'policy_loss': -27.491540908813477, 'vf_loss': 35.57072067260742}, 'num_weight_syncs': 2184, 'num_steps_trained': 545500, 'num_steps_sampled': 546000}",8,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804129,339.60526315789474,ip-172-30-1-91,4332,190,546000,125.0,11.919935941696167,127.3184564113617,2018-08-20_22-28-49,False,925.0,75250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1574.6526315789474
"{'sample_throughput': 7451.949, 'train_throughput': 6774.499, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.958361804485321, 'var_gnorm': 14.144824028015137, 'entropy': 680.2666625976562, 'cur_lr': 0.0004863500071223825, 'policy_loss': 6.478456497192383, 'vf_loss': 21.451213836669922}, 'num_weight_syncs': 2489, 'num_steps_trained': 621500, 'num_steps_sampled': 622250}",9,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804141,355.3763440860215,ip-172-30-1-91,4332,186,622250,125.0,11.637518882751465,138.95597529411316,2018-08-20_22-29-01,False,1000.0,76250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1620.483870967742
"{'sample_throughput': 8778.123, 'train_throughput': 3901.388, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.84847491979599, 'var_gnorm': 14.538824081420898, 'entropy': 679.261474609375, 'cur_lr': 0.0004844437644351274, 'policy_loss': 48.83921432495117, 'vf_loss': 49.776912689208984}, 'num_weight_syncs': 2795, 'num_steps_trained': 697000, 'num_steps_sampled': 698750}",10,dd49afa30eaf435eb5bf388097ab4c68,172.30.1.91,1534804153,368.4840425531915,ip-172-30-1-91,4332,188,698750,125.0,12.078735113143921,151.03471040725708,2018-08-20_22-29-13,False,950.0,76500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'QbertNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1700.8829787234042
