info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'sample_throughput': 37.134, 'train_throughput': 37.456, 'learner': {'grad_gnorm': 0.2477145791053772, 'vf_explained_var': 1.0, 'var_gnorm': 9.93431568145752, 'entropy': 0.2808155417442322, 'cur_lr': 0.0005000000237487257, 'policy_loss': -0.0198594368994236, 'vf_loss': 9.16228600544855e-07}, 'num_weight_syncs': 18, 'num_steps_trained': 500, 'num_steps_sampled': 4500}",1,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804044,97.5,ip-172-30-1-91,4354,2,4500,90.0,42.4949049949646,42.4949049949646,2018-08-20_22-27-24,False,105.0,4500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1172.0
"{'sample_throughput': 7859.133, 'train_throughput': 6985.896, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9437273144721985, 'var_gnorm': 10.373358726501465, 'entropy': 776.5809326171875, 'cur_lr': 0.0004998875083401799, 'policy_loss': 1.1501212120056152, 'vf_loss': 9.897968292236328}, 'num_weight_syncs': 297, 'num_steps_trained': 73000, 'num_steps_sampled': 74250}",2,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804057,106.98529411764706,ip-172-30-1-91,4354,68,74250,0.0,12.395144939422607,54.89004993438721,2018-08-20_22-27-37,False,335.0,69750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},1825.0588235294117
"{'sample_throughput': 7680.756, 'train_throughput': 7680.756, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9818980693817139, 'var_gnorm': 10.921797752380371, 'entropy': 489.5054931640625, 'cur_lr': 0.0004981437232345343, 'policy_loss': -2.1578879356384277, 'vf_loss': 3.495781898498535}, 'num_weight_syncs': 598, 'num_steps_trained': 149000, 'num_steps_sampled': 149500}",3,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804069,184.75,ip-172-30-1-91,4354,140,149500,20.0,11.87988805770874,66.76993799209595,2018-08-20_22-27-49,False,875.0,75250,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2282.464285714286
"{'sample_throughput': 9290.185, 'train_throughput': 8257.943, 'learner': {'grad_gnorm': 39.999996185302734, 'vf_explained_var': 0.923266589641571, 'var_gnorm': 11.435456275939941, 'entropy': 793.8236083984375, 'cur_lr': 0.0004962625098414719, 'policy_loss': -0.49571406841278076, 'vf_loss': 4.056088447570801}, 'num_weight_syncs': 904, 'num_steps_trained': 224500, 'num_steps_sampled': 226000}",4,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804081,188.81294964028777,ip-172-30-1-91,4354,139,226000,10.0,12.445533037185669,79.21547102928162,2018-08-20_22-28-01,False,670.0,76500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2324.6690647482014
"{'sample_throughput': 8602.13, 'train_throughput': 5734.753, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.9782267212867737, 'var_gnorm': 12.21222972869873, 'entropy': 693.74853515625, 'cur_lr': 0.0004943499807268381, 'policy_loss': 8.564372062683105, 'vf_loss': 8.762502670288086}, 'num_weight_syncs': 1211, 'num_steps_trained': 301500, 'num_steps_sampled': 302750}",5,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804093,194.44444444444446,ip-172-30-1-91,4354,117,302750,30.0,12.282730102539062,91.49820113182068,2018-08-20_22-28-13,False,530.0,76750,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2416.008547008547
"{'sample_throughput': 1887.524, 'train_throughput': 11325.142, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9636114835739136, 'var_gnorm': 12.741808891296387, 'entropy': 729.0427856445312, 'cur_lr': 0.0004924312233924866, 'policy_loss': 7.006537914276123, 'vf_loss': 5.808225631713867}, 'num_weight_syncs': 1515, 'num_steps_trained': 378000, 'num_steps_sampled': 378750}",6,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804105,208.10077519379846,ip-172-30-1-91,4354,129,378750,75.0,11.65827989578247,103.15648102760315,2018-08-20_22-28-25,False,635.0,76000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2540.2713178294575
"{'sample_throughput': 5016.926, 'train_throughput': 5016.926, 'learner': {'grad_gnorm': 40.0, 'vf_explained_var': 0.9595488905906677, 'var_gnorm': 13.162240982055664, 'entropy': 762.230224609375, 'cur_lr': 0.0004905312671326101, 'policy_loss': -45.071075439453125, 'vf_loss': 8.682820320129395}, 'num_weight_syncs': 1815, 'num_steps_trained': 453500, 'num_steps_sampled': 453750}",7,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804117,189.16058394160584,ip-172-30-1-91,4354,137,453750,75.0,11.897067070007324,115.05354809761047,2018-08-20_22-28-37,False,500.0,75000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2460.299270072993
"{'sample_throughput': 7487.827, 'train_throughput': 4991.885, 'learner': {'grad_gnorm': 40.00000762939453, 'vf_explained_var': 0.9646000266075134, 'var_gnorm': 13.475502967834473, 'entropy': 779.8496704101562, 'cur_lr': 0.0004886562237516046, 'policy_loss': -19.69322395324707, 'vf_loss': 7.649959087371826}, 'num_weight_syncs': 2117, 'num_steps_trained': 528000, 'num_steps_sampled': 529250}",8,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804129,196.45299145299145,ip-172-30-1-91,4354,117,529250,75.0,12.254662036895752,127.30821013450623,2018-08-20_22-28-49,False,425.0,75500,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2408.6239316239316
"{'sample_throughput': 0.0, 'train_throughput': 0.0, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.9781691431999207, 'var_gnorm': 13.934019088745117, 'entropy': 714.9779663085938, 'cur_lr': 0.000486768753034994, 'policy_loss': -10.291419982910156, 'vf_loss': 6.504969120025635}, 'num_weight_syncs': 2413, 'num_steps_trained': 603000, 'num_steps_sampled': 603250}",9,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804141,214.95098039215685,ip-172-30-1-91,4354,102,603250,75.0,11.607762098312378,138.9159722328186,2018-08-20_22-29-01,False,490.0,74000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2522.3333333333335
"{'sample_throughput': 6203.38, 'train_throughput': 2481.352, 'learner': {'grad_gnorm': 40.000003814697266, 'vf_explained_var': 0.9299156069755554, 'var_gnorm': 14.568418502807617, 'entropy': 780.0375366210938, 'cur_lr': 0.00048491873894818127, 'policy_loss': 3.3401193618774414, 'vf_loss': 10.229722023010254}, 'num_weight_syncs': 2709, 'num_steps_trained': 676500, 'num_steps_sampled': 677250}",10,057edeba162e449fafb902bd78299aa8,172.30.1.91,1534804153,248.78504672897196,ip-172-30-1-91,4354,107,677250,30.0,12.105443000793457,151.02141523361206,2018-08-20_22-29-13,False,740.0,74000,"{'grad_clip': 40.0, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'opt_type': 'adam', 'num_gpus_per_worker': 0, 'sample_batch_size': 250, 'lr_schedule': [[0, 0.0005], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'vtrace_clip_pg_rho_threshold': 1.0, 'decay': 0.99, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'num_cpus_per_worker': 1, 'env_config': {}, 'vtrace': True, 'lr': 0.0005, 'env': 'SpaceInvadersNoFrameskip-v4', 'entropy_coeff': -0.01, 'momentum': 0.0, 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {'sample_batch_size': 250, 'train_batch_size': 500}, 'num_workers': 32, 'epsilon': 0.1, 'gpu': True, 'train_batch_size': 500, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 0.5, 'num_envs_per_worker': 5, 'min_iter_time_s': 10, 'vtrace_clip_rho_threshold': 1.0, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False, 'dim': 84}, 'gamma': 0.99}",{},2711.495327102804
