episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,info/sample_throughput,perf/cpu_util_percent,perf/ram_util_percent,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles
nan,nan,nan,nan,0,16,4000,False,4000,0,1,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-21-50,1589217710,12.747317552566528,12.747317552566528,64186,ip-172-31-26-67,172.31.26.67,12.747317552566528,4000,1,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False",[],[],0,4000,16,0,304.364,85.16842105263157,4.431578947368421,99.513,0.0,0.0,0.0,9913.087,0,nan,nan,[]
360.0,25.0,121.97368421052632,1835.2631578947369,38,78,36500,False,40500,38,2,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-22-02,1589217722,12.018064498901367,24.765382051467896,64186,ip-172-31-26-67,172.31.26.67,24.765382051467896,40500,2,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[55.0, 175.0, 165.0, 40.0, 145.0, 130.0, 30.0, 95.0, 145.0, 100.0, 130.0, 150.0, 140.0, 25.0, 55.0, 155.0, 125.0, 110.0, 165.0, 95.0, 115.0, 120.0, 135.0, 115.0, 80.0, 135.0, 135.0, 135.0, 140.0, 150.0, 360.0, 55.0, 70.0, 125.0, 125.0, 125.0, 135.0, 150.0]","[1581, 1953, 1959, 1525, 1923, 1933, 1235, 1829, 1965, 2035, 1875, 1925, 1989, 1261, 1629, 1919, 1905, 1899, 1943, 1879, 1883, 1893, 1957, 1895, 1897, 1971, 1899, 1881, 1915, 2009, 2019, 1085, 1527, 1907, 1913, 1863, 1947, 2117]",36000,40500,163,0,3027.289,92.50588235294119,5.829411764705881,76.327,115.25,0.0,0.0,0.035,81,11.04,3.969685126052191,"[0.0, 4.9, 12.0, 15.0, 16.0]"
360.0,15.0,136.6,2367.38,63,101,36500,False,77000,101,3,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-22-14,1589217734,12.114224195480347,36.87960624694824,64186,ip-172-31-26-67,172.31.26.67,36.87960624694824,77000,3,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[185.0, 130.0, 130.0, 160.0, 140.0, 135.0, 90.0, 130.0, 135.0, 110.0, 170.0, 165.0, 45.0, 325.0, 195.0, 115.0, 60.0, 50.0, 155.0, 160.0, 135.0, 135.0, 165.0, 195.0, 120.0, 120.0, 105.0, 170.0, 180.0, 150.0, 150.0, 295.0, 330.0, 115.0, 115.0, 115.0, 15.0, 145.0, 355.0, 150.0, 155.0, 140.0, 150.0, 45.0, 80.0, 130.0, 110.0, 110.0, 120.0, 150.0, 55.0, 45.0, 120.0, 235.0, 185.0, 135.0, 95.0, 105.0, 250.0, 315.0, 135.0, 115.0, 55.0, 175.0, 165.0, 40.0, 145.0, 130.0, 30.0, 95.0, 145.0, 100.0, 130.0, 150.0, 140.0, 25.0, 55.0, 155.0, 125.0, 110.0, 165.0, 95.0, 115.0, 120.0, 135.0, 115.0, 80.0, 135.0, 135.0, 135.0, 140.0, 150.0, 360.0, 55.0, 70.0, 125.0, 125.0, 125.0, 135.0, 150.0]","[2821, 3351, 2101, 3331, 3395, 1973, 2401, 2029, 3283, 3303, 3357, 3375, 2035, 3381, 2481, 1965, 1911, 2381, 3299, 3353, 2371, 2919, 3315, 2481, 2107, 3235, 2237, 3301, 3333, 3367, 3395, 2805, 3405, 1957, 1957, 2045, 1563, 1999, 3475, 2005, 3285, 3331, 3331, 2003, 2123, 2001, 3261, 3303, 3383, 3329, 1997, 2001, 2381, 2125, 3401, 2359, 2079, 2095, 2761, 3365, 2401, 2283, 1183, 1953, 1959, 1525, 1923, 1933, 1235, 1829, 1965, 2035, 1875, 1925, 1989, 1261, 1629, 1919, 1905, 1899, 1943, 1879, 1883, 1893, 1957, 1895, 1897, 1971, 1899, 1881, 1915, 2009, 2019, 1085, 1527, 1907, 1913, 1863, 1947, 2117]",76500,77000,308,0,3005.786,91.92352941176469,5.823529411764706,101.146,114.04,0.0,0.0,62.374,154,1.64,1.5717506163510802,"[0.0, 0.0, 1.0, 4.0, 6.0]"
505.0,15.0,148.65,2468.34,60,100,37000,False,114000,161,4,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-22-26,1589217746,12.035938262939453,48.915544509887695,64186,ip-172-31-26-67,172.31.26.67,48.915544509887695,114000,4,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[145.0, 195.0, 40.0, 210.0, 215.0, 20.0, 210.0, 35.0, 145.0, 170.0, 175.0, 160.0, 25.0, 180.0, 210.0, 195.0, 140.0, 200.0, 75.0, 45.0, 80.0, 190.0, 175.0, 505.0, 135.0, 110.0, 100.0, 75.0, 95.0, 100.0, 80.0, 340.0, 230.0, 85.0, 210.0, 200.0, 75.0, 115.0, 215.0, 210.0, 180.0, 130.0, 180.0, 410.0, 40.0, 395.0, 405.0, 115.0, 105.0, 50.0, 105.0, 210.0, 35.0, 110.0, 75.0, 45.0, 185.0, 30.0, 50.0, 35.0, 195.0, 120.0, 120.0, 105.0, 170.0, 180.0, 150.0, 150.0, 295.0, 330.0, 115.0, 115.0, 115.0, 15.0, 145.0, 355.0, 150.0, 155.0, 140.0, 150.0, 45.0, 80.0, 130.0, 110.0, 110.0, 120.0, 150.0, 55.0, 45.0, 120.0, 235.0, 185.0, 135.0, 95.0, 105.0, 250.0, 315.0, 135.0, 115.0, 55.0]","[2427, 2737, 2059, 2485, 2877, 1861, 3759, 1849, 2047, 2443, 2941, 2375, 1441, 2433, 2391, 2887, 2859, 2729, 2071, 1931, 1939, 2527, 2849, 5621, 2743, 2011, 1985, 2097, 2825, 1137, 2045, 2067, 2897, 1413, 2495, 4267, 2421, 2439, 2955, 2527, 2023, 1491, 2759, 2421, 1985, 2461, 4097, 2737, 2175, 1385, 2017, 2561, 2103, 1913, 1921, 1835, 2927, 1115, 1453, 1145, 2481, 2107, 3235, 2237, 3301, 3333, 3367, 3395, 2805, 3405, 1957, 1957, 2045, 1563, 1999, 3475, 2005, 3285, 3331, 3331, 2003, 2123, 2001, 3261, 3303, 3383, 3329, 1997, 2001, 2381, 2125, 3401, 2359, 2079, 2095, 2761, 3365, 2401, 2283, 1183]",113500,114000,456,0,3067.596,91.04705882352943,5.8352941176470585,94.056,125.423,0.0,0.0,47.818,228,1.62,1.5860643114325472,"[0.0, 0.0, 1.0, 4.100000000000001, 5.0]"
775.0,25.0,177.75,2298.47,65,82,37000,False,151000,226,5,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-22-38,1589217758,12.002516508102417,60.91806101799011,64186,ip-172-31-26-67,172.31.26.67,60.91806101799011,151000,5,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[120.0, 165.0, 285.0, 615.0, 410.0, 205.0, 60.0, 85.0, 70.0, 105.0, 105.0, 170.0, 160.0, 110.0, 110.0, 125.0, 40.0, 95.0, 95.0, 125.0, 315.0, 150.0, 775.0, 105.0, 140.0, 325.0, 45.0, 100.0, 120.0, 365.0, 430.0, 240.0, 30.0, 155.0, 410.0, 490.0, 110.0, 60.0, 25.0, 95.0, 285.0, 210.0, 110.0, 150.0, 535.0, 385.0, 290.0, 110.0, 215.0, 300.0, 45.0, 30.0, 215.0, 195.0, 70.0, 270.0, 135.0, 110.0, 65.0, 80.0, 350.0, 180.0, 130.0, 60.0, 380.0, 110.0, 100.0, 75.0, 95.0, 100.0, 80.0, 340.0, 230.0, 85.0, 210.0, 200.0, 75.0, 115.0, 215.0, 210.0, 180.0, 130.0, 180.0, 410.0, 40.0, 395.0, 405.0, 115.0, 105.0, 50.0, 105.0, 210.0, 35.0, 110.0, 75.0, 45.0, 185.0, 30.0, 50.0, 35.0]","[1951, 2457, 3453, 3417, 2585, 2475, 2427, 1555, 1673, 1369, 2033, 2105, 1957, 2043, 2273, 2197, 1511, 1959, 2805, 3919, 2773, 2011, 6441, 2225, 1985, 3457, 1913, 1141, 2017, 3557, 2835, 2967, 1069, 1717, 2545, 2561, 1911, 1253, 1579, 1653, 2711, 2129, 2089, 2483, 3247, 2393, 3084, 2125, 2721, 3089, 1141, 1383, 2651, 1883, 1505, 3223, 2401, 1615, 1343, 1833, 3017, 2403, 1859, 1981, 3659, 2011, 1985, 2097, 2825, 1137, 2045, 2067, 2897, 1413, 2495, 4267, 2421, 2439, 2955, 2527, 2023, 1491, 2759, 2421, 1985, 2461, 4097, 2737, 2175, 1385, 2017, 2561, 2103, 1913, 1921, 1835, 2927, 1115, 1453, 1145]",151000,151000,605,0,3077.066,91.42352941176469,5.841176470588235,96.169,113.87,0.0,0.0,47.437,302,1.38,1.1981652640600127,"[0.0, 0.0, 1.0, 3.0, 5.0]"
750.0,25.0,205.35,2412.02,61,100,38000,False,189000,287,6,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-22-50,1589217770,12.109731435775757,73.02779245376587,64186,ip-172-31-26-67,172.31.26.67,73.02779245376587,189000,6,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[160.0, 365.0, 320.0, 305.0, 225.0, 210.0, 155.0, 210.0, 130.0, 75.0, 210.0, 185.0, 205.0, 130.0, 70.0, 115.0, 750.0, 215.0, 230.0, 155.0, 75.0, 120.0, 450.0, 180.0, 265.0, 280.0, 240.0, 105.0, 355.0, 235.0, 205.0, 400.0, 120.0, 110.0, 110.0, 160.0, 260.0, 50.0, 335.0, 135.0, 110.0, 380.0, 215.0, 305.0, 140.0, 490.0, 210.0, 145.0, 75.0, 125.0, 155.0, 80.0, 35.0, 415.0, 270.0, 185.0, 245.0, 285.0, 110.0, 155.0, 215.0, 45.0, 100.0, 120.0, 365.0, 430.0, 240.0, 30.0, 155.0, 410.0, 490.0, 110.0, 60.0, 25.0, 95.0, 285.0, 210.0, 110.0, 150.0, 535.0, 385.0, 290.0, 110.0, 215.0, 300.0, 45.0, 30.0, 215.0, 195.0, 70.0, 270.0, 135.0, 110.0, 65.0, 80.0, 350.0, 180.0, 130.0, 60.0, 380.0]","[2043, 4007, 2843, 3533, 2017, 2545, 2429, 2483, 2421, 1929, 3091, 2657, 2457, 1905, 1147, 2023, 4165, 2449, 2507, 2447, 1181, 2051, 3713, 2397, 3285, 3023, 3378, 1979, 3629, 3633, 1959, 4349, 2039, 2023, 1861, 2657, 3601, 1491, 3137, 1967, 1901, 2831, 2529, 2753, 1947, 3231, 2555, 1889, 1095, 1947, 2147, 1139, 1119, 2955, 3061, 2429, 4473, 2961, 2401, 2185, 2517, 1913, 1141, 2017, 3557, 2835, 2967, 1069, 1717, 2545, 2561, 1911, 1253, 1579, 1653, 2711, 2129, 2089, 2483, 3247, 2393, 3084, 2125, 2721, 3089, 1141, 1383, 2651, 1883, 1505, 3223, 2401, 1615, 1343, 1833, 3017, 2403, 1859, 1981, 3659]",189000,189000,757,0,3132.605,90.51666666666667,5.916666666666668,93.678,117.71,0.0,0.0,32.624,378,1.12,0.9516301802696255,"[0.0, 0.0, 1.0, 2.0, 4.0]"
490.0,35.0,213.55,2550.01,60,100,38500,False,227500,347,7,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-23-03,1589217783,12.240925550460815,85.26871800422668,64186,ip-172-31-26-67,172.31.26.67,85.26871800422668,227500,7,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[120.0, 480.0, 155.0, 280.0, 260.0, 460.0, 110.0, 160.0, 135.0, 120.0, 180.0, 105.0, 120.0, 210.0, 210.0, 135.0, 155.0, 260.0, 210.0, 180.0, 220.0, 260.0, 395.0, 250.0, 75.0, 260.0, 255.0, 210.0, 210.0, 180.0, 210.0, 320.0, 110.0, 180.0, 110.0, 180.0, 180.0, 440.0, 215.0, 125.0, 155.0, 120.0, 110.0, 125.0, 180.0, 270.0, 260.0, 260.0, 210.0, 240.0, 210.0, 240.0, 180.0, 290.0, 210.0, 180.0, 260.0, 290.0, 315.0, 360.0, 120.0, 450.0, 180.0, 265.0, 280.0, 240.0, 105.0, 355.0, 235.0, 205.0, 400.0, 120.0, 110.0, 110.0, 160.0, 260.0, 50.0, 335.0, 135.0, 110.0, 380.0, 215.0, 305.0, 140.0, 490.0, 210.0, 145.0, 75.0, 125.0, 155.0, 80.0, 35.0, 415.0, 270.0, 185.0, 245.0, 285.0, 110.0, 155.0, 215.0]","[2069, 3585, 2445, 3093, 2947, 2921, 1583, 2399, 2281, 1703, 2531, 1981, 2037, 2555, 2631, 2409, 2423, 3257, 2475, 2661, 1903, 2451, 2803, 2831, 1611, 2953, 2861, 2457, 2439, 2305, 2621, 3195, 1987, 2579, 2059, 2475, 2449, 3451, 2639, 2171, 2399, 2359, 1943, 1773, 2527, 2955, 3143, 2967, 2555, 2705, 2411, 2589, 2401, 3003, 2575, 2495, 2873, 2937, 2555, 3373, 2051, 3713, 2397, 3285, 3023, 3378, 1979, 3629, 3633, 1959, 4349, 2039, 2023, 1861, 2657, 3601, 1491, 3137, 1967, 1901, 2831, 2529, 2753, 1947, 3231, 2555, 1889, 1095, 1947, 2147, 1139, 1119, 2955, 3061, 2429, 4473, 2961, 2401, 2185, 2517]",227000,227500,910,0,3137.052,92.26470588235296,5.911764705882353,87.604,115.695,0.0,0.0,26.804,455,0.86,0.8487638069569178,"[0.0, 0.0, 1.0, 2.0, 3.0]"
670.0,75.0,232.05,2643.67,55,95,37000,False,264500,402,8,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-23-15,1589217795,12.010499238967896,97.27921724319458,64186,ip-172-31-26-67,172.31.26.67,97.27921724319458,264500,8,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[155.0, 210.0, 255.0, 180.0, 465.0, 410.0, 210.0, 120.0, 110.0, 670.0, 210.0, 210.0, 440.0, 275.0, 210.0, 240.0, 110.0, 410.0, 155.0, 155.0, 210.0, 185.0, 410.0, 410.0, 155.0, 515.0, 260.0, 75.0, 210.0, 210.0, 440.0, 265.0, 210.0, 180.0, 180.0, 180.0, 155.0, 180.0, 210.0, 105.0, 210.0, 210.0, 180.0, 210.0, 180.0, 620.0, 180.0, 245.0, 265.0, 210.0, 210.0, 260.0, 155.0, 155.0, 180.0, 135.0, 155.0, 260.0, 210.0, 180.0, 220.0, 260.0, 395.0, 250.0, 75.0, 260.0, 255.0, 210.0, 210.0, 180.0, 210.0, 320.0, 110.0, 180.0, 110.0, 180.0, 180.0, 440.0, 215.0, 125.0, 155.0, 120.0, 110.0, 125.0, 180.0, 270.0, 260.0, 260.0, 210.0, 240.0, 210.0, 240.0, 180.0, 290.0, 210.0, 180.0, 260.0, 290.0, 315.0, 360.0]","[2385, 2523, 3297, 2593, 3027, 2491, 2567, 2019, 2035, 4517, 2541, 2429, 2961, 3065, 2577, 2907, 2051, 2601, 2391, 2429, 2551, 2419, 2477, 2505, 2525, 3557, 3531, 2033, 2507, 2545, 4688, 3083, 2441, 2409, 2417, 2499, 2397, 2637, 2561, 1899, 2567, 2427, 2431, 2575, 2431, 4363, 2441, 3305, 3005, 2565, 2529, 2901, 2669, 2403, 2665, 2409, 2423, 3257, 2475, 2661, 1903, 2451, 2803, 2831, 1611, 2953, 2861, 2457, 2439, 2305, 2621, 3195, 1987, 2579, 2059, 2475, 2449, 3451, 2639, 2171, 2399, 2359, 1943, 1773, 2527, 2955, 3143, 2967, 2555, 2705, 2411, 2589, 2401, 3003, 2575, 2495, 2873, 2937, 2555, 3373]",264500,264500,1059,0,3073.482,91.80588235294118,5.929411764705883,110.405,121.018,0.0,0.0,39.829,529,1.5,1.2688577540449522,"[0.0, 0.0, 1.0, 3.1000000000000014, 5.0]"
620.0,60.0,214.55,2573.8,62,97,38000,False,302500,464,9,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-23-27,1589217807,12.18032717704773,109.45954442024231,64186,ip-172-31-26-67,172.31.26.67,109.45954442024231,302500,9,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[545.0, 110.0, 225.0, 210.0, 290.0, 105.0, 105.0, 135.0, 75.0, 280.0, 105.0, 135.0, 145.0, 310.0, 135.0, 100.0, 235.0, 175.0, 285.0, 170.0, 115.0, 125.0, 110.0, 210.0, 110.0, 110.0, 215.0, 220.0, 105.0, 190.0, 365.0, 225.0, 110.0, 115.0, 430.0, 145.0, 165.0, 105.0, 60.0, 140.0, 120.0, 135.0, 110.0, 165.0, 335.0, 120.0, 320.0, 75.0, 270.0, 400.0, 165.0, 350.0, 485.0, 140.0, 110.0, 610.0, 105.0, 230.0, 240.0, 145.0, 370.0, 275.0, 410.0, 155.0, 155.0, 210.0, 185.0, 410.0, 410.0, 155.0, 515.0, 260.0, 75.0, 210.0, 210.0, 440.0, 265.0, 210.0, 180.0, 180.0, 180.0, 155.0, 180.0, 210.0, 105.0, 210.0, 210.0, 180.0, 210.0, 180.0, 620.0, 180.0, 245.0, 265.0, 210.0, 210.0, 260.0, 155.0, 155.0, 180.0]","[4383, 1995, 3267, 3691, 4161, 1783, 1783, 2001, 1229, 2699, 2027, 2371, 1797, 3263, 2875, 1131, 2443, 2439, 2919, 2391, 2335, 1913, 1469, 2541, 1901, 1259, 3997, 3461, 2075, 2433, 3159, 3359, 1535, 1987, 3505, 3057, 2007, 2065, 1111, 2369, 2109, 3109, 2023, 2373, 2265, 2009, 3159, 1113, 3003, 3349, 2439, 2343, 4065, 1585, 2095, 4477, 1779, 3013, 2895, 2033, 2851, 2728, 2601, 2391, 2429, 2551, 2419, 2477, 2505, 2525, 3557, 3531, 2033, 2507, 2545, 4688, 3083, 2441, 2409, 2417, 2499, 2397, 2637, 2561, 1899, 2567, 2427, 2431, 2575, 2431, 4363, 2441, 3305, 3005, 2565, 2529, 2901, 2669, 2403, 2665]",302000,302500,1210,0,3113.001,91.24117647058824,5.923529411764707,75.647,116.024,0.0,0.0,32.8,605,1.24,1.1056219968868202,"[0.0, 0.0, 1.0, 3.0, 4.0]"
610.0,40.0,203.75,2361.63,71,107,37500,False,340000,535,10,c38a33d3a32644998ca3c9539f5595fb,2020-05-11_17-23-39,1589217819,12.164714574813843,121.62425899505615,64186,ip-172-31-26-67,172.31.26.67,121.62425899505615,340000,10,15,d991e_00001,"1_env=SpaceInvadersNoFrameskip-v4,use_pytorch=False","[80.0, 300.0, 315.0, 245.0, 220.0, 150.0, 360.0, 75.0, 80.0, 235.0, 175.0, 475.0, 220.0, 160.0, 215.0, 55.0, 140.0, 460.0, 220.0, 320.0, 160.0, 185.0, 340.0, 75.0, 205.0, 240.0, 205.0, 230.0, 195.0, 110.0, 145.0, 210.0, 185.0, 230.0, 325.0, 260.0, 195.0, 190.0, 125.0, 105.0, 115.0, 210.0, 50.0, 55.0, 240.0, 235.0, 80.0, 265.0, 190.0, 135.0, 395.0, 40.0, 210.0, 115.0, 245.0, 105.0, 365.0, 155.0, 225.0, 230.0, 125.0, 110.0, 135.0, 80.0, 430.0, 230.0, 95.0, 210.0, 130.0, 75.0, 245.0, 115.0, 430.0, 145.0, 165.0, 105.0, 60.0, 140.0, 120.0, 135.0, 110.0, 165.0, 335.0, 120.0, 320.0, 75.0, 270.0, 400.0, 165.0, 350.0, 485.0, 140.0, 110.0, 610.0, 105.0, 230.0, 240.0, 145.0, 370.0, 275.0]","[1081, 3247, 2967, 2507, 2389, 1463, 3325, 1135, 1115, 2563, 1967, 2991, 2539, 2323, 2515, 1179, 2383, 4065, 2457, 3593, 2383, 3453, 2367, 1207, 2387, 2409, 2413, 2433, 2617, 1241, 1931, 2535, 2433, 2555, 4061, 2747, 2415, 2515, 1949, 1215, 1953, 2513, 1057, 1145, 2715, 3465, 1117, 3123, 2395, 1949, 2407, 1143, 2753, 1951, 3059, 1099, 3151, 2417, 2433, 2511, 1963, 1395, 2397, 1129, 4209, 2577, 1849, 2681, 1965, 1075, 2581, 1987, 3505, 3057, 2007, 2065, 1111, 2369, 2109, 3109, 2023, 2373, 2265, 2009, 3159, 1113, 3003, 3349, 2439, 2343, 4065, 1585, 2095, 4477, 1779, 3013, 2895, 2033, 2851, 2728]",339500,340000,1361,0,3075.42,90.7611111111111,5.933333333333334,82.669,114.843,0.0,0.0,25.632,680,1.06,1.2068139873236472,"[0.0, 0.0, 1.0, 3.0, 4.0]"
