episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,5000,False,5000,0,1,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-27-51,1579678071,12.605733156204224,12.605733156204224,3564,ip-172-31-17-119,172.31.17.119,12.605733156204224,5000,1,10,59606e94,2_env=QbertNoFrameskip-v4,5000,5000,4843.249,1661.009,5109.001,867.103,27.784210526315793,6.042105263157896,0.5,4.999999873689376e-05,0.47411472,0.018590769,0.44649905,0.08611556,0.030733997,0.63421863,0.009999999776482582
nan,nan,nan,nan,0,5000,False,10000,0,2,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-27-57,1579678077,6.132181882858276,18.7379150390625,3564,ip-172-31-17-119,172.31.17.119,18.7379150390625,10000,2,10,59606e94,2_env=QbertNoFrameskip-v4,10000,10000,3434.559,1192.732,4220.032,441.704,26.15,6.75,0.75,4.999999873689376e-05,0.30709976,0.037035465,0.24392597,0.11377101,0.043504663,0.64901775,0.009999999776482582
nan,nan,nan,nan,0,5000,False,15000,0,3,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-03,1579678083,5.956136226654053,24.694051265716553,3564,ip-172-31-17-119,172.31.17.119,24.694051265716553,15000,3,10,59606e94,2_env=QbertNoFrameskip-v4,15000,15000,2981.866,1024.743,3864.61,299.329,23.555555555555557,6.822222222222222,1.125,4.999999873689376e-05,0.15285924,-0.0005610332,0.14981236,0.1402435,0.008416524,0.5860664,0.009999999776482582
350.0,150.0,248.8095238095238,1488.2857142857142,21,5000,False,20000,21,4,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-09,1579678089,5.909904718399048,30.6039559841156,3564,ip-172-31-17-119,172.31.17.119,30.6039559841156,20000,4,10,59606e94,2_env=QbertNoFrameskip-v4,20000,20000,2742.336,932.503,3690.565,228.834,25.625,6.9125,1.125,4.999999873689376e-05,0.19257134,-0.006351497,0.19926962,0.28852034,0.0041208398,0.49827296,0.009999999776482582
350.0,150.0,241.84782608695653,1621.7826086956522,25,5000,False,25000,46,5,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-14,1579678094,5.830956220626831,36.43491220474243,3564,ip-172-31-17-119,172.31.17.119,36.43491220474243,25000,5,10,59606e94,2_env=QbertNoFrameskip-v4,25000,25000,2579.44,882.824,3586.557,185.946,23.38888888888889,6.866666666666666,0.5625,4.999999873689376e-05,0.15578352,0.0019421078,0.14944454,0.7699224,0.01835284,0.59265935,0.009999999776482582
350.0,150.0,244.5,1664.58,4,5000,False,30000,50,6,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-20,1579678100,5.809099912643433,42.244012117385864,3564,ip-172-31-17-119,172.31.17.119,42.244012117385864,30000,6,10,59606e94,2_env=QbertNoFrameskip-v4,30000,30000,2470.772,846.123,3516.833,156.656,24.4375,6.9125,0.5625,4.999999873689376e-05,0.19961807,0.023923758,0.16396458,0.6747674,0.032836743,0.6740924,0.009999999776482582
350.0,150.0,246.36363636363637,1633.581818181818,5,5000,False,35000,55,7,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-26,1579678106,5.871229887008667,48.11524200439453,3564,ip-172-31-17-119,172.31.17.119,48.11524200439453,35000,7,10,59606e94,2_env=QbertNoFrameskip-v4,35000,35000,2396.605,828.739,3463.693,135.999,24.349999999999998,6.925,0.84375,4.999999873689376e-05,0.12231541,-0.0074487748,0.13011202,0.64702606,0.006361996,0.5715754,0.009999999776482582
350.0,150.0,246.875,1606.7222222222222,17,5000,False,40000,72,8,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-32,1579678112,5.814123153686523,53.929365158081055,3564,ip-172-31-17-119,172.31.17.119,53.929365158081055,40000,8,10,59606e94,2_env=QbertNoFrameskip-v4,40000,40000,2342.901,807.657,3422.717,120.162,22.899999999999995,6.955555555555556,0.84375,4.999999873689376e-05,0.07869055,-0.0047294796,0.08345485,0.913278,0.006067178,0.5153999,0.009999999776482582
350.0,150.0,248.38709677419354,1627.4086021505377,21,5000,False,45000,93,9,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-38,1579678118,5.715422868728638,59.64478802680969,3564,ip-172-31-17-119,172.31.17.119,59.64478802680969,45000,9,10,59606e94,2_env=QbertNoFrameskip-v4,45000,45000,2286.094,791.764,3394.478,107.991,23.512500000000003,6.9375,0.84375,4.999999873689376e-05,0.10182706,-0.007841749,0.109697044,0.9175259,0.006419706,0.54448575,0.009999999776482582
375.0,150.0,248.0,1640.09,7,5000,False,50000,100,10,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-44,1579678124,5.779273986816406,65.4240620136261,3564,ip-172-31-17-119,172.31.17.119,65.4240620136261,50000,10,10,59606e94,2_env=QbertNoFrameskip-v4,50000,50000,2242.447,784.125,3370.966,98.569,23.85,6.949999999999999,0.84375,4.999999873689376e-05,0.11712968,-0.0040124687,0.12098004,0.84011555,0.006526348,0.5344481,0.009999999776482582
