episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/cur_kl_coeff,info/learner/cur_lr,info/learner/total_loss,info/learner/policy_loss,info/learner/vf_loss,info/learner/vf_explained_var,info/learner/kl,info/learner/entropy,info/learner/entropy_coeff
nan,nan,nan,nan,0,5000,False,5000,0,1,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-28-43,1579602523,13.369052171707153,13.369052171707153,5629,ip-172-31-17-119,172.31.17.119,13.369052171707153,5000,1,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,5000,5000,7303.424,6013.707,24.809,831.434,684.61,5000.0,34.434999999999995,7.714999999999999,0.5,5e-05,0.1346913,0.0031020916,0.13433084,0.628265,0.007988697,0.6735957,0.009999999999999998
nan,nan,nan,nan,0,5000,False,10000,0,2,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-28-51,1579602531,8.175196886062622,21.544249057769775,5629,ip-172-31-17-119,172.31.17.119,21.544249057769775,10000,2,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,10000,10000,4893.775,5826.387,25.598,858.165,1021.706,5000.0,22.39090909090909,8.790909090909091,0.5,5e-05,0.12312428,-0.010029965,0.13751194,0.87605125,0.004920922,0.6818165,0.009999999999999998
nan,nan,nan,nan,0,5000,False,15000,0,3,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-28-59,1579602539,8.031505823135376,29.57575488090515,5629,ip-172-31-17-119,172.31.17.119,29.57575488090515,15000,3,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,15000,15000,4061.854,5745.689,25.039,870.218,1230.965,5000.0,20.683333333333334,8.933333333333332,0.25,5e-05,0.118012965,-0.021594688,0.14521077,0.8626008,0.0098069105,0.805484,0.009999999999999998
nan,nan,nan,nan,0,5000,False,20000,0,4,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-07,1579602547,8.096522331237793,37.672277212142944,5629,ip-172-31-17-119,172.31.17.119,37.672277212142944,20000,4,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,20000,20000,3638.217,5727.725,24.81,872.947,1374.3,5000.0,21.245454545454546,9.19090909090909,0.25,5e-05,0.06313433,-0.020832036,0.091448836,0.7435814,0.008296647,0.9556632,0.009999999999999998
215.0,50.0,112.5,1773.5,4,5000,False,25000,4,5,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-15,1579602555,8.017905235290527,45.69018244743347,5629,ip-172-31-17-119,172.31.17.119,45.69018244743347,25000,5,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,25000,25000,3390.222,5696.276,24.46,877.767,1474.83,5000.0,20.291666666666664,9.325,0.25,5e-05,0.051865578,-0.024857149,0.085497595,0.7926459,0.010374787,1.1368568,0.009999999999999998
235.0,50.0,130.83333333333334,1937.8333333333333,8,5000,False,30000,12,6,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-23,1579602563,8.0409677028656,53.73115015029907,5629,ip-172-31-17-119,172.31.17.119,53.73115015029907,30000,6,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,30000,30000,3224.662,5680.307,23.278,880.234,1550.55,5000.0,20.90909090909091,9.427272727272726,0.25,5e-05,0.03558394,-0.02696484,0.069484666,0.8804264,0.0073179305,0.8765365,0.009999999999999998
435.0,50.0,163.25,2052.9,8,5000,False,35000,20,7,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-31,1579602571,8.023333072662354,61.754483222961426,5629,ip-172-31-17-119,172.31.17.119,61.754483222961426,35000,7,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,35000,35000,3093.507,5678.835,22.405,880.462,1616.288,5000.0,20.916666666666664,9.466666666666667,0.25,5e-05,0.04772528,-0.019142617,0.07305894,0.9030595,0.0054764627,0.75601614,0.009999999999999998
435.0,50.0,168.0952380952381,2076.6190476190477,1,5000,False,40000,21,8,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-39,1579602579,7.994657516479492,69.74914073944092,5629,ip-172-31-17-119,172.31.17.119,69.74914073944092,40000,8,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,40000,40000,2992.416,5674.755,23.215,881.095,1670.891,5000.0,21.036363636363635,9.545454545454545,0.25,5e-05,0.044161282,-0.025860284,0.07561478,0.88421583,0.007728414,0.7525314,0.009999999999999998
440.0,50.0,211.57894736842104,2607.1052631578946,17,5000,False,45000,38,9,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-47,1579602587,7.88504958152771,77.63419032096863,5629,ip-172-31-17-119,172.31.17.119,77.63419032096863,45000,9,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,45000,45000,2909.45,5665.32,22.881,882.563,1718.538,5000.0,21.427272727272722,9.618181818181817,0.25,5e-05,0.043631613,-0.02840485,0.07786243,0.8915409,0.010743249,0.8511778,0.009999999999999998
530.0,50.0,218.13725490196077,2666.3333333333335,13,5000,False,50000,51,10,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-29-55,1579602595,7.7846856117248535,85.41887593269348,5629,ip-172-31-17-119,172.31.17.119,85.41887593269348,50000,10,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,50000,50000,2838.868,5651.378,22.582,884.74,1761.266,5000.0,21.118181818181817,9.663636363636364,0.25,5e-05,0.045558345,-0.028558457,0.08076336,0.9300543,0.009345169,0.89828527,0.009999999999999998
