episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/cur_kl_coeff,info/learner/cur_lr,info/learner/total_loss,info/learner/policy_loss,info/learner/vf_loss,info/learner/vf_explained_var,info/learner/kl,info/learner/entropy,info/learner/entropy_coeff
nan,nan,nan,nan,0,5000,False,5000,0,1,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-49-59,1579524599,12.309809923171997,12.309809923171997,6044,ip-172-31-22-183,172.31.22.183,12.309809923171997,5000,1,10,51f92a76,0_env=BreakoutNoFrameskip-v4,5000,5000,6805.277,5467.606,19.925,914.477,734.724,5000.0,36.72222222222222,8.577777777777778,0.5,5e-05,0.05577355,0.00020708368,0.055944644,0.73644286,0.00012425196,0.04403034,0.009999999999999998
2.0,2.0,2.0,802.4615384615385,39,5000,False,10000,39,2,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-06,1579524606,7.413316965103149,19.723126888275146,6044,ip-172-31-22-183,172.31.22.183,19.723126888275146,10000,2,10,51f92a76,0_env=BreakoutNoFrameskip-v4,10000,10000,4521.582,5307.725,14.936,942.023,1105.808,5000.0,21.881818181818183,9.518181818181818,0.25,5e-05,0.03645452,-0.00045465975,0.0374418,0.7040584,9.5852665e-05,0.055657506,0.009999999999999998
2.0,2.0,2.0,804.6,11,5000,False,15000,50,3,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-13,1579524613,7.40505313873291,27.128180027008057,6044,ip-172-31-22-183,172.31.22.183,27.128180027008057,15000,3,10,51f92a76,0_env=BreakoutNoFrameskip-v4,15000,15000,3764.736,5248.316,12.534,952.687,1328.114,5000.0,22.94,9.56,0.125,5e-05,0.023046335,-0.00037261768,0.02384277,0.7183201,5.8005833e-05,0.043107178,0.009999999999999998
2.0,0.0,1.9393939393939394,796.1616161616162,49,5000,False,20000,99,4,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-21,1579524621,7.484023332595825,34.61220335960388,6044,ip-172-31-22-183,172.31.22.183,34.61220335960388,20000,4,10,51f92a76,0_env=BreakoutNoFrameskip-v4,20000,20000,3399.373,5225.078,11.376,956.923,1470.86,5000.0,21.936363636363637,9.909090909090908,0.0625,5e-05,0.01485776,-0.0008422114,0.016259324,0.7465891,0.00030565268,0.05784563,0.009999999999999998
3.0,0.0,1.93,794.23,5,5000,False,25000,104,5,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-28,1579524628,7.503888368606567,42.11609172821045,6044,ip-172-31-22-183,172.31.22.183,42.11609172821045,25000,5,10,51f92a76,0_env=BreakoutNoFrameskip-v4,25000,25000,3181.636,5213.834,10.667,958.987,1571.519,5000.0,21.099999999999998,10.009090909090908,0.03125,5e-05,0.02472001,-0.0016066525,0.027145037,0.72550505,0.009657849,0.112017915,0.009999999999999998
3.0,0.0,1.93,794.26,45,5000,False,30000,149,6,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-36,1579524636,7.482525587081909,49.59861731529236,6044,ip-172-31-22-183,172.31.22.183,49.59861731529236,30000,6,10,51f92a76,0_env=BreakoutNoFrameskip-v4,30000,30000,3037.742,5201.225,10.194,961.312,1645.959,5000.0,23.45,10.24,0.03125,5e-05,0.012092554,-0.0024547777,0.016234733,0.83355826,0.002130303,0.17539763,0.009999999999999998
3.0,0.0,1.96,799.15,5,5000,False,35000,154,7,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-43,1579524643,7.398348093032837,56.996965408325195,6044,ip-172-31-22-183,172.31.22.183,56.996965408325195,35000,7,10,51f92a76,0_env=BreakoutNoFrameskip-v4,35000,35000,2926.341,5188.997,9.905,963.577,1708.618,5000.0,21.48181818181818,10.463636363636363,0.015625,5e-05,0.016339466,-0.001621121,0.019307237,0.89339715,0.0007325953,0.1358101,0.009999999999999998
3.0,0.0,2.02,808.22,42,5000,False,40000,196,8,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-51,1579524651,7.464345932006836,64.46131134033203,6044,ip-172-31-22-183,172.31.22.183,64.46131134033203,40000,8,10,51f92a76,0_env=BreakoutNoFrameskip-v4,40000,40000,2850.896,5179.872,9.638,965.275,1753.835,5000.0,23.43,10.59,0.0078125,5e-05,0.016233038,-0.0047498317,0.023422102,0.87742054,0.014828863,0.25550824,0.009999999999999998
3.0,0.0,2.07,818.41,9,5000,False,45000,205,9,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-50-58,1579524658,7.37048077583313,71.83179211616516,6044,ip-172-31-22-183,172.31.22.183,71.83179211616516,45000,9,10,51f92a76,0_env=BreakoutNoFrameskip-v4,45000,45000,2781.697,5172.962,9.444,966.564,1797.464,5000.0,21.2,10.645454545454545,0.0078125,5e-05,0.018151827,0.0031080402,0.017075198,0.93518513,0.0071331384,0.20871381,0.009999999999999998
3.0,0.0,2.14,831.68,41,5000,False,50000,246,10,1c2f8293495b4ff99fae6d439bdee012,2020-01-20_12-51-06,1579524666,7.555124282836914,79.38691639900208,6044,ip-172-31-22-183,172.31.22.183,79.38691639900208,50000,10,10,51f92a76,0_env=BreakoutNoFrameskip-v4,50000,50000,2743.542,5168.582,9.282,967.383,1822.461,5000.0,21.7,10.772727272727273,0.0078125,5e-05,0.017839335,0.000674993,0.020807285,0.916325,0.011765775,0.37348598,0.009999999999999998
