episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,5000,False,5000,0,1,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-27-50,1579678070,12.2058846950531,12.2058846950531,3554,ip-172-31-17-119,172.31.17.119,12.2058846950531,5000,1,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,5000,5000,4863.495,1679.685,4694.451,837.055,28.03333333333333,6.061111111111112,0.5,4.999999873689376e-05,0.08971759,-0.00079360453,0.09483893,0.19853799,0.00913584,0.88956654,0.009999999776482582
nan,nan,nan,nan,0,5000,False,10000,0,2,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-27-56,1579678076,6.062899827957153,18.268784523010254,3554,ip-172-31-17-119,172.31.17.119,18.268784523010254,10000,2,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,10000,10000,3460.838,1162.955,4001.079,426.013,24.044444444444444,6.688888888888889,0.5,4.999999873689376e-05,0.19144282,-0.018473709,0.21577254,0.17813441,0.0062527284,0.8982366,0.009999999776482582
30.0,10.0,20.0,1136.0,2,5000,False,15000,2,3,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-02,1579678082,5.902640104293823,24.171424627304077,3554,ip-172-31-17-119,172.31.17.119,24.171424627304077,15000,3,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,15000,15000,2985.6,1006.712,3709.51,288.694,25.687499999999996,6.8125,0.5,4.999999873689376e-05,0.115346715,-0.026376108,0.14746627,0.23768315,0.0071988343,0.93428737,0.009999999776482582
95.0,10.0,48.5,1247.0,8,5000,False,20000,10,4,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-08,1579678088,5.960521459579468,30.131946086883545,3554,ip-172-31-17-119,172.31.17.119,30.131946086883545,20000,4,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,20000,20000,2740.395,948.636,3564.43,220.007,23.53333333333333,6.911111111111111,0.5,4.999999873689376e-05,0.15087965,-0.0008014925,0.15157358,0.32226104,0.022522138,1.1153504,0.009999999776482582
235.0,10.0,71.2,1537.64,15,5000,False,25000,25,5,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-14,1579678094,5.775516986846924,35.90746307373047,3554,ip-172-31-17-119,172.31.17.119,35.90746307373047,25000,5,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,25000,25000,2586.478,887.51,3474.897,178.226,24.9875,6.9,0.75,4.999999873689376e-05,0.17316669,-0.029307678,0.20647256,0.3260196,0.010249481,1.1685292,0.009999999776482582
235.0,10.0,86.86046511627907,1719.3255813953488,18,5000,False,30000,43,6,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-20,1579678100,5.919829845428467,41.827292919158936,3554,ip-172-31-17-119,172.31.17.119,41.827292919158936,30000,6,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,30000,30000,2491.817,854.581,3421.942,151.071,24.9875,6.8625,0.75,4.999999873689376e-05,0.15668803,-0.021058373,0.18171574,0.38581806,0.009091673,1.0788088,0.009999999776482582
455.0,10.0,101.97916666666667,1784.9583333333333,5,5000,False,35000,48,7,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-26,1579678106,5.816685676574707,47.64397859573364,3554,ip-172-31-17-119,172.31.17.119,47.64397859573364,35000,7,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,35000,35000,2410.92,830.056,3384.098,131.469,22.3,6.922222222222222,0.75,4.999999873689376e-05,0.15628947,-0.022128396,0.18152186,0.4469088,0.009841049,1.0484793,0.009999999776482582
520.0,10.0,111.57407407407408,1825.851851851852,6,5000,False,40000,54,8,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-32,1579678112,5.848822355270386,53.49280095100403,3554,ip-172-31-17-119,172.31.17.119,53.49280095100403,40000,8,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,40000,40000,2352.331,814.962,3353.76,116.515,24.599999999999998,6.925,0.75,4.999999873689376e-05,0.11565964,-0.027498165,0.14713584,0.6011101,0.008492045,1.0347058,0.009999999776482582
520.0,10.0,106.81818181818181,1792.2424242424242,12,5000,False,45000,66,9,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-38,1579678118,5.739975452423096,59.232776403427124,3554,ip-172-31-17-119,172.31.17.119,59.232776403427124,45000,9,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,45000,45000,2302.67,797.273,3328.964,104.82,23.875,6.9625,0.75,4.999999873689376e-05,0.1523693,-0.020892467,0.17577097,0.6073532,0.011134507,1.086005,0.009999999776482582
735.0,10.0,119.40789473684211,1854.2368421052631,10,5000,False,50000,76,10,a7674337d1b0487a91a2777f302579d5,2020-01-22_07-28-43,1579678123,5.7799060344696045,65.01268243789673,3554,ip-172-31-17-119,172.31.17.119,65.01268243789673,50000,10,10,5960e4aa,3_env=SpaceInvadersNoFrameskip-v4,50000,50000,2261.281,784.528,3313.087,95.605,23.8,6.9375,0.75,4.999999873689376e-05,0.11779276,-0.031230245,0.15273891,0.6190326,0.009821018,1.1081676,0.009999999776482582
