info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'policy_loss': 0.11539670079946518, 'num_steps_trained': 5000, 'grad_time_ms': 18271.218, 'vf_explained_var': -0.4892032742500305, 'kl': 0.2445484697818756, 'entropy': 1.3067352771759033, 'cur_lr': 0.000699999975040555, 'num_steps_sampled': 5000, 'total_loss': 1.7087421417236328, 'sample_time_ms': 3009.249, 'vf_loss': 1.4841387271881104, 'update_time_ms': 228.513, 'load_time_ms': 354.365}",1,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990609,nan,ip-172-30-1-228,3203,0,5000,nan,22.06070590019226,22.06070590019226,2018-08-23_02-16-49,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.008794441819190979, 'num_steps_trained': 10000, 'grad_time_ms': 10075.525, 'vf_explained_var': -0.7172675132751465, 'kl': 0.0018386207520961761, 'entropy': 1.3387762308120728, 'cur_lr': 0.0006998250028118491, 'num_steps_sampled': 10000, 'total_loss': 0.41793838143348694, 'sample_time_ms': 2541.555, 'vf_loss': 0.43874162435531616, 'update_time_ms': 124.882, 'load_time_ms': 331.502}",2,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990614,nan,ip-172-30-1-228,3203,0,10000,nan,4.423563003540039,26.4842689037323,2018-08-23_02-16-54,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.012163537554442883, 'num_steps_trained': 15000, 'grad_time_ms': 7340.558, 'vf_explained_var': -0.6335812211036682, 'kl': 0.0026252144016325474, 'entropy': 1.3746881484985352, 'cur_lr': 0.0006996499723754823, 'num_steps_sampled': 15000, 'total_loss': 0.2204907238483429, 'sample_time_ms': 2377.535, 'vf_loss': 0.24541668593883514, 'update_time_ms': 88.836, 'load_time_ms': 323.571}",3,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990618,nan,ip-172-30-1-228,3203,0,15000,nan,4.384581089019775,30.868849992752075,2018-08-23_02-16-58,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.013269158080220222, 'num_steps_trained': 20000, 'grad_time_ms': 5976.909, 'vf_explained_var': -0.40718522667884827, 'kl': 0.0038926447741687298, 'entropy': 1.3528096675872803, 'cur_lr': 0.0006994750001467764, 'num_steps_sampled': 20000, 'total_loss': 0.305172860622406, 'sample_time_ms': 2302.767, 'vf_loss': 0.3312402665615082, 'update_time_ms': 71.015, 'load_time_ms': 314.476}",4,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990623,nan,ip-172-30-1-228,3203,0,20000,nan,4.412240028381348,35.28109002113342,2018-08-23_02-17-03,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.014478211291134357, 'num_steps_trained': 25000, 'grad_time_ms': 5157.167, 'vf_explained_var': -0.15195071697235107, 'kl': 0.003954825457185507, 'entropy': 1.3989102840423584, 'cur_lr': 0.0006993000279180706, 'num_steps_sampled': 25000, 'total_loss': 0.1726227104663849, 'sample_time_ms': 2249.252, 'vf_loss': 0.20071923732757568, 'update_time_ms': 61.489, 'load_time_ms': 314.953}",5,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990627,nan,ip-172-30-1-228,3203,0,25000,nan,4.404192924499512,39.685282945632935,2018-08-23_02-17-07,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.017702486366033554, 'num_steps_trained': 30000, 'grad_time_ms': 4612.479, 'vf_explained_var': 0.052538055926561356, 'kl': 0.004524127580225468, 'entropy': 1.3963539600372314, 'cur_lr': 0.0006991249974817038, 'num_steps_sampled': 30000, 'total_loss': 0.1954490691423416, 'sample_time_ms': 2216.461, 'vf_loss': 0.2269030064344406, 'update_time_ms': 54.9, 'load_time_ms': 311.878}",6,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990631,264.0,ip-172-30-1-228,3203,1,30000,264.0,4.403487920761108,44.08877086639404,2018-08-23_02-17-11,False,264.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},4131.0
"{'policy_loss': -0.019293801859021187, 'num_steps_trained': 35000, 'grad_time_ms': 4223.11, 'vf_explained_var': 0.1859830617904663, 'kl': 0.003503932384774089, 'entropy': 1.376551866531372, 'cur_lr': 0.0006989500252529979, 'num_steps_sampled': 35000, 'total_loss': 0.1570630967617035, 'sample_time_ms': 2186.779, 'vf_loss': 0.19004026055335999, 'update_time_ms': 49.181, 'load_time_ms': 310.895}",7,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990636,299.2,ip-172-30-1-228,3203,5,35000,132.0,4.349545955657959,48.438316822052,2018-08-23_02-17-16,False,528.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},4594.2
"{'policy_loss': -0.019409770146012306, 'num_steps_trained': 40000, 'grad_time_ms': 3928.676, 'vf_explained_var': 0.1952071189880371, 'kl': 0.0034074753057211637, 'entropy': 1.3499104976654053, 'cur_lr': 0.0006987749948166311, 'num_steps_sampled': 40000, 'total_loss': 0.15709254145622253, 'sample_time_ms': 2174.683, 'vf_loss': 0.1899615079164505, 'update_time_ms': 45.451, 'load_time_ms': 310.056}",8,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990640,360.0,ip-172-30-1-228,3203,11,40000,132.0,4.415718078613281,52.85403490066528,2018-08-23_02-17-20,False,528.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},5027.818181818182
"{'policy_loss': -0.019856488332152367, 'num_steps_trained': 45000, 'grad_time_ms': 3700.487, 'vf_explained_var': 0.181631401181221, 'kl': 0.003813859075307846, 'entropy': 1.3437553644180298, 'cur_lr': 0.0006986000225879252, 'num_steps_sampled': 45000, 'total_loss': 0.10354814678430557, 'sample_time_ms': 2164.055, 'vf_loss': 0.13681985437870026, 'update_time_ms': 42.069, 'load_time_ms': 309.822}",9,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990645,402.94736842105266,ip-172-30-1-228,3203,19,45000,132.0,4.41874098777771,57.27277588844299,2018-08-23_02-17-25,False,572.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},5718.526315789473
"{'policy_loss': -0.02192959189414978, 'num_steps_trained': 50000, 'grad_time_ms': 3516.172, 'vf_explained_var': 0.05466268211603165, 'kl': 0.004048760514706373, 'entropy': 1.3547662496566772, 'cur_lr': 0.0006984249921515584, 'num_steps_sampled': 50000, 'total_loss': 0.058975644409656525, 'sample_time_ms': 2148.446, 'vf_loss': 0.09444103389978409, 'update_time_ms': 39.483, 'load_time_ms': 307.935}",10,d07ae526614f4908b7a7fa7b0d999fd3,172.30.1.228,1534990649,417.04347826086956,ip-172-30-1-228,3203,23,50000,132.0,4.3107590675354,61.583534955978394,2018-08-23_02-17-29,False,616.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BeamRiderNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},5924.826086956522
