info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'policy_loss': -0.01651768758893013, 'num_steps_trained': 5000, 'grad_time_ms': 18332.458, 'vf_explained_var': 0.7203596830368042, 'kl': 0.020091889426112175, 'entropy': 0.14040926098823547, 'cur_lr': 0.000699999975040555, 'num_steps_sampled': 5000, 'total_loss': 0.45173540711402893, 'sample_time_ms': 3204.802, 'vf_loss': 0.45961126685142517, 'update_time_ms': 250.18, 'load_time_ms': 361.163}",1,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990609,nan,ip-172-30-1-228,3257,0,5000,nan,22.33424186706543,22.33424186706543,2018-08-23_02-16-49,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.019175689667463303, 'num_steps_trained': 10000, 'grad_time_ms': 10077.637, 'vf_explained_var': 0.4142400622367859, 'kl': 0.014499291777610779, 'entropy': 0.34496328234672546, 'cur_lr': 0.0006998250028118491, 'num_steps_sampled': 10000, 'total_loss': 0.14338655769824982, 'sample_time_ms': 2610.256, 'vf_loss': 0.15513738989830017, 'update_time_ms': 135.471, 'load_time_ms': 360.495}",2,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990614,nan,ip-172-30-1-228,3257,0,10000,nan,4.355587959289551,26.68982982635498,2018-08-23_02-16-54,False,nan,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},nan
"{'policy_loss': -0.009654270485043526, 'num_steps_trained': 15000, 'grad_time_ms': 7332.185, 'vf_explained_var': 0.5040639042854309, 'kl': 0.007911831140518188, 'entropy': 0.3934565484523773, 'cur_lr': 0.0006996499723754823, 'num_steps_sampled': 15000, 'total_loss': 0.04916466027498245, 'sample_time_ms': 2423.162, 'vf_loss': 0.056819625198841095, 'update_time_ms': 95.669, 'load_time_ms': 354.667}",3,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990618,165.0,ip-172-30-1-228,3257,3,15000,135.0,4.384872913360596,31.074702739715576,2018-08-23_02-16-58,False,180.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2425.0
"{'policy_loss': -0.0011701856274157763, 'num_steps_trained': 20000, 'grad_time_ms': 5965.552, 'vf_explained_var': 0.4337473511695862, 'kl': 0.0019058266188949347, 'entropy': 0.18520192801952362, 'cur_lr': 0.0006994750001467764, 'num_steps_sampled': 20000, 'total_loss': 0.1340174823999405, 'sample_time_ms': 2343.869, 'vf_loss': 0.13561031222343445, 'update_time_ms': 75.186, 'load_time_ms': 341.318}",4,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990623,179.7,ip-172-30-1-228,3257,50,20000,135.0,4.431900978088379,35.506603717803955,2018-08-23_02-17-03,False,210.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2447.88
"{'policy_loss': -0.024614932015538216, 'num_steps_trained': 25000, 'grad_time_ms': 5147.637, 'vf_explained_var': 0.7000593543052673, 'kl': 0.01631748117506504, 'entropy': 0.4596875309944153, 'cur_lr': 0.0006993000279180706, 'num_steps_sampled': 25000, 'total_loss': 0.006191032938659191, 'sample_time_ms': 2281.75, 'vf_loss': 0.029283780604600906, 'update_time_ms': 65.832, 'load_time_ms': 347.271}",5,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990627,179.7,ip-172-30-1-228,3257,50,25000,135.0,4.45021390914917,39.956817626953125,2018-08-23_02-17-07,False,210.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2447.88
"{'policy_loss': -0.021764816716313362, 'num_steps_trained': 30000, 'grad_time_ms': 4601.743, 'vf_explained_var': 0.40501269698143005, 'kl': 0.02101181633770466, 'entropy': 0.5026648640632629, 'cur_lr': 0.0006991249974817038, 'num_steps_sampled': 30000, 'total_loss': 0.02187914028763771, 'sample_time_ms': 2231.549, 'vf_loss': 0.04079117998480797, 'update_time_ms': 58.149, 'load_time_ms': 346.758}",6,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990631,175.86206896551724,ip-172-30-1-228,3257,58,30000,135.0,4.360097885131836,44.31691551208496,2018-08-23_02-17-11,False,210.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2440.7241379310344
"{'policy_loss': -0.004949723836034536, 'num_steps_trained': 35000, 'grad_time_ms': 4211.602, 'vf_explained_var': 0.2648557722568512, 'kl': 0.0035563968122005463, 'entropy': 0.34390756487846375, 'cur_lr': 0.0006989500252529979, 'num_steps_sampled': 35000, 'total_loss': 0.09864787012338638, 'sample_time_ms': 2208.922, 'vf_loss': 0.10503619909286499, 'update_time_ms': 52.777, 'load_time_ms': 350.208}",7,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990636,183.95,ip-172-30-1-228,3257,100,35000,135.0,4.477359056472778,48.79427456855774,2018-08-23_02-17-16,False,380.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2456.7
"{'policy_loss': -0.012797104194760323, 'num_steps_trained': 40000, 'grad_time_ms': 3917.722, 'vf_explained_var': 0.4852348268032074, 'kl': 0.008951953612267971, 'entropy': 0.6360459923744202, 'cur_lr': 0.0006987749948166311, 'num_steps_sampled': 40000, 'total_loss': 0.009667446836829185, 'sample_time_ms': 2185.881, 'vf_loss': 0.026307273656129837, 'update_time_ms': 49.082, 'load_time_ms': 349.26}",8,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990640,183.95,ip-172-30-1-228,3257,100,40000,135.0,4.41631007194519,53.21058464050293,2018-08-23_02-17-20,False,380.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2456.7
"{'policy_loss': -0.01586971990764141, 'num_steps_trained': 45000, 'grad_time_ms': 3689.45, 'vf_explained_var': 0.6059983968734741, 'kl': 0.01525174267590046, 'entropy': 0.3124920725822449, 'cur_lr': 0.0006986000225879252, 'num_steps_sampled': 45000, 'total_loss': 0.019453879445791245, 'sample_time_ms': 2161.907, 'vf_loss': 0.034158967435359955, 'update_time_ms': 45.679, 'load_time_ms': 352.892}",9,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990645,184.5,ip-172-30-1-228,3257,100,45000,135.0,4.375396013259888,57.58598065376282,2018-08-23_02-17-25,False,380.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2457.72
"{'policy_loss': -0.0050749084912240505, 'num_steps_trained': 50000, 'grad_time_ms': 3506.943, 'vf_explained_var': 0.44039830565452576, 'kl': 0.005434936843812466, 'entropy': 0.3804174065589905, 'cur_lr': 0.0006984249921515584, 'num_steps_sampled': 50000, 'total_loss': 0.13989479839801788, 'sample_time_ms': 2152.533, 'vf_loss': 0.14724531769752502, 'update_time_ms': 43.158, 'load_time_ms': 353.047}",10,410b910b49a6479ca831523f2ee41704,172.30.1.228,1534990649,194.35,ip-172-30-1-228,3257,100,50000,135.0,4.445061922073364,62.03104257583618,2018-08-23_02-17-29,False,410.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'SpaceInvadersNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},2470.84
