episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-382.5493118599235,-382.5493118599235,-382.5493118599235,1000.0,1,1000,1000,False,1000,1,1,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-38-14,1587047894,3.3527097702026367,3.3527097702026367,7334,ip-172-31-21-251,172.31.21.251,3.3527097702026367,1000,1,0,00004,4_learning_starts=10005,[-382.5493118599235],[1000],0.2682259032776306,0.37732705488786117,1.3119628974845954,[{}],500,0,1000,2.066,0.0,0.0,0.003,0.0,0.0,90.03999999999999,10.120000000000001,-181.21117068493004,-455.2114733778109,-358.7325826756049,1000.0,10,"[-429.3717071889963, -455.2114733778109, -432.99499870215226, -293.40991990984014, -284.2240471952261, -277.51693767548977, -450.2453462851109, -339.0178890510686, -181.21117068493004, -444.12233668542365]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2670112150619655,0.12385355283136239,1.2224570427783878
-382.5493118599235,-511.3548347089806,-446.952073284452,1000.0,1,1000,1000,False,2000,2,2,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-38-36,1587047916,3.071564197540283,6.42427396774292,7334,ip-172-31-21-251,172.31.21.251,6.42427396774292,2000,2,0,00004,4_learning_starts=10005,"[-511.3548347089806, -382.5493118599235]","[1000, 1000]",0.275577322774323,0.38957919767201843,1.3076394768830735,[{}],1000,0,2000,2.583,0.0,0.0,0.003,0.0,0.0,92.028125,10.575,-217.95781136055518,-474.4617336633556,-409.1295677772094,1000.0,10,"[-431.2743569568582, -461.079296697841, -457.6566543688111, -217.95781136055518, -474.4617336633556, -454.8201365632732, -310.08823523448245, -458.0784865633927, -394.1438052539321, -431.7351611095923]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26182809845637484,0.12144075203618969,1.1852836198827266
-382.5493118599235,-512.8930092176803,-468.9323852621948,1000.0,1,1000,1000,False,3000,3,3,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-38-55,1587047935,2.9732141494750977,9.397488117218018,7334,ip-172-31-21-251,172.31.21.251,9.397488117218018,3000,3,0,00004,4_learning_starts=10005,"[-512.8930092176803, -382.5493118599235, -511.3548347089806]","[1000, 1000, 1000]",0.2795385441399343,0.39547171497507705,1.2991436639168519,[{}],1500,0,3000,2.339,0.0,0.0,0.003,0.0,0.0,91.98846153846155,10.600000000000001,-313.9667893392854,-482.75072400542257,-388.12311965205214,1000.0,10,"[-374.33470309397694, -385.86250162724747, -413.1212813171036, -434.02913999259926, -482.75072400542257, -313.9667893392854, -341.7024108912493, -357.7224658150693, -362.74923497679487, -414.99194546177233]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.260994214303676,0.12042762350986005,1.1790951849329425
-382.5493118599235,-512.8930092176803,-458.78612357070085,1000.0,1,1000,1000,False,4000,4,4,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-39-13,1587047953,2.9440932273864746,12.341581344604492,7334,ip-172-31-21-251,172.31.21.251,12.341581344604492,4000,4,0,00004,4_learning_starts=10005,"[-428.34733849621904, -382.5493118599235, -511.3548347089806, -512.8930092176803]","[1000, 1000, 1000, 1000]",0.28094714141054644,0.3976257038943252,1.2920036819464997,[{}],2000,0,4000,1.8,0.0,0.0,0.003,0.0,0.0,92.03461538461539,10.688461538461537,-294.11849005300445,-485.9641564196669,-389.96517364684166,1000.0,10,"[-306.3616483147971, -400.57385636257686, -396.7772791151776, -294.11849005300445, -351.28452608269765, -485.9641564196669, -391.89802828559044, -437.8821432969433, -422.96833425091023, -411.823274287052]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2600538924629606,0.12022763329003323,1.1716809964997152
-264.6237950840552,-512.8930092176803,-419.9536578733717,1000.0,1,1000,1000,False,5000,5,5,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-39-31,1587047971,2.909275770187378,15.25085711479187,7334,ip-172-31-21-251,172.31.21.251,15.25085711479187,5000,5,0,00004,4_learning_starts=10005,"[-264.6237950840552, -382.5493118599235, -511.3548347089806, -512.8930092176803, -428.34733849621904]","[1000, 1000, 1000, 1000, 1000]",0.2820206402732328,0.3988631238296357,1.286071344165686,[{}],2500,0,5000,2.284,0.0,0.0,0.003,0.0,0.0,91.88076923076922,10.699999999999998,-162.60433703859346,-515.0295587620591,-353.72994793393934,1000.0,10,"[-398.27570063663836, -162.60433703859346, -345.0331264987598, -258.33339609763635, -515.0295587620591, -470.1474714581189, -357.57225922161217, -312.94627867369957, -408.36661837836436, -308.99073257391126]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26104303887432995,0.12007013029752836,1.1751262243431886
-264.6237950840552,-512.8930092176803,-433.511787138239,1000.0,1,1000,1000,False,6000,6,6,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-39-50,1587047990,2.682389974594116,17.933247089385986,7334,ip-172-31-21-251,172.31.21.251,17.933247089385986,6000,6,0,00004,4_learning_starts=10005,"[-450.33995818426035, -511.3548347089806, -512.8930092176803, -428.34733849621904, -264.6237950840552]","[1000, 1000, 1000, 1000, 1000]",0.2849165388815956,0.4034230499683221,1.2717269354961918,[{}],3000,0,6000,1.698,0.0,0.0,0.002,0.0,0.0,92.09259259259261,10.699999999999998,-283.40239982918683,-548.9458951895654,-401.6154933230064,1000.0,10,"[-548.9458951895654, -283.40239982918683, -416.7484518382065, -486.59448099672545, -390.38400064087966, -294.58922369675525, -382.14994617999207, -472.644025271685, -292.96107495905824, -447.7354346280088]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26016974357368083,0.11970375746906295,1.1710200603241798
-264.6237950840552,-512.8930092176803,-421.56222127219417,1000.0,1,1000,1000,False,7000,7,7,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-40-08,1587048008,3.030424118041992,20.96367120742798,7334,ip-172-31-21-251,172.31.21.251,20.96367120742798,7000,7,0,00004,4_learning_starts=10005,"[-451.6070053787561, -512.8930092176803, -428.34733849621904, -264.6237950840552, -450.33995818426035]","[1000, 1000, 1000, 1000, 1000]",0.28519217420850423,0.40374002651227026,1.260476345589646,[{}],3500,0,7000,2.436,0.0,0.0,0.003,0.0,0.0,91.99230769230768,10.715384615384616,-255.7188281874035,-425.590395073867,-348.50069609338584,1000.0,10,"[-350.7413238868023, -394.25073083584977, -334.6996932554459, -388.48389608615537, -396.30634714060363, -324.9214947309096, -277.050944259894, -425.590395073867, -255.7188281874035, -337.24330747692755]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2601437496390694,0.11967498250260418,1.172005102478813
-264.6237950840552,-451.6070053787561,-407.42290663498477,1000.0,1,1000,1000,False,8000,8,8,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-40-27,1587048027,2.8493576049804688,23.813028812408447,7334,ip-172-31-21-251,172.31.21.251,23.813028812408447,8000,8,0,00004,4_learning_starts=10005,"[-442.1964360316331, -428.34733849621904, -264.6237950840552, -450.33995818426035, -451.6070053787561]","[1000, 1000, 1000, 1000, 1000]",0.2844412386115177,0.4027393117186674,1.252046822314063,[{}],4000,0,8000,2.454,0.0,0.0,0.003,0.0,0.0,92.01538461538462,10.800000000000002,-240.71747917957822,-426.4210124475606,-354.6963041202484,1000.0,10,"[-361.99979458873827, -371.99252644417777, -318.7874267195363, -322.7183267491889, -372.22207075130694, -426.4210124475606, -406.3225671793478, -358.6572899933474, -240.71747917957822, -367.12454714970136]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26107074615336995,0.11989443935833402,1.1762305245745357
-264.6237950840552,-451.6070053787561,-400.8973285020378,1000.0,1,1000,1000,False,9000,9,9,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-40-46,1587048046,2.8639791011810303,26.677007913589478,7334,ip-172-31-21-251,172.31.21.251,26.677007913589478,9000,9,0,00004,4_learning_starts=10005,"[-395.7194478314839, -264.6237950840552, -450.33995818426035, -451.6070053787561, -442.1964360316331]","[1000, 1000, 1000, 1000, 1000]",0.2841137309344497,0.40225696152174156,1.245022137229941,[{}],4500,0,9000,2.286,0.0,0.0,0.003,0.0,0.0,92.07777777777775,10.800000000000002,-127.22851004017554,-636.524250380366,-382.466502819296,1000.0,10,"[-459.8223502161181, -127.22851004017554, -384.53515091803615, -386.82481308112517, -344.92159889477693, -398.895006001863, -636.524250380366, -424.27643410778427, -441.5620284875794, -220.07488606513547]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26139327853819067,0.12013820834645213,1.1763893945091488
-395.7194478314839,-452.38971113478243,-438.4505117121832,1000.0,1,1000,1000,False,10000,10,10,10178c071fc14a23a52880ea50e3bed8,2020-04-16_14-41-04,1587048064,2.8540217876434326,29.53102970123291,7334,ip-172-31-21-251,172.31.21.251,29.53102970123291,10000,10,0,00004,4_learning_starts=10005,"[-452.38971113478243, -450.33995818426035, -451.6070053787561, -442.1964360316331, -395.7194478314839]","[1000, 1000, 1000, 1000, 1000]",0.28348285687768027,0.40175127246689674,1.2391895793785046,[{}],5000,0,10000,2.929,0.0,0.0,0.003,0.0,0.0,92.02592592592593,10.800000000000002,-153.8944218314525,-617.5755074609318,-383.83746255568093,1000.0,10,"[-428.1044949127144, -248.61877949725968, -408.3337471587138, -617.5755074609318, -512.8148705532348, -153.8944218314525, -454.01842589968504, -421.9513353153098, -274.9363655341364, -318.126677393371]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2600688962745382,0.11969750869813081,1.169486991920547
