episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-605.5305279185761,-605.5305279185761,-605.5305279185761,1000.0,1,1000,1000,False,1000,1,1,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-57-41,1587052661,4.272350072860718,4.272350072860718,13118,ip-172-31-21-251,172.31.21.251,4.272350072860718,1000,1,0,00004,4_learning_starts=10005,[-605.5305279185761],[1000],0.2971379073349746,0.4999235078885958,1.363588737083839,[{}],500,0,1000,2.705,0.0,0.0,0.004,0.0,0.0,84.85714285714286,7.971428571428572,-325.87188950719525,-581.8034587591795,-449.584369514407,1000.0,10,"[-581.8034587591795, -414.54509294376226, -325.87188950719525, -566.2059567583957, -449.3197699211917, -504.17247894634505, -482.8065301027211, -402.7933033990504, -367.8102585366421, -400.514956269587]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2535322572860511,0.11541611933014462,1.2219637325436765
-276.80615902269636,-605.5305279185761,-441.1683434706363,1000.0,1,1000,1000,False,2000,2,2,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-58-01,1587052681,3.8746554851531982,8.147005558013916,13118,ip-172-31-21-251,172.31.21.251,8.147005558013916,2000,2,0,00004,4_learning_starts=10005,"[-276.80615902269636, -605.5305279185761]","[1000, 1000]",0.2985259590171989,0.499781054346587,1.3601446136426052,[{}],1000,0,2000,2.724,0.0,0.0,0.004,0.0,0.0,88.04642857142858,8.199999999999998,-351.30796794435764,-640.2007551769278,-470.41287048283965,1000.0,10,"[-419.52176018779585, -402.60318544977497, -515.5132407253813, -351.30796794435764, -477.0488378079921, -416.9594809510049, -476.22477529042936, -633.0945524975556, -640.2007551769278, -371.65414879717724]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25470769022126294,0.11725721582878375,1.2258075307675653
-276.80615902269636,-605.5305279185761,-435.8547653185611,1000.0,1,1000,1000,False,3000,3,3,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-58-21,1587052701,3.7752745151519775,11.922280073165894,13118,ip-172-31-21-251,172.31.21.251,11.922280073165894,3000,3,0,00004,4_learning_starts=10005,"[-425.2276090144107, -605.5305279185761, -276.80615902269636]","[1000, 1000, 1000]",0.2979900937128067,0.4977966093657238,1.3550109518342282,[{}],1500,0,3000,2.541,0.0,0.0,0.003,0.0,0.0,88.075,8.199999999999998,-310.4994290841332,-632.5627148593262,-424.3560245664511,1000.0,10,"[-416.77299915498435, -398.7435595668929, -470.43832890021395, -395.22986071237847, -310.4994290841332, -344.32412992030675, -379.17443884432674, -555.9088145444572, -339.9059700774915, -632.5627148593262]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2555037525462205,0.11784941119943629,1.2218541317965792
-276.80615902269636,-605.5305279185761,-443.7993763395077,1000.0,1,1000,1000,False,4000,4,4,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-58-41,1587052721,3.9206268787384033,15.842906951904297,13118,ip-172-31-21-251,172.31.21.251,15.842906951904297,4000,4,0,00004,4_learning_starts=10005,"[-467.6332094023475, -605.5305279185761, -276.80615902269636, -425.2276090144107]","[1000, 1000, 1000, 1000]",0.29758847327933824,0.49709003660385476,1.3537137314640932,[{}],2000,0,4000,1.925,0.0,0.0,0.003,0.0,0.0,88.11034482758622,8.199999999999998,-281.2798568978422,-574.257018084328,-458.6970292484001,1000.0,10,"[-527.07675950584, -573.2062239275504, -528.1014970050268, -406.63822811164545, -372.48539931034674, -281.2798568978422, -304.0079475224279, -574.257018084328, -533.4973767047352, -486.4199854142585]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25422205159325667,0.11697791432777656,1.2104712660046049
-276.80615902269636,-605.5305279185761,-453.4531862583175,1000.0,1,1000,1000,False,5000,5,5,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-59-00,1587052740,3.8672852516174316,19.71019220352173,13118,ip-172-31-21-251,172.31.21.251,19.71019220352173,5000,5,0,00004,4_learning_starts=10005,"[-492.06842593355685, -605.5305279185761, -276.80615902269636, -425.2276090144107, -467.6332094023475]","[1000, 1000, 1000, 1000, 1000]",0.2973186107587037,0.49678189366579806,1.3526902289598461,[{}],2500,0,5000,2.538,0.0,0.0,0.003,0.0,0.0,88.16666666666667,8.300000000000002,-332.92154349164036,-631.6583998886676,-461.3804355831662,1000.0,10,"[-412.24016925489315, -363.79051815651314, -500.6917071460421, -412.12473465118063, -631.6583998886676, -593.1841965779962, -347.24346586136113, -615.6238273277605, -404.32579347560755, -332.92154349164036]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.253995884247049,0.11664404754354865,1.2072178772031248
-276.80615902269636,-523.5105539104151,-437.04919145668526,1000.0,1,1000,1000,False,6000,6,6,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-59-20,1587052760,3.763990640640259,23.474182844161987,13118,ip-172-31-21-251,172.31.21.251,23.474182844161987,6000,6,0,00004,4_learning_starts=10005,"[-523.5105539104151, -276.80615902269636, -425.2276090144107, -467.6332094023475, -492.06842593355685]","[1000, 1000, 1000, 1000, 1000]",0.297250016716941,0.49567075546584194,1.3485380550105295,[{}],3000,0,6000,2.843,0.0,0.0,0.004,0.0,0.0,88.14999999999999,8.300000000000002,-285.77459699002384,-646.4407578899531,-453.0578890534598,1000.0,10,"[-392.7645723683169, -425.30285406555805, -433.55026876674356, -365.08764660187387, -546.2078799657112, -515.1493787986275, -403.9697929417082, -285.77459699002384, -516.331142146081, -646.4407578899531]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2547643082978036,0.11702487930488839,1.2101675994761663
-425.2276090144107,-523.5105539104151,-483.8941718610075,1000.0,1,1000,1000,False,7000,7,7,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-59-40,1587052780,3.6644983291625977,27.138681173324585,13118,ip-172-31-21-251,172.31.21.251,27.138681173324585,7000,7,0,00004,4_learning_starts=10005,"[-511.0310610443073, -425.2276090144107, -467.6332094023475, -492.06842593355685, -523.5105539104151]","[1000, 1000, 1000, 1000, 1000]",0.2962388530869672,0.49380942247326687,1.3440407643362753,[{}],3500,0,7000,2.506,0.0,0.0,0.003,0.0,0.0,88.1285714285714,8.300000000000002,-402.94614495962685,-740.4561036146545,-506.9377124416434,1000.0,10,"[-431.4149256134716, -558.3463406380971, -416.5951294129505, -412.6948706175252, -577.1957675855032, -658.1513061454752, -442.4396265057983, -740.4561036146545, -402.94614495962685, -429.1369093233319]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25516126760780683,0.11753092166214381,1.2103043202527872
-359.35696054447124,-523.5105539104151,-470.7200421670195,1000.0,1,1000,1000,False,8000,8,8,bd377bab5a7b4aefa231127b282838c2,2020-04-16_15-59-59,1587052799,3.4844188690185547,30.62310004234314,13118,ip-172-31-21-251,172.31.21.251,30.62310004234314,8000,8,0,00004,4_learning_starts=10005,"[-359.35696054447124, -467.6332094023475, -492.06842593355685, -523.5105539104151, -511.0310610443073]","[1000, 1000, 1000, 1000, 1000]",0.295241938679995,0.49199872324330995,1.3391838677121233,[{}],4000,0,8000,1.759,0.0,0.0,0.002,0.0,0.0,88.16071428571429,8.321428571428573,-245.7071902224957,-712.2523443036174,-425.43144528589426,1000.0,10,"[-362.9595563660645, -490.91875910822023, -405.1813645477315, -483.286703313211, -304.6574552150299, -712.2523443036174, -337.28921487981665, -449.8269189859903, -245.7071902224957, -462.2349459167658]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2553048019827838,0.11752496678996589,1.2101615971755157
-359.35696054447124,-523.5105539104151,-452.48517582041103,1000.0,1,1000,1000,False,9000,9,9,bd377bab5a7b4aefa231127b282838c2,2020-04-16_16-00-19,1587052819,3.466939687728882,34.09003973007202,13118,ip-172-31-21-251,172.31.21.251,34.09003973007202,9000,9,0,00004,4_learning_starts=10005,"[-376.458877669305, -492.06842593355685, -523.5105539104151, -511.0310610443073, -359.35696054447124]","[1000, 1000, 1000, 1000, 1000]",0.2939293950215644,0.4891812151678579,1.330943365412894,[{}],4500,0,9000,1.649,0.0,0.0,0.002,0.0,0.0,88.14642857142859,8.400000000000002,-367.24416464602183,-607.1708289397932,-452.03426880039115,1000.0,10,"[-459.3635898031726, -390.3945063759799, -462.2610621739407, -388.9316579384807, -607.1708289397932, -460.11769927747304, -367.24416464602183, -426.05365773897927, -380.969242186236, -577.8362789238337]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25595230912686995,0.11784818890060293,1.211869179016365
-319.3682544909439,-523.5105539104151,-417.94514153188845,1000.0,1,1000,1000,False,10000,10,10,bd377bab5a7b4aefa231127b282838c2,2020-04-16_16-00-38,1587052838,3.52536678314209,37.61540651321411,13118,ip-172-31-21-251,172.31.21.251,37.61540651321411,10000,10,0,00004,4_learning_starts=10005,"[-319.3682544909439, -523.5105539104151, -511.0310610443073, -359.35696054447124, -376.458877669305]","[1000, 1000, 1000, 1000, 1000]",0.29250542279617775,0.4856431677718409,1.3215537042819017,[{}],5000,0,10000,2.537,0.0,0.0,0.003,0.0,0.0,88.13928571428572,8.400000000000002,-302.9777197442011,-462.24058327741517,-376.93465960348465,1000.0,10,"[-343.9328656907157, -328.75807118068457, -324.1496515909107, -462.24058327741517, -420.40778591943325, -433.5291679339169, -302.9777197442011, -425.7629017015419, -326.31139007355137, -401.2764589224756]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2562239749878808,0.11800815829732329,1.2115210664566634
