episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-373.7497420190867,-373.7497420190867,-373.7497420190867,1000.0,1,1000,1000,False,1000,1,1,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-48-22,1587480502,3.332914113998413,3.332914113998413,3951,ip-172-31-21-251,172.31.21.251,3.332914113998413,1000,1,0,00010,"10_learning_starts=10003,use_pytorch=True",[-373.7497420190867],[1000],0.24273488428685572,0.4045096310702237,1.1167352373426134,[{}],500,0,1000,2.542,0.0,0.0,0.003,0.0,0.0,73.64,7.56,-283.93503353514774,-553.5903859784376,-398.96645217121346,1000.0,10,"[-412.09918387653033, -434.5872629810438, -283.93503353514774, -386.6445296601549, -327.7436729329386, -291.3131658828187, -355.42671330536785, -553.5903859784376, -451.8687483710339, -492.45582518866155]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25189629722483076,0.1178453378874759,1.2433518172383202
-373.7497420190867,-395.26208927769375,-384.5059156483902,1000.0,1,1000,1000,False,2000,2,2,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-48-42,1587480522,3.769937753677368,7.102851867675781,3951,ip-172-31-21-251,172.31.21.251,7.102851867675781,2000,2,0,00010,"10_learning_starts=10003,use_pytorch=True","[-395.26208927769375, -373.7497420190867]","[1000, 1000]",0.25261466566911617,0.4277234291706464,1.1742942558966698,[{}],1000,0,2000,2.747,0.0,0.0,0.003,0.0,0.0,90.86551724137931,9.168965517241379,-305.8210921455088,-557.5437819588604,-408.521634859992,1000.0,10,"[-429.23133269803833, -341.3337484740427, -390.1519802737864, -557.5437819588604, -531.1335132392351, -490.192501839002, -305.8210921455088, -385.09222665529734, -324.184570354645, -330.5316009615033]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2550429495851562,0.1194037459420059,1.245129806364449
-373.7497420190867,-415.1994308524322,-394.7370873830709,1000.0,1,1000,1000,False,3000,3,3,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-49-02,1587480542,3.882297992706299,10.98514986038208,3951,ip-172-31-21-251,172.31.21.251,10.98514986038208,3000,3,0,00010,"10_learning_starts=10003,use_pytorch=True","[-415.1994308524322, -373.7497420190867, -395.26208927769375]","[1000, 1000, 1000]",0.2593473052219318,0.44184281757337046,1.212612895460719,[{}],1500,0,3000,2.766,0.0,0.0,0.003,0.0,0.0,91.46206896551726,9.4,-307.2083918764062,-496.8542109193659,-403.0504394413137,1000.0,10,"[-307.2083918764062, -437.6919731141851, -496.8542109193659, -346.96658557054315, -356.1935752730967, -369.23355609665214, -421.53891393837785, -430.69677910555936, -458.7185580034956, -405.40185051545484]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2581815728187275,0.12118799448577544,1.2691254210644556
-373.7497420190867,-415.1994308524322,-391.0523484315696,1000.0,1,1000,1000,False,4000,4,4,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-49-23,1587480563,4.0100624561309814,14.995212316513062,3951,ip-172-31-21-251,172.31.21.251,14.995212316513062,4000,4,0,00010,"10_learning_starts=10003,use_pytorch=True","[-379.99813157706575, -373.7497420190867, -395.26208927769375, -415.1994308524322]","[1000, 1000, 1000, 1000]",0.26448296506203284,0.452298797966427,1.2394832452805176,[{}],2000,0,4000,2.181,0.0,0.0,0.002,0.0,0.0,91.58666666666664,9.496666666666666,-229.5707904087133,-503.81754511731094,-368.6724028583796,1000.0,10,"[-356.2723166469402, -329.1412245568467, -317.74408997256467, -379.9435683045269, -390.87124162075077, -229.5707904087133, -368.64490239999236, -410.1170227307079, -503.81754511731094, -400.6013268254418]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.25951041301749134,0.1217920909341921,1.2743026684952992
-373.7497420190867,-429.8289048909163,-398.807659723439,1000.0,1,1000,1000,False,5000,5,5,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-49-44,1587480584,3.9625613689422607,18.957773685455322,3951,ip-172-31-21-251,172.31.21.251,18.957773685455322,5000,5,0,00010,"10_learning_starts=10003,use_pytorch=True","[-429.8289048909163, -373.7497420190867, -395.26208927769375, -415.1994308524322, -379.99813157706575]","[1000, 1000, 1000, 1000, 1000]",0.26839879725379434,0.45996152279349384,1.259019376758151,[{}],2500,0,5000,2.707,0.0,0.0,0.003,0.0,0.0,91.50333333333333,9.5,-215.82573461089055,-505.0568554010559,-377.0446321477706,1000.0,10,"[-505.0568554010559, -344.4825740777218, -475.2733074873162, -390.45867660964115, -389.4447267980242, -396.05509905914914, -320.5046808561299, -384.3106679994766, -349.0339985783001, -215.82573461089055]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2602640265157343,0.12232698404045834,1.2756360034695058
-367.61645145019094,-429.8289048909163,-397.5810016096598,1000.0,1,1000,1000,False,6000,6,6,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-50-05,1587480605,3.827449321746826,22.78522300720215,3951,ip-172-31-21-251,172.31.21.251,22.78522300720215,6000,6,0,00010,"10_learning_starts=10003,use_pytorch=True","[-367.61645145019094, -395.26208927769375, -415.1994308524322, -379.99813157706575, -429.8289048909163]","[1000, 1000, 1000, 1000, 1000]",0.27679906543566146,0.47785211909441416,1.3034433383766149,[{}],3000,0,6000,2.606,0.0,0.0,0.003,0.0,0.0,91.58275862068967,9.5,-312.91039780381215,-484.1803786802929,-387.43882549661976,1000.0,10,"[-484.1803786802929, -415.10824453207584, -401.682694059081, -411.4304212777118, -338.652618334012, -356.10834701194517, -431.71966637762193, -312.91039780381215, -317.17705563819703, -405.4184312514476]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26011112934291264,0.12234039253871525,1.2716637939431763
-367.61645145019094,-450.2806555266685,-408.5847148594547,1000.0,1,1000,1000,False,7000,7,7,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-50-25,1587480625,3.426856517791748,26.212079524993896,3951,ip-172-31-21-251,172.31.21.251,26.212079524993896,7000,7,0,00010,"10_learning_starts=10003,use_pytorch=True","[-450.2806555266685, -415.1994308524322, -379.99813157706575, -429.8289048909163, -367.61645145019094]","[1000, 1000, 1000, 1000, 1000]",0.28061661959523265,0.4852189631737199,1.3217461644386013,[{}],3500,0,7000,2.496,0.0,0.0,0.002,0.0,0.0,91.54999999999997,9.596428571428572,-224.083403833694,-499.2694149759726,-384.1695186626256,1000.0,10,"[-457.7921801509784, -311.89339372370745, -452.59351049133477, -499.2694149759726, -420.8936307373849, -417.434449890538, -425.1304989570048, -224.083403833694, -357.2748601317915, -275.329843733849]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26071057149548915,0.12245409281018363,1.270503323837099
-367.61645145019094,-477.0641696674777,-420.9576626224639,1000.0,1,1000,1000,False,8000,8,8,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-50-45,1587480645,3.853600263595581,30.065679788589478,3951,ip-172-31-21-251,172.31.21.251,30.065679788589478,8000,8,0,00010,"10_learning_starts=10003,use_pytorch=True","[-477.0641696674777, -379.99813157706575, -429.8289048909163, -367.61645145019094, -450.2806555266685]","[1000, 1000, 1000, 1000, 1000]",0.2825612369259124,0.4893804889496988,1.3294486857927192,[{}],4000,0,8000,2.71,0.0,0.0,0.003,0.0,0.0,91.57931034482759,9.600000000000001,-290.7392253151261,-490.28126138570775,-385.053908153818,1000.0,10,"[-382.78818715784297, -290.7392253151261, -311.4398210589292, -421.40547621386753, -478.29180570114875, -345.24772361668937, -367.8601224142051, -345.0504673751391, -417.43499129952386, -490.28126138570775]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26134298398517636,0.12284746688717081,1.2724284352312218
-367.12483497731546,-477.0641696674777,-418.3830033025139,1000.0,1,1000,1000,False,9000,9,9,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-51-06,1587480666,3.939028263092041,34.00470805168152,3951,ip-172-31-21-251,172.31.21.251,34.00470805168152,9000,9,0,00010,"10_learning_starts=10003,use_pytorch=True","[-367.12483497731546, -429.8289048909163, -367.61645145019094, -450.2806555266685, -477.0641696674777]","[1000, 1000, 1000, 1000, 1000]",0.28332949744622116,0.4914399227660569,1.3320637256955883,[{}],4500,0,9000,2.794,0.0,0.0,0.003,0.0,0.0,91.51000000000002,9.600000000000001,-272.77097314292064,-492.49703938761616,-389.58414100286075,1000.0,10,"[-382.86815766436746, -408.3968438434022, -452.3396262261872, -387.41294154685875, -272.77097314292064, -492.49703938761616, -376.2282838280073, -343.12740128772583, -368.2609795871982, -411.9391635143234]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26083287924557597,0.12265207650901182,1.2669155496254034
-367.12483497731546,-477.0641696674777,-408.3065362872311,1000.0,1,1000,1000,False,10000,10,10,f0cc3dddd98340d7a862d66e48c2fafc,2020-04-21_14-51-25,1587480685,3.5785727500915527,37.58328080177307,3951,ip-172-31-21-251,172.31.21.251,37.58328080177307,10000,10,0,00010,"10_learning_starts=10003,use_pytorch=True","[-379.4465698145029, -367.61645145019094, -450.2806555266685, -477.0641696674777, -367.12483497731546]","[1000, 1000, 1000, 1000, 1000]",0.2830850257524881,0.49195984156143774,1.3297029000711578,[{}],5000,0,10000,3.611,0.0,0.0,0.002,0.0,0.0,91.52499999999998,9.682142857142853,-361.92811832665086,-461.55884646535725,-411.3791184311658,1000.0,10,"[-445.45706414576006, -413.95387869596476, -379.3768296303845, -393.5834753689203, -361.92811832665086, -414.10927437806214, -461.55884646535725, -434.7215275579243, -390.4735551243174, -418.628614618317]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2629276495015812,0.12412388893765483,1.2762650822550305
