episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-354.68504343728347,-354.68504343728347,-354.68504343728347,1000.0,1,1000,1000,False,1000,1,1,300727b6b46648398404414b35e10d39,2020-04-21_14-48-24,1587480504,3.6231117248535156,3.6231117248535156,3950,ip-172-31-21-251,172.31.21.251,3.6231117248535156,1000,1,0,00011,"11_learning_starts=10004,use_pytorch=True",[-354.68504343728347],[1000],0.256504093135868,0.43037840417334133,1.1735915184973718,[{}],500,0,1000,2.217,0.0,0.0,0.003,0.0,0.0,86.69999999999999,8.149999999999999,-286.2264333195906,-559.3780395541095,-425.5501561284106,1000.0,10,"[-286.2264333195906, -521.7366029951263, -298.2688283907693, -559.3780395541095, -315.62617171916423, -497.4189865130099, -417.46499156826223, -389.39122300313517, -432.92057914195465, -537.0697050789848]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2577906310015971,0.11956454539177433,1.2691218356420584
-354.68504343728347,-403.3127624622727,-378.9989029497781,1000.0,1,1000,1000,False,2000,2,2,300727b6b46648398404414b35e10d39,2020-04-21_14-48-44,1587480524,3.5916922092437744,7.21480393409729,3950,ip-172-31-21-251,172.31.21.251,7.21480393409729,2000,2,0,00011,"11_learning_starts=10004,use_pytorch=True","[-403.3127624622727, -354.68504343728347]","[1000, 1000]",0.262266283917948,0.44135376920572955,1.2019125954381351,[{}],1000,0,2000,2.435,0.0,0.0,0.003,0.0,0.0,91.28214285714286,9.303571428571429,-218.38117828371747,-720.8238410504973,-376.16591605773647,1000.0,10,"[-720.8238410504973, -292.6702188231876, -316.39946828460177, -366.1161313233337, -296.3853610352639, -484.795439380308, -344.76091952867006, -275.621513559843, -445.7050893079417, -218.38117828371747]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26224215122099126,0.12181760144170524,1.2768666319033901
-354.68504343728347,-457.1256146434902,-405.04114018101546,1000.0,1,1000,1000,False,3000,3,3,300727b6b46648398404414b35e10d39,2020-04-21_14-49-05,1587480545,3.841865301132202,11.056669235229492,3950,ip-172-31-21-251,172.31.21.251,11.056669235229492,3000,3,0,00011,"11_learning_starts=10004,use_pytorch=True","[-457.1256146434902, -354.68504343728347, -403.3127624622727]","[1000, 1000, 1000]",0.2662736758398878,0.45056341016522167,1.2255279091717945,[{}],1500,0,3000,2.815,0.0,0.0,0.003,0.0,0.0,91.50666666666663,9.406666666666668,-262.34659896414905,-473.1751278431002,-378.77920137532686,1000.0,10,"[-452.2340981134847, -366.3699722552984, -287.04960412012474, -353.4659931022356, -451.9152237983991, -415.3820148527001, -473.1751278431002, -346.9896991817251, -262.34659896414905, -378.86368152205193]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26414312603815304,0.12346808224780366,1.2746513821650283
-300.1594478964878,-457.1256146434902,-378.82071710988356,1000.0,1,1000,1000,False,4000,4,4,300727b6b46648398404414b35e10d39,2020-04-21_14-49-25,1587480565,3.9194164276123047,14.976085662841797,3950,ip-172-31-21-251,172.31.21.251,14.976085662841797,4000,4,0,00011,"11_learning_starts=10004,use_pytorch=True","[-300.1594478964878, -354.68504343728347, -403.3127624622727, -457.1256146434902]","[1000, 1000, 1000, 1000]",0.2695666528390239,0.45816289877802285,1.244205381661786,[{}],2000,0,4000,2.597,0.0,0.0,0.003,0.0,0.0,91.58620689655173,9.5,-272.67393309726594,-640.5054459078603,-471.6669721205535,1000.0,10,"[-467.5433239830998, -490.68801298540427, -365.6874733698882, -408.63210711636003, -490.7717474221116, -616.5104996230818, -272.67393309726594, -403.6744108984372, -640.5054459078603, -559.982766802026]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.266544383953954,0.12461980168025096,1.2818627207163753
-289.4849524594228,-457.1256146434902,-360.95356417979144,1000.0,1,1000,1000,False,5000,5,5,300727b6b46648398404414b35e10d39,2020-04-21_14-49-47,1587480587,3.882486581802368,18.858572244644165,3950,ip-172-31-21-251,172.31.21.251,18.858572244644165,5000,5,0,00011,"11_learning_starts=10004,use_pytorch=True","[-289.4849524594228, -354.68504343728347, -403.3127624622727, -457.1256146434902, -300.1594478964878]","[1000, 1000, 1000, 1000, 1000]",0.2722270809905446,0.46390108649184925,1.2582995703729776,[{}],2500,0,5000,2.542,0.0,0.0,0.003,0.0,0.0,91.50333333333333,9.5,-240.86632488304576,-635.2933638684628,-398.61442968191966,1000.0,10,"[-302.7728468492888, -330.64135425056577, -437.2501096205675, -635.2933638684628, -456.92567560815445, -262.3654538923432, -240.86632488304576, -555.9923293604791, -362.92650592180127, -401.1103325644877]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2675326485001673,0.12496049345828268,1.2846187253882486
-289.4849524594228,-663.7795160496344,-422.7724587022616,1000.0,1,1000,1000,False,6000,6,6,300727b6b46648398404414b35e10d39,2020-04-21_14-50-08,1587480608,4.010440826416016,22.86901307106018,3950,ip-172-31-21-251,172.31.21.251,22.86901307106018,6000,6,0,00011,"11_learning_starts=10004,use_pytorch=True","[-663.7795160496344, -403.3127624622727, -457.1256146434902, -300.1594478964878, -289.4849524594228]","[1000, 1000, 1000, 1000, 1000]",0.2781993395057467,0.47693800739905373,1.289288876386968,[{}],3000,0,6000,2.649,0.0,0.0,0.003,0.0,0.0,91.55666666666664,9.510000000000002,-312.44170004015535,-587.1149067464896,-427.76601728307395,1000.0,10,"[-395.04964877815144, -312.44170004015535, -444.602214427737, -409.2549920413463, -379.68376477104886, -513.6544505903022, -484.9596788418366, -587.1149067464896, -371.3744591023787, -379.524357491293]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2690853610602767,0.1258486197496684,1.2888735376698395
-275.29735637640607,-663.7795160496344,-397.16937748508826,1000.0,1,1000,1000,False,7000,7,7,300727b6b46648398404414b35e10d39,2020-04-21_14-50-29,1587480629,3.8040730953216553,26.673086166381836,3950,ip-172-31-21-251,172.31.21.251,26.673086166381836,7000,7,0,00011,"11_learning_starts=10004,use_pytorch=True","[-275.29735637640607, -457.1256146434902, -300.1594478964878, -289.4849524594228, -663.7795160496344]","[1000, 1000, 1000, 1000, 1000]",0.28194830041525076,0.48593709480222297,1.3091710851763385,[{}],3500,0,7000,2.583,0.0,0.0,0.003,0.0,0.0,91.54333333333334,9.600000000000001,-285.2215127499462,-420.79386096989936,-352.97632551347806,1000.0,10,"[-357.5942576368235, -348.2196202810298, -412.18197979970614, -417.0435233396725, -285.2215127499462, -300.41096795402547, -420.79386096989936, -303.20205712571743, -314.7094247296053, -370.38605054835466]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26795566460910564,0.12531612732092284,1.2819984875699983
-275.29735637640607,-663.7795160496344,-409.21018595097814,1000.0,1,1000,1000,False,8000,8,8,300727b6b46648398404414b35e10d39,2020-04-21_14-50-49,1587480649,3.7338500022888184,30.406936168670654,3950,ip-172-31-21-251,172.31.21.251,30.406936168670654,8000,8,0,00011,"11_learning_starts=10004,use_pytorch=True","[-517.3296569729399, -300.1594478964878, -289.4849524594228, -663.7795160496344, -275.29735637640607]","[1000, 1000, 1000, 1000, 1000]",0.28460575175389224,0.4914601283430313,1.320748149601473,[{}],4000,0,8000,2.659,0.0,0.0,0.003,0.0,0.0,91.5758620689655,9.600000000000001,-242.91299629299084,-582.9595759745214,-383.90299426641934,1000.0,10,"[-365.4400274713955, -356.83180605159134, -427.2070201859444, -323.1149258748992, -582.9595759745214, -463.97557285571577, -338.0217862248457, -242.91299629299084, -307.3102233297653, -431.2560084025239]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2677819813518658,0.12516894043508905,1.279351258313357
-275.29735637640607,-663.7795160496344,-418.5190112358188,1000.0,1,1000,1000,False,9000,9,9,300727b6b46648398404414b35e10d39,2020-04-21_14-51-09,1587480669,3.8594837188720703,34.266419887542725,3950,ip-172-31-21-251,172.31.21.251,34.266419887542725,9000,9,0,00011,"11_learning_starts=10004,use_pytorch=True","[-346.7035743206911, -289.4849524594228, -663.7795160496344, -275.29735637640607, -517.3296569729399]","[1000, 1000, 1000, 1000, 1000]",0.28640360610283866,0.49496988039345224,1.3272048086260213,[{}],4500,0,9000,2.623,0.0,0.0,0.003,0.0,0.0,91.55172413793103,9.600000000000001,-236.7816892548734,-626.7729219035929,-356.784603022547,1000.0,10,"[-293.09826028929325, -333.4104994754932, -380.4099281031182, -395.2111250705415, -250.6880619340501, -352.9963506393685, -291.84316346323277, -626.7729219035929, -236.7816892548734, -406.63403009190574]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26807324785472086,0.12538177201676923,1.280574618129616
-275.29735637640607,-663.7795160496344,-476.0368937406316,1000.0,1,1000,1000,False,10000,10,10,300727b6b46648398404414b35e10d39,2020-04-21_14-51-30,1587480690,3.9693329334259033,38.23575282096863,3950,ip-172-31-21-251,172.31.21.251,38.23575282096863,10000,10,0,00011,"11_learning_starts=10004,use_pytorch=True","[-577.0743649834865, -663.7795160496344, -275.29735637640607, -517.3296569729399, -346.7035743206911]","[1000, 1000, 1000, 1000, 1000]",0.2881475849075513,0.49830354004753213,1.3324988937813027,[{}],5000,0,10000,3.177,0.0,0.0,0.002,0.0,0.0,91.55,9.699999999999998,-256.39708529319995,-628.9783698402401,-393.0123384020582,1000.0,10,"[-331.34463468793433, -295.6016975722472, -482.2207890878122, -425.46960734075543, -331.7606261073911, -628.9783698402401, -258.79751559831794, -596.2486933418428, -323.30436515084153, -256.39708529319995]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27078308881141533,0.12633495119287702,1.290695360735144
-133.76054461509162,-577.0743649834865,-370.033099453723,1000.0,1,1000,1000,False,11000,11,11,300727b6b46648398404414b35e10d39,2020-04-21_14-53-24,1587480804,95.18479347229004,133.42054629325867,3950,ip-172-31-21-251,172.31.21.251,133.42054629325867,11000,11,0,00011,"11_learning_starts=10004,use_pytorch=True","[-133.76054461509162, -275.29735637640607, -517.3296569729399, -346.7035743206911, -577.0743649834865]","[1000, 1000, 1000, 1000, 1000]",0.2908732399652247,0.5031667912213411,1.342256040276413,[{}],5500,254976,11000,3.391,25.699,70.74,0.005,3618.887,256.0,91.1975155279503,9.96583850931677,-177.4920608111871,-362.98683211899396,-255.28954481269207,1000.0,10,"[-228.9427548718642, -177.4920608111871, -227.7994475780328, -204.88466205569253, -208.5476940979065, -362.98683211899396, -334.6443960482334, -308.2792329227857, -239.8801219360198, -259.4382456862044]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27163474273966004,0.1268012765470387,1.2927236837124447
-133.76054461509162,-577.0743649834865,-361.2615421756144,1000.0,1,1000,1000,False,12000,12,12,300727b6b46648398404414b35e10d39,2020-04-21_14-55-17,1587480917,96.2594792842865,229.68002557754517,3950,ip-172-31-21-251,172.31.21.251,229.68002557754517,12000,12,0,00011,"11_learning_starts=10004,use_pytorch=True","[-231.43956998586282, -517.3296569729399, -346.7035743206911, -577.0743649834865, -133.76054461509162]","[1000, 1000, 1000, 1000, 1000]",0.29467549058821035,0.5084918270054332,1.3591555498266576,[{}],6000,510976,12000,3.419,23.072,68.864,0.004,3717.466,256.0,91.18385093167701,10.085093167701862,-86.38349604742461,-371.6853690948551,-204.2790377731846,1000.0,10,"[-115.5592359641827, -303.8140297289235, -86.38349604742461, -104.59009600974622, -275.40237688602343, -180.8109623575065, -158.81980693435392, -188.07112176856867, -257.6538829402613, -371.6853690948551]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27300815169178916,0.12749316742995953,1.2974398695285427
-133.76054461509162,-577.0743649834865,-298.72566814027726,1000.0,1,1000,1000,False,13000,13,13,300727b6b46648398404414b35e10d39,2020-04-21_14-57-11,1587481031,96.36270570755005,326.0427312850952,3950,ip-172-31-21-251,172.31.21.251,326.0427312850952,13000,13,0,00011,"11_learning_starts=10004,use_pytorch=True","[-204.6502867962544, -346.7035743206911, -577.0743649834865, -133.76054461509162, -231.43956998586282]","[1000, 1000, 1000, 1000, 1000]",0.29905848309229716,0.5150697262888687,1.3811756180273427,[{}],6500,766976,13000,2.872,21.395,68.338,0.004,3746.06,256.0,91.27530864197531,10.1,-159.93836901978167,-397.64919625515415,-257.0959197359615,1000.0,10,"[-268.7423447509521, -227.38009544198664, -226.27202609216815, -233.5012949666053, -159.93836901978167, -240.0989983943666, -397.64919625515415, -272.74674743775677, -288.5805705814761, -256.0495544193674]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2727340461116561,0.12728230061776344,1.2977603431822735
