episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-229.14656973240412,-229.14656973240412,-229.14656973240412,1000.0,1,1000,1000,False,1000,1,1,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-48-29,1587480509,3.084023952484131,3.084023952484131,3958,ip-172-31-21-251,172.31.21.251,3.084023952484131,1000,1,0,00006,"6_learning_starts=10006,use_pytorch=False",[-229.14656973240412],[1000],0.23819040227960517,0.3481475742427738,1.198914620307061,[{}],500,0,1000,2.31,0.0,0.0,0.002,0.0,0.0,90.41999999999999,9.179999999999998,-61.35178411012828,-377.432266837278,-249.12277082416796,1000.0,10,"[-61.35178411012828, -373.04666048135255, -193.7794382625598, -377.432266837278, -219.76239395221006, -307.74718176782835, -237.43834279730603, -275.1312581026745, -232.66486324377448, -212.87351868656762]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24581136685373212,0.11743677698270212,1.0789989078179585
-229.14656973240412,-272.33312401356903,-250.73984687298656,1000.0,1,1000,1000,False,2000,2,2,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-48-49,1587480529,2.834481716156006,5.918505668640137,3958,ip-172-31-21-251,172.31.21.251,5.918505668640137,2000,2,0,00006,"6_learning_starts=10006,use_pytorch=False","[-272.33312401356903, -229.14656973240412]","[1000, 1000]",0.24722237023652865,0.36557508094240243,1.2001115752489186,[{}],1000,0,2000,2.55,0.0,0.0,0.003,0.0,0.0,91.42857142857143,9.392857142857144,-105.54604766348008,-438.49461541686543,-286.53278670049116,1000.0,10,"[-354.27370328182946, -320.3861138994702, -280.67367442137, -368.80746841758645, -438.49461541686543, -274.5428234512543, -105.54604766348008, -244.40245397406002, -132.90293685536537, -345.29802962363055]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.251650756600201,0.11902603827251874,1.1032309378870049
-170.50536534973187,-272.33312401356903,-223.99501969856837,1000.0,1,1000,1000,False,3000,3,3,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-49-07,1587480547,2.8170053958892822,8.735511064529419,3958,ip-172-31-21-251,172.31.21.251,8.735511064529419,3000,3,0,00006,"6_learning_starts=10006,use_pytorch=False","[-170.50536534973187, -229.14656973240412, -272.33312401356903]","[1000, 1000, 1000]",0.253378928105912,0.37464352992541067,1.1994100379328951,[{}],1500,0,3000,2.517,0.0,0.0,0.003,0.0,0.0,91.5076923076923,9.419230769230769,-193.21768100363892,-442.55240892654655,-314.8258337462727,1000.0,10,"[-212.05270210586286, -346.8997762353917, -361.11327254717844, -358.89843704039373, -394.33525218821626, -193.21768100363892, -276.7710960566614, -288.37656075898093, -442.55240892654655, -274.04115059985673]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24996290667518523,0.11715692367749524,1.0963457313594307
-143.52653425615833,-272.33312401356903,-203.87789833796583,1000.0,1,1000,1000,False,4000,4,4,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-49-24,1587480564,3.0555315017700195,11.791042566299438,3958,ip-172-31-21-251,172.31.21.251,11.791042566299438,4000,4,0,00006,"6_learning_starts=10006,use_pytorch=False","[-143.52653425615833, -229.14656973240412, -272.33312401356903, -170.50536534973187]","[1000, 1000, 1000, 1000]",0.2584606858200664,0.3828533316732921,1.2041120269939194,[{}],2000,0,4000,2.432,0.0,0.0,0.003,0.0,0.0,91.55199999999999,9.5,-234.70349635619462,-410.8442458224231,-306.46125863581426,1000.0,10,"[-333.12081922814104, -392.5002977575591, -296.50026973316193, -266.52103182274595, -410.8442458224231, -250.3524277688118, -234.70349635619462, -255.8523850879585, -263.01507701334646, -361.20253576780044]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24609896413165538,0.115120364130713,1.0773973230606215
-143.52653425615833,-272.33312401356903,-206.97494857925568,1000.0,1,1000,1000,False,5000,5,5,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-49-41,1587480581,2.51117205619812,14.302214622497559,3958,ip-172-31-21-251,172.31.21.251,14.302214622497559,5000,5,0,00006,"6_learning_starts=10006,use_pytorch=False","[-219.3631495444151, -229.14656973240412, -272.33312401356903, -170.50536534973187, -143.52653425615833]","[1000, 1000, 1000, 1000, 1000]",0.2606689300025134,0.3862303884862649,1.2006141831263109,[{}],2500,0,5000,2.043,0.0,0.0,0.002,0.0,0.0,91.49565217391304,9.5,-197.16597485809618,-434.23511412143006,-286.97200538775894,1000.0,10,"[-434.23511412143006, -279.4164406559665, -225.1660807122176, -317.5233605148729, -276.64161763724786, -197.16597485809618, -236.20353768735922, -276.3599228575844, -327.1204156000734, -299.8875892327416]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24630783038178347,0.11517252889347732,1.0789879817790609
-143.52653425615833,-272.33312401356903,-203.31737413945382,1000.0,1,1000,1000,False,6000,6,6,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-49-58,1587480598,2.595668315887451,16.89788293838501,3958,ip-172-31-21-251,172.31.21.251,16.89788293838501,6000,6,0,00006,"6_learning_starts=10006,use_pytorch=False","[-210.85869753339475, -272.33312401356903, -170.50536534973187, -143.52653425615833, -219.3631495444151]","[1000, 1000, 1000, 1000, 1000]",0.2665553239322904,0.3958420317453717,1.1953580889107829,[{}],3000,0,6000,2.474,0.0,0.0,0.003,0.0,0.0,91.57916666666667,9.5,-214.51456767873228,-460.5036103937352,-333.6597753643995,1000.0,10,"[-321.8125046941833, -214.51456767873228, -460.5036103937352, -348.5763312979338, -287.93687594397176, -260.62510659562685, -407.94924074623486, -402.95098728549493, -244.22657376709353, -387.50195524098854]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2470530183495558,0.11561882122165232,1.0811232465125826
-143.52653425615833,-372.77581237708995,-223.405911812158,1000.0,1,1000,1000,False,7000,7,7,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-50-15,1587480615,2.8216304779052734,19.719513416290283,3958,ip-172-31-21-251,172.31.21.251,19.719513416290283,7000,7,0,00006,"6_learning_starts=10006,use_pytorch=False","[-372.77581237708995, -170.50536534973187, -143.52653425615833, -219.3631495444151, -210.85869753339475]","[1000, 1000, 1000, 1000, 1000]",0.2693676757190232,0.3993505790762476,1.1901464592389328,[{}],3500,0,7000,1.992,0.0,0.0,0.002,0.0,0.0,91.552,9.556000000000001,-176.1484687599682,-399.2548416025835,-320.06700086701295,1000.0,10,"[-365.37057972651655, -398.0939632518674, -304.9399192771284, -288.90215366748174, -361.00772220629096, -286.1585144823004, -258.44045895809427, -399.2548416025835, -362.3533867378977, -176.1484687599682]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2471708103264453,0.11560691802651982,1.0809097744254026
-143.52653425615833,-417.67838108614984,-272.8405149594416,1000.0,1,1000,1000,False,8000,8,8,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-50-33,1587480633,2.754856824874878,22.47437024116516,3958,ip-172-31-21-251,172.31.21.251,22.47437024116516,8000,8,0,00006,"6_learning_starts=10006,use_pytorch=False","[-417.67838108614984, -143.52653425615833, -219.3631495444151, -210.85869753339475, -372.77581237708995]","[1000, 1000, 1000, 1000, 1000]",0.2704399543459287,0.4011353803857737,1.1853242476044443,[{}],4000,0,8000,2.509,0.0,0.0,0.003,0.0,0.0,91.56800000000001,9.6,-239.46039216433903,-414.9373351340266,-323.9968270824087,1000.0,10,"[-402.67886323605205, -247.59159320535747, -388.88401550847436, -414.9373351340266, -312.13600508051, -243.91672666551105, -276.4620422138416, -369.5940308425503, -239.46039216433903, -344.30726677342403]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24833375934576943,0.11629657809971956,1.0839895201278325
-210.85869753339475,-417.67838108614984,-312.25935232264976,1000.0,1,1000,1000,False,9000,9,9,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-50-50,1587480650,2.6955602169036865,25.169930458068848,3958,ip-172-31-21-251,172.31.21.251,25.169930458068848,9000,9,0,00006,"6_learning_starts=10006,use_pytorch=False","[-340.62072107219916, -219.3631495444151, -210.85869753339475, -372.77581237708995, -417.67838108614984]","[1000, 1000, 1000, 1000, 1000]",0.2698105674795573,0.3998650876430519,1.1753378809088613,[{}],4500,0,9000,2.128,0.0,0.0,0.003,0.0,0.0,91.51199999999999,9.6,-176.22532455445,-364.1205270527016,-263.7180607083427,1000.0,10,"[-176.22532455445, -251.46137134980927, -251.36110388007387, -354.26764109286665, -312.8183729653269, -176.893122765473, -218.00183012596847, -261.4884944442949, -364.1205270527016, -270.54281885246246]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24862128948299364,0.11658880443337552,1.085828231987167
-210.85869753339475,-417.67838108614984,-319.12809934434597,1000.0,1,1000,1000,False,10000,10,10,7dfc7b17879f4d40bfdefb03c8d671f9,2020-04-21_14-51-08,1587480668,2.864560604095459,28.034491062164307,3958,ip-172-31-21-251,172.31.21.251,28.034491062164307,10000,10,0,00006,"6_learning_starts=10006,use_pytorch=False","[-253.7068846528961, -210.85869753339475, -372.77581237708995, -417.67838108614984, -340.62072107219916]","[1000, 1000, 1000, 1000, 1000]",0.270174292879771,0.40049806680116673,1.1722420012687134,[{}],5000,0,10000,2.567,0.0,0.0,0.003,0.0,0.0,91.536,9.6,-208.6712151444189,-375.79475678948785,-286.6519193767592,1000.0,10,"[-230.30650836958262, -328.46137548568964, -258.29018499535596, -375.79475678948785, -240.62572404016834, -332.0308539630515, -292.5887217307601, -208.6712151444189, -268.8815076514427, -330.86834559763474]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.24925080434406835,0.11681951289999429,1.0885229120349789
