episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-587.3875275258924,-587.3875275258924,-587.3875275258924,1000.0,1,1000,1000,False,1000,1,1,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-48-22,1587480502,3.6568799018859863,3.6568799018859863,3957,ip-172-31-21-251,172.31.21.251,3.6568799018859863,1000,1,0,00007,"7_learning_starts=10000,use_pytorch=True",[-587.3875275258924],[1000],0.2613329625391698,0.43443818906923154,1.2118225688343638,[{}],500,0,1000,1.727,0.0,0.0,0.002,0.0,0.0,78.81666666666666,7.766666666666666,-549.4215305263887,-750.0869915840879,-615.596322208203,1000.0,10,"[-750.0869915840879, -564.1594835464145, -575.0975293274091, -656.5785041158056, -565.3879237667543, -575.963885438478, -641.0842582117087, -620.7456622879148, -549.4215305263887, -657.4374532770678]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2568758627066981,0.11666931279741899,1.2270625669137798
-531.5717564670334,-587.3875275258924,-559.479641996463,1000.0,1,1000,1000,False,2000,2,2,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-48-42,1587480522,3.3594605922698975,7.016340494155884,3957,ip-172-31-21-251,172.31.21.251,7.016340494155884,2000,2,0,00007,"7_learning_starts=10000,use_pytorch=True","[-531.5717564670334, -587.3875275258924]","[1000, 1000]",0.2623353756355733,0.4365522723365839,1.2100656319565468,[{}],1000,0,2000,2.694,0.0,0.0,0.003,0.0,0.0,90.97777777777777,9.207407407407409,-362.5412871531563,-827.3615666772939,-584.1267602195965,1000.0,10,"[-654.2013004131612, -827.3615666772939, -650.4350694744293, -492.32225763759067, -404.12246936705606, -764.0102037168489, -395.5958998368716, -636.05252936222, -654.6250185573361, -362.5412871531563]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2614430359414647,0.1186567344377532,1.2493011361509256
-441.2427767957642,-587.3875275258924,-520.0673535962301,1000.0,1,1000,1000,False,3000,3,3,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-49-02,1587480542,3.844435453414917,10.8607759475708,3957,ip-172-31-21-251,172.31.21.251,10.8607759475708,3000,3,0,00007,"7_learning_starts=10000,use_pytorch=True","[-441.2427767957642, -587.3875275258924, -531.5717564670334]","[1000, 1000, 1000]",0.2666547358770779,0.44567730161984764,1.2268969629073319,[{}],1500,0,3000,2.693,0.0,0.0,0.004,0.0,0.0,91.46666666666667,9.4,-403.6563939446551,-758.5612997676385,-552.0283290044373,1000.0,10,"[-624.3294510703424, -619.2642241846537, -504.4357291038344, -758.5612997676385, -403.6563939446551, -417.7873336694351, -520.649797444977, -498.73448670056024, -670.5432596849926, -502.32131447328334]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2646256691574839,0.12071796792462877,1.2650257118351997
-441.2427767957642,-591.6860788616839,-537.9720349125935,1000.0,1,1000,1000,False,4000,4,4,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-49-23,1587480563,3.77962327003479,14.64039921760559,3957,ip-172-31-21-251,172.31.21.251,14.64039921760559,4000,4,0,00007,"7_learning_starts=10000,use_pytorch=True","[-591.6860788616839, -587.3875275258924, -531.5717564670334, -441.2427767957642]","[1000, 1000, 1000, 1000]",0.2699589645402841,0.45174676078563447,1.2406177058013461,[{}],2000,0,4000,2.611,0.0,0.0,0.003,0.0,0.0,91.6103448275862,9.49655172413793,-455.3957195425698,-760.5019590727478,-609.986241759762,1000.0,10,"[-617.3616887207518, -545.1105420584837, -585.2979082528883, -607.2481384820422, -625.307161833394, -640.0915151398667, -760.5019590727478, -647.2955206308454, -455.3957195425698, -616.2522638640307]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2641922169776413,0.12077679291614511,1.2575193976244954
-381.5393081182826,-591.6860788616839,-506.6854895537314,1000.0,1,1000,1000,False,5000,5,5,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-49-43,1587480583,3.9006028175354004,18.54100203514099,3957,ip-172-31-21-251,172.31.21.251,18.54100203514099,5000,5,0,00007,"7_learning_starts=10000,use_pytorch=True","[-381.5393081182826, -587.3875275258924, -531.5717564670334, -441.2427767957642, -591.6860788616839]","[1000, 1000, 1000, 1000, 1000]",0.27341783016690224,0.45668208742578037,1.2537569049976687,[{}],2500,0,5000,2.625,0.0,0.0,0.003,0.0,0.0,91.49310344827589,9.5,-381.51261893293895,-685.5205462810543,-552.1290707179338,1000.0,10,"[-635.9796515658716, -659.1659464219548, -472.1546349245958, -627.1955008823508, -586.4626025521429, -464.96879396915097, -464.080286641191, -685.5205462810543, -544.2501250080868, -381.51261893293895]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26571177255654105,0.1218964706856986,1.2653811579072374
-381.5393081182826,-591.6860788616839,-493.9640468976636,1000.0,1,1000,1000,False,6000,6,6,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-50-04,1587480604,3.877763032913208,22.4187650680542,3957,ip-172-31-21-251,172.31.21.251,22.4187650680542,6000,6,0,00007,"7_learning_starts=10000,use_pytorch=True","[-523.7803142455541, -531.5717564670334, -441.2427767957642, -591.6860788616839, -381.5393081182826]","[1000, 1000, 1000, 1000, 1000]",0.27898395682592997,0.4662047728262942,1.2745524382359013,[{}],3000,0,6000,3.1,0.0,0.0,0.003,0.0,0.0,91.57666666666667,9.5,-407.05158039606795,-699.3270744397641,-524.1630928368381,1000.0,10,"[-613.7343845370237, -480.9037943032484, -472.3905629011328, -518.4907839530757, -564.9087991262671, -426.2290914758288, -699.3270744397641, -481.13744107923844, -407.05158039606795, -577.4574161567343]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2656633564914116,0.12205268968707497,1.264997622233284
-381.5393081182826,-591.6860788616839,-496.86094342191353,1000.0,1,1000,1000,False,7000,7,7,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-50-25,1587480625,3.845367908477783,26.264132976531982,3957,ip-172-31-21-251,172.31.21.251,26.264132976531982,7000,7,0,00007,"7_learning_starts=10000,use_pytorch=True","[-546.0562390882827, -441.2427767957642, -591.6860788616839, -381.5393081182826, -523.7803142455541]","[1000, 1000, 1000, 1000, 1000]",0.28418465779186064,0.4755951325686481,1.2971156017966776,[{}],3500,0,7000,2.613,0.0,0.0,0.003,0.0,0.0,91.5551724137931,9.596551724137932,-532.5887972377404,-714.9033670064749,-606.8702151486286,1000.0,10,"[-627.3410796204233, -562.2408078237289, -644.1203869941487, -665.9418583501106, -654.7676682146401, -532.5887972377404, -563.7956184065338, -553.4495093600244, -714.9033670064749, -549.553058472462]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26596314385864345,0.12241954985752226,1.2650000000185282
-381.5393081182826,-591.6860788616839,-507.76171076266064,1000.0,1,1000,1000,False,8000,8,8,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-50-45,1587480645,3.6249561309814453,29.889089107513428,3957,ip-172-31-21-251,172.31.21.251,29.889089107513428,8000,8,0,00007,"7_learning_starts=10000,use_pytorch=True","[-495.7466134994997, -591.6860788616839, -381.5393081182826, -523.7803142455541, -546.0562390882827]","[1000, 1000, 1000, 1000, 1000]",0.28682263093215304,0.47961124503522967,1.3086292710370502,[{}],4000,0,8000,2.584,0.0,0.0,0.003,0.0,0.0,91.59310344827585,9.600000000000001,-326.43165945525675,-747.4863858557227,-593.128189566464,1000.0,10,"[-747.4863858557227, -576.9337018067172, -652.933784723127, -536.994371736605, -583.052654645427, -698.782264651754, -501.1929217618969, -665.2006753765894, -642.2734756515435, -326.43165945525675]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26656194018777624,0.12274332099317846,1.266394920214178
-381.5393081182826,-546.0562390882827,-491.4250786177971,1000.0,1,1000,1000,False,9000,9,9,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-51-05,1587480665,3.4505648612976074,33.339653968811035,3957,ip-172-31-21-251,172.31.21.251,33.339653968811035,9000,9,0,00007,"7_learning_starts=10000,use_pytorch=True","[-510.0029181373663, -381.5393081182826, -523.7803142455541, -546.0562390882827, -495.7466134994997]","[1000, 1000, 1000, 1000, 1000]",0.2881028127963594,0.48171754203095335,1.3141993418099223,[{}],4500,0,9000,2.136,0.0,0.0,0.002,0.0,0.0,91.53448275862068,9.600000000000001,-212.73944964323397,-744.03531698837,-538.8696347056595,1000.0,10,"[-480.81934342627557, -650.6174276215987, -555.3554611446881, -744.03531698837, -322.2073204592981, -539.4361488655813, -668.3580220127958, -699.8064478700898, -212.73944964323397, -515.3214090246621]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2663512914491041,0.12258793467663456,1.2634150103817205
-495.7466134994997,-624.6404147885627,-540.0452999518532,1000.0,1,1000,1000,False,10000,10,10,259a508435414ca1bcd38f90d13917a5,2020-04-21_14-51-25,1587480685,3.5981130599975586,36.937767028808594,3957,ip-172-31-21-251,172.31.21.251,36.937767028808594,10000,10,0,00007,"7_learning_starts=10000,use_pytorch=True","[-624.6404147885627, -523.7803142455541, -546.0562390882827, -495.7466134994997, -510.0029181373663]","[1000, 1000, 1000, 1000, 1000]",0.28785836677641935,0.48232757635941387,1.3142276968463547,[{}],5000,0,10000,2.348,0.0,0.0,0.004,0.0,0.0,91.5,9.678571428571427,-365.53014576608655,-654.3457210437545,-527.0072287117152,1000.0,10,"[-559.2086464855529, -365.53014576608655, -654.3457210437545, -549.9977263192526, -531.9047948280214, -503.1559367790842, -602.4519115783413, -502.96733661329654, -528.414713863041, -472.09535384072086]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2682754296572024,0.12364141562060331,1.2718614230788847
