episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
181.5188,35.0,34233,False,34233,,1,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-01-58,1587585718,21.5532648563385,21.5532648563385,91836,ip-172-31-19-219,172.31.19.219,21.5532648563385,34233,1,00000,0,525.23914,11.917935,0.18033652,1202,1202,35.4741935483871,13.538709677419357
189.93298,38.0,39391,False,73624,,2,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-01-59,1587585719,1.3421874046325684,22.89545226097107,91836,ip-172-31-19-219,172.31.19.219,22.89545226097107,73624,2,00000,0,542.18787,12.934851,0.12612689,1122,2324,55.75,15.1
189.93298,nan,43312,False,116936,,3,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-00,1587585720,1.4921271800994873,24.387579441070557,91836,ip-172-31-19-219,172.31.19.219,24.387579441070557,116936,3,00000,0,560.9136,13.783909,0.10169698,1000,3324,55.550000000000004,15.1
220.12059,50.0,57641,False,174577,,4,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-02,1587585722,1.9914872646331787,26.379066705703735,91836,ip-172-31-19-219,172.31.19.219,26.379066705703735,174577,4,00000,0,580.16583,12.10705,0.086415224,1214,4538,59.86666666666667,15.1
235.92209,50.75,52571,False,227148,,5,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-04,1587585724,1.8523805141448975,28.231447219848633,91836,ip-172-31-19-219,172.31.19.219,28.231447219848633,227148,5,00000,0,599.3022,14.04626,0.07649157,1038,5576,51.46666666666666,15.1
248.67883,54.0,52987,False,280135,,6,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-06,1587585726,1.9126603603363037,30.144107580184937,91836,ip-172-31-19-219,172.31.19.219,30.144107580184937,280135,6,00000,0,618.1285,15.111223,0.0692251,1010,6586,50.46666666666667,15.1
264.6331,62.25,66083,False,346218,,7,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-09,1587585729,2.452518939971924,32.59662652015686,91836,ip-172-31-19-219,172.31.19.219,32.59662652015686,346218,7,00000,0,636.8086,11.389974,0.062823474,1170,7756,63.03333333333333,15.1
285.73007,74.0,66936,False,413154,,8,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-11,1587585731,2.6353514194488525,35.23197793960571,91836,ip-172-31-19-219,172.31.19.219,35.23197793960571,413154,8,00000,0,654.97064,13.321838,0.058315635,1100,8856,48.6,15.125
303.6169,82.0,68563,False,481717,,9,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-14,1587585734,2.500171184539795,37.73214912414551,91836,ip-172-31-19-219,172.31.19.219,37.73214912414551,481717,9,00000,0,672.81573,13.214031,0.054583605,1088,9944,59.133333333333326,15.1
313.94342,73.33333333333333,67237,False,548954,,10,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-16,1587585736,2.5469841957092285,40.279133319854736,91836,ip-172-31-19-219,172.31.19.219,40.279133319854736,548954,10,00000,0,690.23645,13.454389,0.05147776,1028,10972,54.475,15.1
331.5964,93.0,67653,False,616607,,11,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-19,1587585739,2.4642539024353027,42.74338722229004,91836,ip-172-31-19-219,172.31.19.219,42.74338722229004,616607,11,00000,0,707.1033,12.75132,0.04865664,1028,12000,50.025,15.1
361.22565,88.25,82694,False,699301,,12,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-22,1587585742,2.992260456085205,45.735647678375244,91836,ip-172-31-19-219,172.31.19.219,45.735647678375244,699301,12,00000,0,723.4197,11.923561,0.046249848,1192,13192,61.075,15.125
390.38605,93.33333333333333,72536,False,771837,,13,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-24,1587585744,2.541325569152832,48.276973247528076,91836,ip-172-31-19-219,172.31.19.219,48.276973247528076,771837,13,00000,0,739.10925,13.44296,0.044450715,1002,14194,60.56666666666666,15.1
408.13916,94.0,73820,False,845657,,14,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-27,1587585747,2.7966480255126953,51.07362127304077,91836,ip-172-31-19-219,172.31.19.219,51.07362127304077,845657,14,00000,0,754.09705,14.265138,0.043000974,1004,15198,58.474999999999994,15.1
421.18915,79.0,90534,False,936191,,15,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-30,1587585750,3.1540560722351074,54.22767734527588,91836,ip-172-31-19-219,172.31.19.219,54.22767734527588,936191,15,00000,0,768.4253,12.927871,0.041419547,1176,16374,57.919999999999995,15.1
421.18915,nan,92513,False,1028704,,16,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-34,1587585754,3.318887233734131,57.54656457901001,91836,ip-172-31-19-219,172.31.19.219,57.54656457901001,1028704,16,00000,0,782.4745,10.933377,0.039687555,1176,17550,55.459999999999994,15.14
436.92422,85.5,92237,False,1120941,,17,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-37,1587585757,3.0582170486450195,60.60478162765503,91836,ip-172-31-19-219,172.31.19.219,60.60478162765503,1120941,17,00000,0,796.06824,11.354173,0.0383145,1160,18710,68.575,15.1
447.18378,85.5,95999,False,1216940,,18,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-40,1587585760,3.4055395126342773,64.0103211402893,91836,ip-172-31-19-219,172.31.19.219,64.0103211402893,1216940,18,00000,0,809.2067,11.031715,0.037052624,1168,19878,57.7,15.12
447.18378,nan,98245,False,1315185,,19,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-43,1587585763,3.2895288467407227,67.29984998703003,91836,ip-172-31-19-219,172.31.19.219,67.29984998703003,1315185,19,00000,0,821.7557,11.639647,0.036129866,1144,21022,59.64,15.1
447.18378,nan,101139,False,1416324,,20,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-47,1587585767,3.4048280715942383,70.70467805862427,91836,ip-172-31-19-219,172.31.19.219,70.70467805862427,1416324,20,00000,0,833.75085,12.554355,0.03550372,1156,22178,70.025,15.1
447.18378,nan,100847,False,1517171,,21,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-50,1587585770,3.401648998260498,74.10632705688477,91836,ip-172-31-19-219,172.31.19.219,74.10632705688477,1517171,21,00000,0,845.2442,11.744829,0.03474354,1150,23328,62.879999999999995,15.1
460.6289,108.0,101753,False,1618924,,22,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-54,1587585774,3.576061248779297,77.68238830566406,91836,ip-172-31-19-219,172.31.19.219,77.68238830566406,1618924,22,00000,0,856.30786,10.946625,0.033933513,1146,24474,60.52,15.1
460.6289,nan,101411,False,1720335,,23,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-02-57,1587585777,3.52105450630188,81.20344281196594,91836,ip-172-31-19-219,172.31.19.219,81.20344281196594,1720335,23,00000,0,866.8164,12.044143,0.03351887,1144,25618,62.160000000000004,15.1
471.65747,105.0,101709,False,1822044,,24,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-01,1587585781,3.451934814453125,84.65537762641907,91836,ip-172-31-19-219,172.31.19.219,84.65537762641907,1822044,24,00000,0,876.9343,12.551341,0.033127345,1142,26760,59.44,15.1
